 Daily soil water balance output for Other Deciduous in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Other Deciduous at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,391,0.08,0.97,0,5.32,0.97,5.18,0,0,0,0,21.07,70.66,307.24,153.62,286.17,236.58,0,,2014,10,391,100.62,91.85,117.83,91.83,117.80
2014,10,2,275,391,0.08,0.97,0,4.09,0.97,3.96,0,0,0,0,25.03,70.66,307.24,153.62,282.2,236.58,0,,2014,11,391,44.55,43.74,56.11,0.00,0.00
2014,10,3,276,391,0.08,0.96,0,4.19,0.96,4.04,0,0,0,0,29.07,70.66,307.24,153.62,278.16,236.58,0,,2014,12,391,32.61,35.56,45.62,0.00,0.00
2014,10,4,277,391,0.08,0.96,0,4.16,0.96,3.99,0,0,0,0,33.07,70.66,307.24,153.62,274.17,236.58,0,,2015,1,391,32.17,16.75,21.49,0.00,0.00
2014,10,5,278,391,0.08,0.95,0,4.02,0.95,3.84,0,0,0,0,36.9,70.66,307.24,153.62,270.34,236.58,0,,2015,2,391,56.25,36.44,46.75,0.00,0.00
2014,10,6,279,391,0.08,0.95,0,3.98,0.95,3.78,0,0,0,0,40.68,70.66,307.24,153.62,266.56,236.58,0,,2015,3,391,102.43,69.29,88.89,67.40,86.46
2014,10,7,280,391,0.08,0.94,0,4.04,0.94,3.82,0,0,0,0,44.5,76.81,307.24,153.62,262.74,230.43,0,,2015,4,391,135.20,113.71,145.87,113.70,145.86
2014,10,8,281,391,0.08,0.94,0,4.82,0.94,4.53,0,0,0,0,49.03,76.81,307.24,153.62,258.21,230.43,0,,2015,5,391,148.97,149.68,192.01,149.68,192.01
2014,10,9,282,391,0.08,0.94,0,4.07,0.94,3.81,0,0,0,0,52.84,76.81,307.24,153.62,254.4,230.43,0,,2015,6,391,193.42,205.06,263.05,205.03,263.01
2014,10,10,283,391,0.08,0.93,0,3.48,0.93,3.24,0,0,0,0,56.08,76.81,307.24,153.62,251.16,230.43,0,,2015,7,391,200.86,212.91,273.12,212.91,273.12
2014,10,11,284,391,0.08,0.93,0,3.42,0.93,3.17,0,0,0,0,59.24,76.81,307.24,153.62,247.99,230.43,0,,2015,8,391,184.58,195.65,250.98,195.65,250.98
2014,10,12,285,391,0.08,0.92,0,5.74,0.92,5.29,0,0,0,0,64.53,76.81,307.24,153.62,242.71,230.43,0,,2015,9,391,143.41,148.90,191.01,148.91,191.02
2014,10,13,286,391,0.08,0.92,0,3.97,0.92,3.64,0,0,0,0,68.17,76.81,307.24,153.62,239.07,230.43,0,,,,,,,,,
2014,10,14,287,391,0.08,0.91,0,3.13,0.91,2.85,0,0,0,0,71.02,76.81,307.24,153.62,236.22,230.43,0,,,,,,,,,
2014,10,15,288,391,0.08,0.91,0,2.43,0.91,2.2,0,0,0,0,73.23,76.81,307.24,153.62,234.01,230.43,0,,,,,,,,,
2014,10,16,289,391,0.08,0.9,0,2.72,0.9,2.45,0,0,0,0,75.68,76.81,307.24,153.62,231.56,230.43,0,,,,,,,,,
