 Daily soil water balance output for Safflower in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Safflower at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,167,0.08,0,0,5.32,0.08,0.45,0,0,0,0,10.34,26.4,375.51,187.76,365.17,349.11,0,,2014,10,167,100.62,8.35,4.57,0.00,0.00
2014,10,2,275,167,0.08,0,0,4.09,0.08,0.35,0,0,0,0,10.69,26.4,375.51,187.76,364.83,349.11,0,,2014,11,167,44.55,43.74,23.97,0.00,0.00
2014,10,3,276,167,0.08,0,0,4.19,0.08,0.35,0,0,0,0,11.04,26.4,375.51,187.76,364.47,349.11,0,,2014,12,167,32.61,35.56,19.48,0.00,0.00
2014,10,4,277,167,0.08,0,0,4.16,0.08,0.35,0,0,0,0,11.39,26.4,375.51,187.76,364.12,349.11,0,,2015,1,167,32.17,16.75,9.18,0.00,0.00
2014,10,5,278,167,0.08,0,0,4.02,0.08,0.34,0,0,0,0,11.73,26.4,375.51,187.76,363.78,349.11,0,,2015,2,167,56.25,36.44,19.97,0.00,0.00
2014,10,6,279,167,0.08,0,0,3.98,0.08,0.33,0,0,0,0,12.06,26.4,375.51,187.76,363.45,349.11,0,,2015,3,167,102.43,50.54,27.69,0.00,0.00
2014,10,7,280,167,0.08,0,0,4.04,0.08,0.34,0,0,0,0,12.4,26.4,375.51,187.76,363.11,349.11,0,,2015,4,167,135.20,57.17,31.32,0.00,0.00
2014,10,8,281,167,0.08,0,0,4.82,0.08,0.4,0,0,0,0,12.81,26.4,375.51,187.76,362.71,349.11,0,,2015,5,167,148.97,54.35,29.78,31.19,17.09
2014,10,9,282,167,0.08,0,0,4.07,0.08,0.34,0,0,0,0,13.15,26.4,375.51,187.76,362.37,349.11,0,,2015,6,167,193.42,107.90,59.12,107.92,59.13
2014,10,10,283,167,0.08,0,0,3.48,0.08,0.29,0,0,0,0,13.44,26.4,375.51,187.76,362.08,349.11,0,,2015,7,167,200.86,209.71,114.90,209.73,114.91
2014,10,11,284,167,0.08,0,0,3.42,0.08,0.28,0,0,0,0,13.72,26.4,375.51,187.76,361.79,349.11,0,,2015,8,167,184.58,141.39,77.47,141.38,77.46
2014,10,12,285,167,0.08,0,0,5.74,0.08,0.48,0,0,0,0,14.2,26.4,375.51,187.76,361.32,349.11,0,,2015,9,167,143.41,13.63,7.47,0.00,0.00
2014,10,13,286,167,0.08,0,0,3.97,0.08,0.33,0,0,0,0,14.53,26.4,375.51,187.76,360.99,349.11,0,,,,,,,,,
2014,10,14,287,167,0.08,0,0,3.13,0.08,0.26,0,0,0,0,14.79,26.4,375.51,187.76,360.73,349.11,0,,,,,,,,,
2014,10,15,288,167,0.08,0,0,2.43,0.08,0.2,0,0,0,0,14.99,26.4,375.51,187.76,360.53,349.11,0,,,,,,,,,
2014,10,16,289,167,0.08,0,0,2.72,0.08,0.22,0,0,0,0,15.21,26.4,375.51,187.76,360.3,349.11,0,,,,,,,,,
2014,10,17,290,167,0.08,0,0,2.53,0.08,0.21,0,0,0,0,15.42,26.4,375.51,187.76,360.09,349.11,0,,,,,,,,,
2014,10,18,291,167,0.08,0,0,2.88,0.08,0.24,0,0,0,0,15.66,26.4,375.51,187.76,359.86,349.11,0,,,,,,,,,
2014,10,19,292,167,0.08,0,0,2.84,0.08,0.23,0,0,0,0,15.89,26.4,375.51,187.76,359.62,349.11,0,,,,,,,,,
2014,10,20,293,167,0.08,0,0,2.22,0.08,0.18,0,0,0,0,16.07,26.4,375.51,187.76,359.44,349.11,0,,,,,,,,,
2014,10,21,294,167,0.08,0,0,2.7,0.08,0.22,0,0,0,0,16.3,26.4,375.51,187.76,359.22,349.11,0,,,,,,,,,
2014,10,22,295,167,0.08,0,0,2.55,0.08,0.21,0,0,0,0,16.5,26.4,375.51,187.76,359.01,349.11,0,,,,,,,,,
2014,10,23,296,167,0.08,0,0,2.57,0.08,0.21,0,0,0,0,16.72,26.4,375.51,187.76,358.8,349.11,0,,,,,,,,,
2014,10,24,297,167,0.08,0,0,2.55,0.08,0.21,0,0,0,0,16.92,26.4,375.51,187.76,358.59,349.11,0,,,,,,,,,
2014,10,25,298,167,0.08,0,0,2.29,0.08,0.19,0,0,0,0,17.11,26.4,375.51,187.76,358.4,349.11,0,,,,,,,,,
2014,10,26,299,167,0.08,0,0,2.69,0.08,0.22,1.42,1.42,0,0,15.91,26.4,375.51,187.76,359.6,349.11,0,,,,,,,,,
2014,10,27,300,167,0.08,0,0,2.51,0.08,0.21,0,0,0,0,16.12,26.4,375.51,187.76,359.4,349.11,0,,,,,,,,,
2014,10,28,301,167,0.08,0,0,2.39,0.08,0.2,0,0,0,0,16.31,26.4,375.51,187.76,359.2,349.11,0,,,,,,,,,
2014,10,29,302,167,0.08,0,0,2.5,0.08,0.2,0,0,0,0,16.52,26.4,375.51,187.76,359,349.11,0,,,,,,,,,
2014,10,30,303,167,0.08,0,0,2.44,0.08,0.2,0,0,0,0,16.72,26.4,375.51,187.76,358.8,349.11,0,,,,,,,,,
2014,10,31,304,167,0.08,0,0,1.38,0.08,0.11,0,0,0,0,16.83,26.4,375.51,187.76,358.69,349.11,0,,,,,,,,,
2014,11,1,305,167,1.15,0,0,1.85,1.15,2.12,8.58,8.58,0,0,10.37,26.4,375.51,187.76,365.15,349.11,0,,,,,,,,,
