 Daily soil water balance output for Urban Landscape in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Urban Landscape at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,185,0.08,0.8,0,5.32,0.8,4.26,0,0,0,0,12.16,30.66,128,64,115.84,97.34,0,,2014,10,185,100.62,80.49,48.85
2014,10,2,275,185,0.08,0.8,0,4.09,0.8,3.27,0,0,0,0,15.43,30.66,128,64,112.57,97.34,0,,2014,11,185,44.55,45.10,27.37
2014,10,3,276,185,0.08,0.8,0,4.19,0.8,3.35,0,0,0,0,18.78,30.66,128,64,109.22,97.34,0,,2014,12,185,32.61,35.74,21.69
2014,10,4,277,185,0.08,0.8,0,4.16,0.8,3.33,0,0,0,0,22.11,30.66,128,64,105.89,97.34,0,,2015,1,185,32.17,25.75,15.63
2014,10,5,278,185,0.08,0.8,0,4.02,0.8,3.22,0,0,0,0,25.32,30.66,128,64,102.68,97.34,0,,2015,2,185,56.25,48.65,29.53
2014,10,6,279,185,0.08,0.8,0,3.98,0.8,3.18,0,0,0,0,28.51,30.66,128,64,99.49,97.34,0,,2015,3,185,102.43,84.70,51.41
2014,10,7,280,185,0.08,0.8,0,4.04,0.8,3.23,0,0,0,0,0,30.66,128,64,128,97.34,31.74,,2015,4,185,135.20,110.95,67.34
2014,10,8,281,185,0.08,0.8,0,4.82,0.8,3.86,0,0,0,0,3.86,30.66,128,64,124.14,97.34,0,,2015,5,185,148.97,120.62,73.21
2014,10,9,282,185,0.08,0.8,0,4.07,0.8,3.26,0,0,0,0,7.11,30.66,128,64,120.89,97.34,0,,2015,6,185,193.42,154.74,93.92
2014,10,10,283,185,0.08,0.8,0,3.48,0.8,2.78,0,0,0,0,9.9,30.66,128,64,118.1,97.34,0,,2015,7,185,200.86,160.67,97.52
2014,10,11,284,185,0.08,0.8,0,3.42,0.8,2.74,0,0,0,0,12.63,30.66,128,64,115.37,97.34,0,,2015,8,185,184.58,147.64,89.61
2014,10,12,285,185,0.08,0.8,0,5.74,0.8,4.59,0,0,0,0,17.22,30.66,128,64,110.78,97.34,0,,2015,9,185,143.41,114.72,69.63
2014,10,13,286,185,0.08,0.8,0,3.97,0.8,3.18,0,0,0,0,20.4,30.66,128,64,107.6,97.34,0,,,,,,,
2014,10,14,287,185,0.08,0.8,0,3.13,0.8,2.5,0,0,0,0,22.9,30.66,128,64,105.1,97.34,0,,,,,,,
2014,10,15,288,185,0.08,0.8,0,2.43,0.8,1.94,0,0,0,0,24.85,30.66,128,64,103.15,97.34,0,,,,,,,
2014,10,16,289,185,0.08,0.8,0,2.72,0.8,2.18,0,0,0,0,27.02,30.66,128,64,100.98,97.34,0,,,,,,,
2014,10,17,290,185,0.08,0.8,0,2.53,0.8,2.02,0,0,0,0,29.05,30.66,128,64,98.95,97.34,0,,,,,,,
2014,10,18,291,185,0.08,0.8,0,2.88,0.8,2.3,0,0,0,0,0,30.66,128,64,128,97.34,31.35,,,,,,,
2014,10,19,292,185,0.08,0.8,0,2.84,0.8,2.27,0,0,0,0,2.27,30.66,128,64,125.73,97.34,0,,,,,,,
2014,10,20,293,185,0.08,0.8,0,2.22,0.8,1.78,0,0,0,0,4.05,30.66,128,64,123.95,97.34,0,,,,,,,
2014,10,21,294,185,0.08,0.8,0,2.7,0.8,2.16,0,0,0,0,6.21,30.66,128,64,121.79,97.34,0,,,,,,,
2014,10,22,295,185,0.08,0.8,0,2.55,0.8,2.04,0,0,0,0,8.25,30.66,128,64,119.75,97.34,0,,,,,,,
2014,10,23,296,185,0.08,0.8,0,2.57,0.8,2.06,0,0,0,0,10.3,30.66,128,64,117.7,97.34,0,,,,,,,
2014,10,24,297,185,0.08,0.8,0,2.55,0.8,2.04,0,0,0,0,12.34,30.66,128,64,115.66,97.34,0,,,,,,,
2014,10,25,298,185,0.08,0.8,0,2.29,0.8,1.83,0,0,0,0,14.18,30.66,128,64,113.82,97.34,0,,,,,,,
2014,10,26,299,185,0.08,0.8,0,2.69,0.8,2.15,1.42,1.42,0,0,14.91,30.66,128,64,113.09,97.34,0,,,,,,,
2014,10,27,300,185,0.08,0.8,0,2.51,0.8,2.01,0,0,0,0,16.92,30.66,128,64,111.08,97.34,0,,,,,,,
2014,10,28,301,185,0.08,0.8,0,2.39,0.8,1.91,0,0,0,0,18.83,30.66,128,64,109.17,97.34,0,,,,,,,
2014,10,29,302,185,0.08,0.8,0,2.5,0.8,2,0,0,0,0,20.83,30.66,128,64,107.17,97.34,0,,,,,,,
2014,10,30,303,185,0.08,0.8,0,2.44,0.8,1.95,0,0,0,0,22.78,30.66,128,64,105.22,97.34,0,,,,,,,
2014,10,31,304,185,0.08,0.8,0,1.38,0.8,1.1,0,0,0,0,23.88,30.66,128,64,104.12,97.34,0,,,,,,,
2014,11,1,305,185,1.15,0.8,0,1.85,1.15,2.12,8.58,8.58,0,0,17.42,30.66,128,64,110.58,97.34,0,,,,,,,
2014,11,2,306,185,1.14,0.8,0,2.15,1.14,2.45,0,0,0,0,19.88,30.66,128,64,108.12,97.34,0,,,,,,,
2014,11,3,307,185,1.14,0.8,0,1.8,1.14,2.06,0,0,0,0,21.93,30.66,128,64,106.07,97.34,0,,,,,,,
2014,11,4,308,185,1.01,0.8,0,1.77,1.01,1.79,0,0,0,0,23.72,30.66,128,64,104.28,97.34,0,,,,,,,
2014,11,5,309,185,0.9,0.8,0,1.98,0.9,1.78,0,0,0,0,25.5,30.66,128,64,102.5,97.34,0,,,,,,,
2014,11,6,310,185,0.82,0.8,0,1.93,0.82,1.58,0,0,0,0,27.09,30.66,128,64,100.91,97.34,0,,,,,,,
2014,11,7,311,185,0.76,0.8,0,1.95,0.8,1.56,0,0,0,0,28.65,30.66,128,64,99.35,97.34,0,,,,,,,
2014,11,8,312,185,0.71,0.8,0,1.88,0.8,1.5,0,0,0,0,30.15,30.66,128,64,97.85,97.34,0,,,,,,,
2014,11,9,313,185,0.67,0.8,0,1.83,0.8,1.46,0,0,0,0,0,30.66,128,64,128,97.34,31.61,,,,,,,
2014,11,10,314,185,0.64,0.8,0,1.78,0.8,1.42,0,0,0,0,1.42,30.66,128,64,126.58,97.34,0,,,,,,,
2014,11,11,315,185,0.62,0.8,0,1.54,0.8,1.23,0,0,0,0,2.66,30.66,128,64,125.34,97.34,0,,,,,,,
2014,11,12,316,185,0.59,0.8,0,1.6,0.8,1.28,0,0,0,0,3.94,30.66,128,64,124.06,97.34,0,,,,,,,
2014,11,13,317,185,1.18,0.8,0,1.12,1.18,1.32,5.87,5.25,0,0,0,30.66,128,64,128,97.34,0,,,,,,,
2014,11,14,318,185,1.17,0.8,0,1.44,1.17,1.68,1.23,1.23,0,0,0.45,30.66,128,64,127.55,97.34,0,,,,,,,
2014,11,15,319,185,1.17,0.8,0,1.36,1.17,1.59,0,0,0,0,2.04,30.66,128,64,125.96,97.34,0,,,,,,,
2014,11,16,320,185,1.16,0.8,0,1.9,1.16,2.21,0,0,0,0,4.25,30.66,128,64,123.75,97.34,0,,,,,,,
2014,11,17,321,185,1.02,0.8,0,1.77,1.02,1.8,0,0,0,0,6.05,30.66,128,64,121.95,97.34,0,,,,,,,
2014,11,18,322,185,0.94,0.8,0,1.33,0.94,1.25,0,0,0,0,7.29,30.66,128,64,120.71,97.34,0,,,,,,,
2014,11,19,323,185,0.88,0.8,0,1.19,0.88,1.05,0,0,0,0,8.34,30.66,128,64,119.66,97.34,0,,,,,,,
2014,11,20,324,185,1.19,0.8,0,0.65,1.19,0.78,2.25,2.25,0,0,6.87,30.66,128,64,121.13,97.34,0,,,,,,,
2014,11,21,325,185,1.18,0.8,0,0.94,1.18,1.11,4.75,4.75,0,0,3.23,30.66,128,64,124.77,97.34,0,,,,,,,
2014,11,22,326,185,1.18,0.8,0,1.28,1.18,1.5,0.01,0.01,0,0,4.73,30.66,128,64,123.27,97.34,0,,,,,,,
2014,11,23,327,185,1.16,0.8,0,1.59,1.16,1.84,3.94,3.94,0,0,2.62,30.66,128,64,125.38,97.34,0,,,,,,,
2014,11,24,328,185,1.16,0.8,0,1.4,1.16,1.62,0,0,0,0,4.25,30.66,128,64,123.75,97.34,0,,,,,,,
2014,11,25,329,185,1.16,0.8,0,1.29,1.16,1.5,0,0,0,0,5.75,30.66,128,64,122.25,97.34,0,,,,,,,
2014,11,26,330,185,1.16,0.8,0,1.32,1.16,1.54,0,0,0,0,7.29,30.66,128,64,120.71,97.34,0,,,,,,,
2014,11,27,331,185,1.07,0.8,0,1.23,1.07,1.32,0,0,0,0,8.61,30.66,128,64,119.39,97.34,0,,,,,,,
2014,11,28,332,185,0.99,0.8,0,1.19,0.99,1.18,0,0,0,0,9.79,30.66,128,64,118.21,97.34,0,,,,,,,
2014,11,29,333,185,0.95,0.8,0,0.8,0.95,0.76,0.41,0.41,0,0,10.13,30.66,128,64,117.87,97.34,0,,,,,,,
2014,11,30,334,185,1.19,0.8,0,0.69,1.19,0.82,2.78,2.78,0,0,8.18,30.66,128,64,119.82,97.34,0,,,,,,,
2014,12,1,335,185,1.18,0.8,0,0.96,1.18,1.13,12.37,9.31,0,0,0,30.66,128,64,128,97.34,0,,,,,,,
2014,12,2,336,185,1.2,0.8,0,0.62,1.2,0.74,10.99,0.74,0,0,0,30.66,128,64,128,97.34,0,,,,,,,
2014,12,3,337,185,1.17,0.8,0,1.24,1.17,1.45,28.92,1.45,0,0,0,30.66,128,64,128,97.34,0,,,,,,,
2014,12,4,338,185,1.17,0.8,0,1.13,1.17,1.33,7.13,1.33,0,0,0,30.66,128,64,128,97.34,0,,,,,,,
2014,12,5,339,185,1.18,0.8,0,0.91,1.18,1.07,0.35,0.35,0,0,0.72,30.66,128,64,127.28,97.34,0,,,,,,,
2014,12,6,340,185,1.18,0.8,0,1.09,1.18,1.28,2.4,2.01,0,0,0,30.66,128,64,128,97.34,0,,,,,,,
2014,12,7,341,185,1.18,0.8,0,0.72,1.18,0.85,0.32,0.32,0,0,0.53,32,128,64,127.47,96,0,,,,,,,
2014,12,8,342,185,1.18,0.8,0,0.88,1.18,1.04,0,0,0,0,1.57,32,128,64,126.43,96,0,,,,,,,
2014,12,9,343,185,1.19,0.8,0,0.69,1.19,0.82,0,0,0,0,2.39,32,128,64,125.61,96,0,,,,,,,
2014,12,10,344,185,1.19,0.8,0,0.9,1.19,1.07,0,0,0,0,3.46,32,128,64,124.54,96,0,,,,,,,
2014,12,11,345,185,1.18,0.8,0,1.36,1.18,1.61,0,0,0,0,5.07,32,128,64,122.93,96,0,,,,,,,
2014,12,12,346,185,1.19,0.8,0,0.63,1.19,0.75,65.93,5.82,0,0,0,32,128,64,128,96,0,,,,,,,
2014,12,13,347,185,1.19,0.8,0,0.74,1.19,0.88,1.66,0.88,0,0,0,32,128,64,128,96,0,,,,,,,
2014,12,14,348,185,1.19,0.8,0,0.81,1.19,0.96,0,0,0,0,0.96,32,128,64,127.04,96,0,,,,,,,
2014,12,15,349,185,1.18,0.8,0,1.01,1.18,1.19,10.89,2.15,0,0,0,32,128,64,128,96,0,,,,,,,
2014,12,16,350,185,1.17,0.8,0,1.24,1.17,1.45,9.78,1.45,0,0,0,32,128,64,128,96,0,,,,,,,
2014,12,17,351,185,1.18,0.8,0,0.95,1.18,1.12,11.39,1.12,0,0,0,32,128,64,128,96,0,,,,,,,
2014,12,18,352,185,1.18,0.8,0,1,1.18,1.18,5.48,1.18,0,0,0,32,128,64,128,96,0,,,,,,,
2014,12,19,353,185,1.18,0.8,0,0.85,1.18,1.01,0,0,0,0,1.01,32,128,64,126.99,96,0,,,,,,,
2014,12,20,354,185,1.19,0.8,0,0.7,1.19,0.83,8.92,1.84,0,0,0,32,128,64,128,96,0,,,,,,,
2014,12,21,355,185,1.19,0.8,0,1,1.19,1.19,0.47,0.47,0,0,0.72,32,128,64,127.28,96,0,,,,,,,
2014,12,22,356,185,1.19,0.8,0,0.78,1.19,0.93,0,0,0,0,1.64,32,128,64,126.36,96,0,,,,,,,
2014,12,23,357,185,1.19,0.8,0,0.79,1.19,0.94,0,0,0,0,2.58,32,128,64,125.42,96,0,,,,,,,
2014,12,24,358,185,1.19,0.8,0,0.96,1.19,1.14,0,0,0,0,3.72,32,128,64,124.28,96,0,,,,,,,
2014,12,25,359,185,1.13,0.8,0,1.97,1.13,2.23,0.72,0.72,0,0,5.23,32,128,64,122.77,96,0,,,,,,,
2014,12,26,360,185,1.01,0.8,0,1.61,1.01,1.62,0,0,0,0,6.86,32,128,64,121.14,96,0,,,,,,,
2014,12,27,361,185,0.96,0.8,0,0.77,0.96,0.74,0,0,0,0,7.6,32,128,64,120.4,96,0,,,,,,,
2014,12,28,362,185,0.92,0.8,0,0.77,0.92,0.71,0,0,0,0,8.31,32,128,64,119.69,96,0,,,,,,,
2014,12,29,363,185,0.9,0.8,0,0.56,0.9,0.5,0,0,0,0,8.81,32,128,64,119.19,96,0,,,,,,,
2014,12,30,364,185,0.8,0.8,0,2.42,0.8,1.94,0,0,0,0,10.75,32,128,64,117.25,96,0,,,,,,,
2014,12,31,365,185,0.73,0.8,0,2.55,0.8,2.04,0,0,0,0,12.79,32,128,64,115.21,96,0,,,,,,,
2015,1,1,1,185,0.71,0.8,0,1.01,0.8,0.81,0,0,0,0,13.6,30.5,128,64,114.4,97.5,0,,,,,,,
2015,1,2,2,185,0.69,0.8,0,0.91,0.8,0.73,0,0,0,0,14.33,30.5,128,64,113.67,97.5,0,,,,,,,
2015,1,3,3,185,0.67,0.8,0,0.92,0.8,0.74,0,0,0,0,15.06,30.5,128,64,112.94,97.5,0,,,,,,,
2015,1,4,4,185,0.65,0.8,0,1.02,0.8,0.82,0,0,0,0,15.88,30.5,128,64,112.12,97.5,0,,,,,,,
2015,1,5,5,185,0.63,0.8,0,1.03,0.8,0.82,0,0,0,0,16.7,30.5,128,64,111.3,97.5,0,,,,,,,
2015,1,6,6,185,0.61,0.8,0,1.27,0.8,1.02,0,0,0,0,17.72,30.5,128,64,110.28,97.5,0,,,,,,,
2015,1,7,7,185,0.6,0.8,0,1.24,0.8,0.99,0,0,0,0,18.71,30.5,128,64,109.29,97.5,0,,,,,,,
2015,1,8,8,185,0.58,0.8,0,1.03,0.8,0.82,0,0,0,0,19.54,30.5,128,64,108.46,97.5,0,,,,,,,
2015,1,9,9,185,0.57,0.8,0,0.9,0.8,0.72,0,0,0,0,20.26,30.5,128,64,107.74,97.5,0,,,,,,,
2015,1,10,10,185,0.56,0.8,0,1.05,0.8,0.84,0,0,0,0,21.1,30.5,128,64,106.9,97.5,0,,,,,,,
2015,1,11,11,185,0.55,0.8,0,0.86,0.8,0.69,0,0,0,0,21.78,30.5,128,64,106.22,97.5,0,,,,,,,
2015,1,12,12,185,0.54,0.8,0,0.97,0.8,0.78,0,0,0,0,22.56,30.5,128,64,105.44,97.5,0,,,,,,,
2015,1,13,13,185,0.53,0.8,0,1.04,0.8,0.83,0,0,0,0,23.39,30.5,128,64,104.61,97.5,0,,,,,,,
2015,1,14,14,185,0.53,0.8,0,0.62,0.8,0.5,0,0,0,0,23.89,30.5,128,64,104.11,97.5,0,,,,,,,
2015,1,15,15,185,0.52,0.8,0,0.66,0.8,0.53,0,0,0,0,24.42,30.5,128,64,103.58,97.5,0,,,,,,,
2015,1,16,16,185,0.51,0.8,0,0.62,0.8,0.5,0,0,0,0,24.91,30.5,128,64,103.09,97.5,0,,,,,,,
2015,1,17,17,185,0.51,0.8,0,0.54,0.8,0.43,0,0,0,0,25.34,30.5,128,64,102.66,97.5,0,,,,,,,
2015,1,18,18,185,0.51,0.8,0,0.66,0.8,0.53,0,0,0,0,25.87,30.5,128,64,102.13,97.5,0,,,,,,,
2015,1,19,19,185,0.5,0.8,0,0.55,0.8,0.44,0.43,0.43,0,0,25.88,30.5,128,64,102.12,97.5,0,,,,,,,
2015,1,20,20,185,0.49,0.8,0,0.81,0.8,0.65,0,0,0,0,26.53,30.5,128,64,101.47,97.5,0,,,,,,,
2015,1,21,21,185,0.49,0.8,0,1.08,0.8,0.86,0,0,0,0,27.39,30.5,128,64,100.61,97.5,0,,,,,,,
2015,1,22,22,185,0.48,0.8,0,0.69,0.8,0.55,0,0,0,0,27.95,30.5,128,64,100.05,97.5,0,,,,,,,
2015,1,23,23,185,0.47,0.8,0,1.02,0.8,0.82,0,0,0,0,28.76,30.5,128,64,99.24,97.5,0,,,,,,,
2015,1,24,24,185,0.47,0.8,0,0.96,0.8,0.77,0,0,0,0,29.53,30.5,128,64,98.47,97.5,0,,,,,,,
2015,1,25,25,185,0.46,0.8,0,1.04,0.8,0.83,0,0,0,0,30.36,30.5,128,64,97.64,97.5,0,,,,,,,
2015,1,26,26,185,0.45,0.8,0,1.19,0.8,0.95,0,0,0,0,0,30.5,128,64,128,97.5,31.31,,,,,,,
2015,1,27,27,185,0.45,0.8,0,1.14,0.8,0.91,0,0,0,0,0.91,30.5,128,64,127.09,97.5,0,,,,,,,
2015,1,28,28,185,0.44,0.8,0,1.45,0.8,1.16,0,0,0,0,2.07,30.5,128,64,125.93,97.5,0,,,,,,,
2015,1,29,29,185,0.43,0.8,0,1.38,0.8,1.1,0,0,0,0,3.18,30.5,128,64,124.82,97.5,0,,,,,,,
2015,1,30,30,185,0.42,0.8,0,1.66,0.8,1.33,0,0,0,0,4.5,30.5,128,64,123.5,97.5,0,,,,,,,
2015,1,31,31,185,0.41,0.8,0,2.85,0.8,2.28,0,0,0,0,6.78,30.5,128,64,121.22,97.5,0,,,,,,,
2015,2,1,32,185,0.4,0.8,0,1.55,0.8,1.24,0,0,0,0,8.02,30.5,128,64,119.98,97.5,0,,,,,,,
2015,2,2,33,185,0.4,0.8,0,1.57,0.8,1.26,0,0,0,0,9.28,30.5,128,64,118.72,97.5,0,,,,,,,
2015,2,3,34,185,0.39,0.8,0,1.67,0.8,1.34,0,0,0,0,10.62,30.5,128,64,117.38,97.5,0,,,,,,,
2015,2,4,35,185,0.39,0.8,0,1.36,0.8,1.09,0,0,0,0,11.7,30.5,128,64,116.3,97.5,0,,,,,,,
2015,2,5,36,185,0.38,0.8,0,1.01,0.8,0.81,0,0,0,0,12.51,30.5,128,64,115.49,97.5,0,,,,,,,
2015,2,6,37,185,0.38,0.8,0,2.21,0.8,1.77,0,0,0,0,14.28,30.5,128,64,113.72,97.5,0,,,,,,,
2015,2,7,38,185,1.16,0.8,0,1.47,1.16,1.71,13.46,13.46,0,0,2.53,30.5,128,64,125.47,97.5,0,,,,,,,
2015,2,8,39,185,1.16,0.8,0,1.61,1.16,1.86,11.21,4.39,0,0,0,30.5,128,64,128,97.5,0,,,,,,,
2015,2,9,40,185,1.14,0.8,0,2.11,1.14,2.4,13.89,2.4,0,0,0,30.5,128,64,128,97.5,0,,,,,,,
2015,2,10,41,185,1.14,0.8,0,1.9,1.14,2.17,0,0,0,0,2.17,30.5,128,64,125.83,97.5,0,,,,,,,
2015,2,11,42,185,1.14,0.8,0,1.76,1.14,2.01,0,0,0,0,4.18,30.5,128,64,123.82,97.5,0,,,,,,,
2015,2,12,43,185,0.99,0.8,0,2.06,0.99,2.05,0,0,0,0,6.22,30.5,128,64,121.78,97.5,0,,,,,,,
2015,2,13,44,185,0.88,0.8,0,2.11,0.88,1.86,0,0,0,0,8.08,30.5,128,64,119.92,97.5,0,,,,,,,
2015,2,14,45,185,0.8,0.8,0,2.23,0.8,1.78,0,0,0,0,9.86,30.5,128,64,118.14,97.5,0,,,,,,,
2015,2,15,46,185,0.73,0.8,0,2.13,0.8,1.7,0,0,0,0,11.57,30.5,128,64,116.43,97.5,0,,,,,,,
2015,2,16,47,185,0.69,0.8,0,2.07,0.8,1.66,0,0,0,0,13.22,30.5,128,64,114.78,97.5,0,,,,,,,
2015,2,17,48,185,0.65,0.8,0,1.78,0.8,1.42,0,0,0,0,14.65,30.5,128,64,113.35,97.5,0,,,,,,,
2015,2,18,49,185,0.62,0.8,0,1.83,0.8,1.46,0,0,0,0,16.11,30.5,128,64,111.89,97.5,0,,,,,,,
2015,2,19,50,185,0.6,0.8,0,1.16,0.8,0.93,0,0,0,0,17.04,30.5,128,64,110.96,97.5,0,,,,,,,
2015,2,20,51,185,0.58,0.8,0,1.9,0.8,1.52,0,0,0,0,18.56,30.5,128,64,109.44,97.5,0,,,,,,,
2015,2,21,52,185,0.56,0.8,0,1.8,0.8,1.44,0,0,0,0,20,30.5,128,64,108,97.5,0,,,,,,,
2015,2,22,53,185,0.53,0.8,0,2.86,0.8,2.29,0,0,0,0,22.29,30.5,128,64,105.71,97.5,0,,,,,,,
2015,2,23,54,185,0.5,0.8,0,3.4,0.8,2.72,0,0,0,0,25.01,30.5,128,64,102.99,97.5,0,,,,,,,
2015,2,24,55,185,0.48,0.8,0,2.7,0.8,2.16,0,0,0,0,27.17,30.5,128,64,100.83,97.5,0,,,,,,,
2015,2,25,56,185,0.46,0.8,0,2.19,0.8,1.75,0,0,0,0,28.92,30.5,128,64,99.08,97.5,0,,,,,,,
2015,2,26,57,185,0.44,0.8,0,2.85,0.8,2.28,0,0,0,0,0,30.5,128,64,128,97.5,31.2,,,,,,,
