 Daily soil water balance output for Vineyard in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Vineyard at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,7,0.08,0.71,0,5.32,0.71,3.75,0,0,0,0,119.79,124.64,498.58,249.29,378.79,373.93,0,,2014,10,7,100.62,60.86,1.40,60.84,1.40
2014,10,2,275,7,0.08,0.7,0,4.09,0.7,2.85,0,0,0,0,122.64,124.64,498.58,249.29,375.94,373.93,0,,2014,11,7,44.55,43.74,1.00,23.45,0.54
2014,10,3,276,7,0.08,0.69,0,4.19,0.69,2.89,0,0,0,0,0,124.64,498.58,249.29,498.58,373.93,125.53,,2014,12,7,32.61,35.56,0.82,0.00,0.00
2014,10,4,277,7,0.08,0.68,0,4.16,0.68,2.84,0,0,0,0,2.84,124.64,498.58,249.29,495.74,373.93,0,,2015,1,7,32.17,16.75,0.38,0.00,0.00
2014,10,5,278,7,0.08,0.67,0,4.02,0.67,2.71,0,0,0,0,5.54,124.64,498.58,249.29,493.04,373.93,0,,2015,2,7,56.25,36.44,0.84,0.00,0.00
2014,10,6,279,7,0.08,0.67,0,3.98,0.67,2.65,0,0,0,0,8.19,124.64,498.58,249.29,490.39,373.93,0,,2015,3,7,102.43,50.54,1.16,0.00,0.00
2014,10,7,280,7,0.08,0.66,0,4.04,0.66,2.66,0,0,0,0,10.85,124.64,498.58,249.29,487.73,373.93,0,,2015,4,7,135.20,81.80,1.88,81.81,1.88
2014,10,8,281,7,0.08,0.65,0,4.82,0.65,3.13,0,0,0,0,13.98,124.64,498.58,249.29,484.6,373.93,0,,2015,5,7,148.97,110.41,2.54,110.42,2.54
2014,10,9,282,7,0.08,0.64,0,4.07,0.64,2.61,0,0,0,0,16.6,124.64,498.58,249.29,481.98,373.93,0,,2015,6,7,193.42,154.74,3.55,154.74,3.55
2014,10,10,283,7,0.08,0.63,0,3.48,0.63,2.21,0,0,0,0,18.8,124.64,498.58,249.29,479.78,373.93,0,,2015,7,7,200.86,160.67,3.69,160.69,3.69
2014,10,11,284,7,0.08,0.63,0,3.42,0.63,2.14,0,0,0,0,20.95,124.64,498.58,249.29,477.63,373.93,0,,2015,8,7,184.58,147.64,3.39,147.66,3.39
2014,10,12,285,7,0.08,0.62,0,5.74,0.62,3.55,0,0,0,0,24.5,124.64,498.58,249.29,474.08,373.93,0,,2015,9,7,143.41,112.62,2.59,112.63,2.59
2014,10,13,286,7,0.08,0.61,0,3.97,0.61,2.42,0,0,0,0,26.92,124.64,498.58,249.29,471.66,373.93,0,,,,,,,,,
2014,10,14,287,7,0.08,0.6,0,3.13,0.6,1.89,0,0,0,0,28.81,124.64,498.58,249.29,469.77,373.93,0,,,,,,,,,
2014,10,15,288,7,0.08,0.59,0,2.43,0.59,1.45,0,0,0,0,30.25,124.64,498.58,249.29,468.33,373.93,0,,,,,,,,,
2014,10,16,289,7,0.08,0.59,0,2.72,0.59,1.6,0,0,0,0,31.85,124.64,498.58,249.29,466.73,373.93,0,,,,,,,,,
2014,10,17,290,7,0.08,0.58,0,2.53,0.58,1.46,0,0,0,0,33.31,124.64,498.58,249.29,465.27,373.93,0,,,,,,,,,
2014,10,18,291,7,0.08,0.57,0,2.88,0.57,1.64,0,0,0,0,34.96,124.64,498.58,249.29,463.62,373.93,0,,,,,,,,,
2014,10,19,292,7,0.08,0.56,0,2.84,0.56,1.6,0,0,0,0,36.56,124.64,498.58,249.29,462.02,373.93,0,,,,,,,,,
2014,10,20,293,7,0.08,0.56,0,2.22,0.56,1.23,0,0,0,0,37.79,124.64,498.58,249.29,460.79,373.93,0,,,,,,,,,
