 Daily soil water balance output for Alfalfa in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Alfalfa in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,5168,0.08,1,0,5.56,1,5.56,0,0,0,0,88.35,121.96,569.98,284.99,481.63,448.01,0,,2014,10,5168,100.46,100.46,1703.34
2014,10,2,275,5168,0.08,1,0,4.08,1,4.08,0,0,0,0,92.43,121.96,569.98,284.99,477.55,448.01,0,,2014,11,5168,43.94,46.61,790.29
2014,10,3,276,5168,0.08,1,0,4.13,1,4.13,0,0,0,0,96.56,121.96,569.98,284.99,473.42,448.01,0,,2014,12,5168,32.25,36.48,618.53
2014,10,4,277,5168,0.08,1,0,4.12,1,4.12,0,0,0,0,100.68,121.96,569.98,284.99,469.3,448.01,0,,2015,1,5168,31.89,31.89,540.71
2014,10,5,278,5168,0.08,1,0,3.97,1,3.97,0,0,0,0,104.65,121.96,569.98,284.99,465.33,448.01,0,,2015,2,5168,56.06,57.62,976.97
2014,10,6,279,5168,0.08,1,0,3.97,1,3.97,0,0,0,0,108.62,121.96,569.98,284.99,461.36,448.01,0,,2015,3,5168,102.94,103.59,1756.41
2014,10,7,280,5168,0.08,1,0,4.08,1,4.08,0,0,0,0,112.7,121.96,569.98,284.99,457.28,448.01,0,,2015,4,5168,136.61,137.96,2339.16
2014,10,8,281,5168,0.08,1,0,4.81,1,4.81,0,0,0,0,117.51,121.96,569.98,284.99,452.47,448.01,0,,2015,5,5168,150.49,150.49,2551.62
2014,10,9,282,5168,0.08,1,0,4.12,1,4.12,0,0,0,0,121.63,121.96,569.98,284.99,448.35,448.01,0,,2015,6,5168,196.51,196.51,3331.90
2014,10,10,283,5168,0.08,1,0,3.54,1,3.54,0,0,0,0,0,121.96,569.98,284.99,569.98,448.01,125.17,,2015,7,5168,204.06,204.06,3459.91
