 Daily soil water balance output for Almonds in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Almonds in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,3,0.08,1.15,0,5.56,1.15,6.39,0,0,0,0,65.2,142.49,569.98,284.99,504.77,427.48,0,,2014,10,3,100.46,97.88,0.96,97.9,0.96
2014,10,2,275,3,0.08,1.15,0,4.08,1.15,4.69,0,0,0,0,69.89,142.49,569.98,284.99,500.08,427.48,0,,2014,11,3,43.94,26.21,0.26,0,0.00
2014,10,3,276,3,0.08,1.15,0,4.13,1.15,4.75,0,0,0,0,74.64,142.49,569.98,284.99,495.33,427.48,0,,2014,12,3,32.25,35.14,0.35,0,0.00
2014,10,4,277,3,0.08,1.15,0,4.12,1.15,4.74,0,0,0,0,79.38,142.49,569.98,284.99,490.59,427.48,0,,2015,1,3,31.89,16.61,0.16,0,0.00
2014,10,5,278,3,0.08,1.15,0,3.97,1.15,4.57,0,0,0,0,83.95,142.49,569.98,284.99,486.03,427.48,0,,2015,2,3,56.06,40.49,0.40,21.62,0.21
2014,10,6,279,3,0.08,1.13,0,3.97,1.13,4.49,0,0,0,0,88.44,142.49,569.98,284.99,481.54,427.48,0,,2015,3,3,102.94,75.32,0.74,75.32,0.74
2014,10,7,280,3,0.08,1.11,0,4.08,1.11,4.54,0,0,0,0,92.97,142.49,569.98,284.99,477,427.48,0,,2015,4,3,136.61,118.39,1.17,118.4,1.17
2014,10,8,281,3,0.08,1.09,0,4.81,1.09,5.25,0,0,0,0,98.23,142.49,569.98,284.99,471.75,427.48,0,,2015,5,3,150.49,146.13,1.44,146.14,1.44
2014,10,9,282,3,0.08,1.07,0,4.12,1.07,4.42,0,0,0,0,102.65,142.49,569.98,284.99,467.33,427.48,0,,2015,6,3,196.51,218.24,2.15,218.23,2.15
2014,10,10,283,3,0.08,1.05,0,3.54,1.05,3.73,0,0,0,0,106.38,142.49,569.98,284.99,463.6,427.48,0,,2015,7,3,204.06,234.65,2.31,234.67,2.31
2014,10,11,284,3,0.08,1.03,0,3.45,1.03,3.57,0,0,0,0,109.95,142.49,569.98,284.99,460.03,427.48,0,,2015,8,3,187.50,215.61,2.12,215.63,2.12
2014,10,12,285,3,0.08,1.02,0,6.01,1.02,6.1,0,0,0,0,116.05,142.49,569.98,284.99,453.93,427.48,0,,2015,9,3,144.17,165.77,1.63,165.8,1.63
2014,10,13,286,3,0.08,1,0,3.98,1,3.96,0,0,0,0,120.01,142.49,569.98,284.99,449.96,427.48,0,,,,,,,,,
2014,10,14,287,3,0.08,0.98,0,3.08,0.98,3.01,0,0,0,0,123.02,142.49,569.98,284.99,446.95,427.48,0,,,,,,,,,
2014,10,15,288,3,0.08,0.96,0,2.4,0.96,2.3,0,0,0,0,125.32,142.49,569.98,284.99,444.65,427.48,0,,,,,,,,,
2014,10,16,289,3,0.08,0.94,0,2.69,0.94,2.52,0,0,0,0,127.85,142.49,569.98,284.99,442.13,427.48,0,,,,,,,,,
2014,10,17,290,3,0.08,0.92,0,2.49,0.92,2.29,0,0,0,0,130.14,142.49,569.98,284.99,439.84,427.48,0,,,,,,,,,
2014,10,18,291,3,0.08,0.9,0,2.85,0.9,2.57,0,0,0,0,132.7,142.49,569.98,284.99,437.28,427.48,0,,,,,,,,,
2014,10,19,292,3,0.08,0.88,0,2.85,0.88,2.51,0,0,0,0,135.21,142.49,569.98,284.99,434.77,427.48,0,,,,,,,,,
2014,10,20,293,3,0.08,0.86,0,2.16,0.86,1.86,0,0,0,0,137.07,142.49,569.98,284.99,432.9,427.48,0,,,,,,,,,
2014,10,21,294,3,0.08,0.84,0,2.66,0.84,2.24,0,0,0,0,139.31,142.49,569.98,284.99,430.66,427.48,0,,,,,,,,,
2014,10,22,295,3,0.08,0.82,0,2.54,0.82,2.09,0,0,0,0,141.4,142.49,569.98,284.99,428.57,427.48,0,,,,,,,,,
2014,10,23,296,3,0.08,0.8,0,2.49,0.8,2,0,0,0,0,0,142.49,569.98,284.99,569.98,427.48,143.4,,,,,,,,,
2014,10,24,297,3,0.08,0.78,0,2.54,0.78,1.99,0,0,0,0,1.99,142.49,569.98,284.99,567.98,427.48,0,,,,,,,,,
2014,10,25,298,3,0.08,0.77,0,2.22,0.77,1.7,0,0,0,0,3.69,142.49,569.98,284.99,566.28,427.48,0,,,,,,,,,
2014,10,26,299,3,0.08,0.75,0,2.66,0.75,1.98,0.87,0.87,0,0,4.81,142.49,569.98,284.99,565.17,427.48,0,,,,,,,,,
2014,10,27,300,3,0.08,0.73,0,2.48,0.73,1.8,0,0,0,0,6.61,142.49,569.98,284.99,563.37,427.48,0,,,,,,,,,
2014,10,28,301,3,0.08,0.71,0,2.36,0.71,1.67,0,0,0,0,8.28,142.49,569.98,284.99,561.7,427.48,0,,,,,,,,,
2014,10,29,302,3,0.08,0.69,0,2.44,0.69,1.68,0,0,0,0,9.96,142.49,569.98,284.99,560.02,427.48,0,,,,,,,,,
2014,10,30,303,3,0.08,0.67,0,2.44,0.67,1.63,0,0,0,0,11.59,142.49,569.98,284.99,558.38,427.48,0,,,,,,,,,
2014,10,31,304,3,0.08,0.65,0,1.29,0.65,0.84,0.07,0.07,0,0,12.36,142.49,569.98,284.99,557.61,427.48,0,,,,,,,,,
2014,11,1,305,3,0.08,0,0,1.83,0.08,0.15,5.22,5.22,0,0,7.29,28.05,569.98,284.99,562.69,541.93,0,,,,,,,,,
2014,11,2,306,3,0.08,0,0,2.18,0.08,0.18,0,0,0,0,7.47,28.05,569.98,284.99,562.51,541.93,0,,,,,,,,,
2014,11,3,307,3,0.08,0,0,1.8,0.08,0.15,0,0,0,0,7.61,28.05,569.98,284.99,562.36,541.93,0,,,,,,,,,
2014,11,4,308,3,0.08,0,0,1.75,0.08,0.14,0,0,0,0,7.75,28.05,569.98,284.99,562.22,541.93,0,,,,,,,,,
2014,11,5,309,3,0.08,0,0,1.9,0.08,0.15,0,0,0,0,7.91,28.05,569.98,284.99,562.07,541.93,0,,,,,,,,,
2014,11,6,310,3,0.08,0,0,1.91,0.08,0.15,0,0,0,0,8.06,28.05,569.98,284.99,561.92,541.93,0,,,,,,,,,
2014,11,7,311,3,0.08,0,0,1.94,0.08,0.16,0,0,0,0,8.22,28.05,569.98,284.99,561.76,541.93,0,,,,,,,,,
2014,11,8,312,3,0.08,0,0,1.87,0.08,0.15,0,0,0,0,8.37,28.05,569.98,284.99,561.61,541.93,0,,,,,,,,,
2014,11,9,313,3,0.08,0,0,1.83,0.08,0.15,0,0,0,0,8.52,28.05,569.98,284.99,561.46,541.93,0,,,,,,,,,
2014,11,10,314,3,0.08,0,0,1.84,0.08,0.15,0,0,0,0,8.66,28.05,569.98,284.99,561.31,541.93,0,,,,,,,,,
2014,11,11,315,3,0.08,0,0,1.55,0.08,0.12,0,0,0,0,8.79,28.05,569.98,284.99,561.19,541.93,0,,,,,,,,,
2014,11,12,316,3,0.08,0,0,1.54,0.08,0.12,0,0,0,0,8.91,28.05,569.98,284.99,561.06,541.93,0,,,,,,,,,
2014,11,13,317,3,1.18,0,0,1.07,1.18,1.26,5.34,5.34,0,0,4.83,28.05,569.98,284.99,565.14,541.93,0,,,,,,,,,
