 Daily soil water balance output for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,595,0.08,1.05,0,5.56,1.05,5.84,0,0,0,0,53.73,99.68,466.34,233.17,412.62,366.67,0,,2014,10,595,100.46,103.83,202.69,103.84,202.71
2014,10,2,275,595,0.08,1.05,0,4.08,1.05,4.28,0,0,0,0,58.01,99.68,466.34,233.17,408.34,366.67,0,,2014,11,595,43.94,43.78,85.46,23.78,46.42
2014,10,3,276,595,0.08,1.05,0,4.13,1.05,4.34,0,0,0,0,62.35,99.68,466.34,233.17,404,366.67,0,,2014,12,595,32.25,35.14,68.60,0,0.00
2014,10,4,277,595,0.08,1.05,0,4.12,1.05,4.33,0,0,0,0,66.67,99.68,466.34,233.17,399.67,366.67,0,,2015,1,595,31.89,16.61,32.42,0,0.00
2014,10,5,278,595,0.08,1.05,0,3.97,1.05,4.17,0,0,0,0,70.84,99.68,466.34,233.17,395.5,366.67,0,,2015,2,595,56.06,37.90,73.98,0,0.00
2014,10,6,279,595,0.08,1.05,0,3.97,1.05,4.17,0,0,0,0,75.01,116.59,466.34,233.17,391.34,349.76,0,,2015,3,595,102.94,49.15,95.95,0,0.00
2014,10,7,280,595,0.08,1.05,0,4.08,1.05,4.28,0,0,0,0,79.29,116.59,466.34,233.17,387.05,349.76,0,,2015,4,595,136.61,97.18,189.71,97.17,189.69
2014,10,8,281,595,0.08,1.05,0,4.81,1.05,5.05,0,0,0,0,84.34,116.59,466.34,233.17,382,349.76,0,,2015,5,595,150.49,121.88,237.92,121.9,237.96
2014,10,9,282,595,0.08,1.05,0,4.12,1.05,4.33,0,0,0,0,88.67,116.59,466.34,233.17,377.68,349.76,0,,2015,6,595,196.51,193.89,378.49,193.9,378.51
2014,10,10,283,595,0.08,1.05,0,3.54,1.05,3.72,0,0,0,0,92.39,116.59,466.34,233.17,373.96,349.76,0,,2015,7,595,204.06,214.28,418.30,214.26,418.26
2014,10,11,284,595,0.08,1.05,0,3.45,1.05,3.62,0,0,0,0,96.01,116.59,466.34,233.17,370.34,349.76,0,,2015,8,595,187.50,196.90,384.37,196.88,384.33
2014,10,12,285,595,0.08,1.05,0,6.01,1.05,6.31,0,0,0,0,102.32,116.59,466.34,233.17,364.03,349.76,0,,2015,9,595,144.17,151.40,295.55,151.38,295.51
2014,10,13,286,595,0.08,1.05,0,3.98,1.05,4.18,0,0,0,0,106.5,116.59,466.34,233.17,359.85,349.76,0,,,,,,,,,
2014,10,14,287,595,0.08,1.05,0,3.08,1.05,3.23,0,0,0,0,109.73,116.59,466.34,233.17,356.61,349.76,0,,,,,,,,,
2014,10,15,288,595,0.08,1.05,0,2.4,1.05,2.52,0,0,0,0,112.25,116.59,466.34,233.17,354.09,349.76,0,,,,,,,,,
2014,10,16,289,595,0.08,1.05,0,2.69,1.05,2.82,0,0,0,0,115.08,116.59,466.34,233.17,351.27,349.76,0,,,,,,,,,
2014,10,17,290,595,0.08,1.05,0,2.49,1.05,2.61,0,0,0,0,0,116.59,466.34,233.17,466.34,349.76,117.69,,,,,,,,,
2014,10,18,291,595,0.08,1.05,0,2.85,1.05,2.99,0,0,0,0,2.99,116.59,466.34,233.17,463.35,349.76,0,,,,,,,,,
2014,10,19,292,595,0.08,1.05,0,2.85,1.05,2.99,0,0,0,0,5.99,116.59,466.34,233.17,460.36,349.76,0,,,,,,,,,
2014,10,20,293,595,0.08,1.04,0,2.16,1.04,2.25,0,0,0,0,8.23,116.59,466.34,233.17,458.11,349.76,0,,,,,,,,,
2014,10,21,294,595,0.08,1.03,0,2.66,1.03,2.74,0,0,0,0,10.98,116.59,466.34,233.17,455.37,349.76,0,,,,,,,,,
2014,10,22,295,595,0.08,1.02,0,2.54,1.02,2.6,0,0,0,0,13.57,116.59,466.34,233.17,452.77,349.76,0,,,,,,,,,
2014,10,23,296,595,0.08,1.01,0,2.49,1.01,2.52,0,0,0,0,16.1,116.59,466.34,233.17,450.25,349.76,0,,,,,,,,,
2014,10,24,297,595,0.08,1,0,2.54,1,2.55,0,0,0,0,18.64,116.59,466.34,233.17,447.7,349.76,0,,,,,,,,,
2014,10,25,298,595,0.08,0.99,0,2.22,0.99,2.21,0,0,0,0,20.85,116.59,466.34,233.17,445.49,349.76,0,,,,,,,,,
2014,10,26,299,595,0.08,0.99,0,2.66,0.99,2.62,0.87,0.87,0,0,22.6,116.59,466.34,233.17,443.74,349.76,0,,,,,,,,,
2014,10,27,300,595,0.08,0.98,0,2.48,0.98,2.42,0,0,0,0,25.02,116.59,466.34,233.17,441.32,349.76,0,,,,,,,,,
2014,10,28,301,595,0.08,0.97,0,2.36,0.97,2.28,0,0,0,0,27.3,116.59,466.34,233.17,439.04,349.76,0,,,,,,,,,
2014,10,29,302,595,0.08,0.96,0,2.44,0.96,2.34,0,0,0,0,29.64,116.59,466.34,233.17,436.7,349.76,0,,,,,,,,,
2014,10,30,303,595,0.08,0.95,0,2.44,0.95,2.31,0,0,0,0,31.95,116.59,466.34,233.17,434.39,349.76,0,,,,,,,,,
2014,10,31,304,595,0.08,0.94,0,1.29,0.94,1.21,0.07,0.07,0,0,33.1,116.59,466.34,233.17,433.25,349.76,0,,,,,,,,,
2014,11,1,305,595,0.08,0.93,0,1.83,0.93,1.7,5.22,5.22,0,0,29.58,116.59,466.34,233.17,436.77,349.76,0,,,,,,,,,
2014,11,2,306,595,0.08,0.92,0,2.18,0.92,2.01,0,0,0,0,31.58,116.59,466.34,233.17,434.76,349.76,0,,,,,,,,,
2014,11,3,307,595,0.08,0.91,0,1.8,0.91,1.64,0,0,0,0,33.22,116.59,466.34,233.17,433.12,349.76,0,,,,,,,,,
2014,11,4,308,595,0.08,0.9,0,1.75,0.9,1.58,0,0,0,0,34.8,116.59,466.34,233.17,431.54,349.76,0,,,,,,,,,
2014,11,5,309,595,0.08,0.89,0,1.9,0.89,1.7,0,0,0,0,36.5,116.59,466.34,233.17,429.85,349.76,0,,,,,,,,,
2014,11,6,310,595,0.08,0.88,0,1.91,0.88,1.69,0,0,0,0,38.18,116.59,466.34,233.17,428.16,349.76,0,,,,,,,,,
2014,11,7,311,595,0.08,0.87,0,1.94,0.87,1.7,0,0,0,0,39.88,116.59,466.34,233.17,426.46,349.76,0,,,,,,,,,
2014,11,8,312,595,0.08,0.86,0,1.87,0.86,1.62,0,0,0,0,41.5,116.59,466.34,233.17,424.85,349.76,0,,,,,,,,,
2014,11,9,313,595,0.08,0.86,0,1.83,0.86,1.57,0,0,0,0,43.06,116.59,466.34,233.17,423.28,349.76,0,,,,,,,,,
2014,11,10,314,595,0.08,0.85,0,1.84,0.85,1.56,0,0,0,0,44.62,116.59,466.34,233.17,421.72,349.76,0,,,,,,,,,
2014,11,11,315,595,0.08,0.84,0,1.55,0.84,1.3,0,0,0,0,45.92,116.59,466.34,233.17,420.43,349.76,0,,,,,,,,,
2014,11,12,316,595,0.08,0.83,0,1.54,0.83,1.27,0,0,0,0,47.19,116.59,466.34,233.17,419.15,349.76,0,,,,,,,,,
2014,11,13,317,595,1.18,0.82,0,1.07,1.18,1.26,5.34,5.34,0,0,43.11,116.59,466.34,233.17,423.23,349.76,0,,,,,,,,,
2014,11,14,318,595,1.17,0.81,0,1.4,1.17,1.64,0.95,0.95,0,0,43.8,116.59,466.34,233.17,422.54,349.76,0,,,,,,,,,
2014,11,15,319,595,1.17,0.8,0,1.34,1.17,1.57,0,0,0,0,45.37,116.59,466.34,233.17,420.98,349.76,0,,,,,,,,,
2014,11,16,320,595,1.16,0,0,1.94,1.16,2.26,0.07,0.07,0,0,22.95,22.95,466.34,233.17,443.39,443.39,0,,,,,,,,,
2014,11,17,321,595,1.02,0,0,1.79,1.02,1.83,0,0,0,0,24.78,22.95,466.34,233.17,441.57,443.39,0,,,,,,,,,
2014,11,18,322,595,0.94,0,0,1.33,0.94,1.25,0,0,0,0,22.95,22.95,466.34,233.17,443.39,443.39,0,,,,,,,,,
2014,11,19,323,595,0.89,0,0,1.09,0.89,0.97,0.59,0.59,0,0,23.33,22.95,466.34,233.17,443.02,443.39,0,,,,,,,,,
2014,11,20,324,595,1.19,0,0,0.63,1.19,0.75,2.88,2.88,0,0,20.45,22.95,466.34,233.17,445.9,443.39,0,,,,,,,,,
2014,11,21,325,595,1.18,0,0,0.9,1.18,1.07,4.27,4.27,0,0,17.24,22.95,466.34,233.17,449.1,443.39,0,,,,,,,,,
2014,11,22,326,595,1.18,0,0,1.25,1.18,1.47,0.9,0.9,0,0,17.82,22.95,466.34,233.17,448.53,443.39,0,,,,,,,,,
2014,11,23,327,595,1.16,0,0,1.56,1.16,1.81,3.21,3.21,0,0,16.41,22.95,466.34,233.17,449.93,443.39,0,,,,,,,,,
2014,11,24,328,595,1.16,0,0,1.39,1.16,1.61,0,0,0,0,18.02,22.95,466.34,233.17,448.32,443.39,0,,,,,,,,,
2014,11,25,329,595,1.16,0,0,1.25,1.16,1.46,0,0,0,0,19.48,22.95,466.34,233.17,446.86,443.39,0,,,,,,,,,
2014,11,26,330,595,1.17,0,0,1.26,1.17,1.47,0,0,0,0,20.95,22.95,466.34,233.17,445.4,443.39,0,,,,,,,,,
2014,11,27,331,595,1.09,0,0,1.19,1.09,1.3,0,0,0,0,22.24,22.95,466.34,233.17,444.1,443.39,0,,,,,,,,,
2014,11,28,332,595,1.01,0,0,1.14,1.01,1.15,0,0,0,0,23.39,22.95,466.34,233.17,442.95,443.39,0,,,,,,,,,
2014,11,29,333,595,0.96,0,0,0.81,0.96,0.78,0.48,0.48,0,0,22.91,22.95,466.34,233.17,443.43,443.39,0,,,,,,,,,
2014,11,30,334,595,1.19,0,0,0.66,1.19,0.79,3.64,3.64,0,0,20.06,22.95,466.34,233.17,446.28,443.39,0,,,,,,,,,
2014,12,1,335,595,1.18,0,0,0.96,1.18,1.13,10.55,10.55,0,0,10.64,22.95,466.34,233.17,455.7,443.39,0,,,,,,,,,
2014,12,2,336,595,1.19,0,0,0.64,1.19,0.76,10.14,10.14,0,0,1.27,22.95,466.34,233.17,465.08,443.39,0,,,,,,,,,
2014,12,3,337,595,1.17,0,0,1.15,1.17,1.35,32.71,2.62,0,0,0,22.95,466.34,233.17,466.34,443.39,0,,,,,,,,,
2014,12,4,338,595,1.18,0,0,1.1,1.18,1.29,6.73,1.29,0,0,0,22.95,466.34,233.17,466.34,443.39,0,,,,,,,,,
2014,12,5,339,595,1.18,0,0,0.9,1.18,1.06,0.56,0.56,0,0,0.5,22.95,466.34,233.17,465.84,443.39,0,,,,,,,,,
2014,12,6,340,595,1.18,0,0,1.08,1.18,1.27,3.46,1.77,0,0,0,22.95,466.34,233.17,466.34,443.39,0,,,,,,,,,
2014,12,7,341,595,1.18,0,0,0.73,1.18,0.86,0.14,0.14,0,0,0.72,22.95,466.34,233.17,465.62,443.39,0,,,,,,,,,
2014,12,8,342,595,1.18,0,0,0.84,1.18,1,0,0,0,0,1.72,22.95,466.34,233.17,464.62,443.39,0,,,,,,,,,
2014,12,9,343,595,1.19,0,0,0.67,1.19,0.8,0,0,0,0,2.51,22.95,466.34,233.17,463.83,443.39,0,,,,,,,,,
