 Daily soil water balance output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,13425,0.08,0,0,5.56,0.08,0.47,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,2014,10,13425,100.46,8.30,365.58,0,0.00
2014,10,2,275,13425,0.08,0,0,4.08,0.08,0.34,0,0,0,0,30.94,30.6,435.25,217.63,404.31,404.65,0,,2014,11,13425,43.94,26.21,1154.43,0,0.00
2014,10,3,276,13425,0.08,0,0,4.13,0.08,0.35,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,2014,12,13425,32.25,35.14,1547.75,0,0.00
2014,10,4,277,13425,0.08,0,0,4.12,0.08,0.35,0,0,0,0,30.95,30.6,435.25,217.63,404.31,404.65,0,,2015,1,13425,31.89,16.61,731.59,0,0.00
2014,10,5,278,13425,0.08,0,0,3.97,0.08,0.33,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,2015,2,13425,56.06,37.90,1669.32,0,0.00
2014,10,6,279,13425,0.08,0,0,3.97,0.08,0.33,0,0,0,0,30.93,30.6,435.25,217.63,404.32,404.65,0,,2015,3,13425,102.94,49.15,2164.83,0,0.00
2014,10,7,280,13425,0.08,0,0,4.08,0.08,0.34,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,2015,4,13425,136.61,72.68,3201.21,0,0.00
2014,10,8,281,13425,0.08,0,0,4.81,0.08,0.4,0,0,0,0,31,30.6,435.25,217.63,404.25,404.65,0,,2015,5,13425,150.49,40.61,1788.68,40.63,1789.56
2014,10,9,282,13425,0.08,0,0,4.12,0.08,0.34,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,2015,6,13425,196.51,108.88,4795.65,108.9,4796.53
2014,10,10,283,13425,0.08,0,0,3.54,0.08,0.29,0,0,0,0,30.89,30.6,435.25,217.63,404.36,404.65,0,,2015,7,13425,204.06,205.85,9066.72,205.85,9066.72
2014,10,11,284,13425,0.08,0,0,3.45,0.08,0.29,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,2015,8,13425,187.50,193.15,8507.34,193.13,8506.46
2014,10,12,285,13425,0.08,0,0,6.01,0.08,0.5,0,0,0,0,31.1,30.6,435.25,217.63,404.16,404.65,0,,2015,9,13425,144.17,136.61,6017.03,136.61,6017.03
2014,10,13,286,13425,0.08,0,0,3.98,0.08,0.33,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,,,,,,,,
2014,10,14,287,13425,0.08,0,0,3.08,0.08,0.25,0,0,0,0,30.85,30.6,435.25,217.63,404.4,404.65,0,,,,,,,,,
2014,10,15,288,13425,0.08,0,0,2.4,0.08,0.2,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,,,,,,,,
2014,10,16,289,13425,0.08,0,0,2.69,0.08,0.22,0,0,0,0,30.82,30.6,435.25,217.63,404.43,404.65,0,,,,,,,,,
2014,10,17,290,13425,0.08,0,0,2.49,0.08,0.2,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,,,,,,,,
2014,10,18,291,13425,0.08,0,0,2.85,0.08,0.23,0,0,0,0,30.83,30.6,435.25,217.63,404.42,404.65,0,,,,,,,,,
2014,10,19,292,13425,0.08,0,0,2.85,0.08,0.23,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,,,,,,,,
2014,10,20,293,13425,0.08,0,0,2.16,0.08,0.18,0,0,0,0,30.78,30.6,435.25,217.63,404.48,404.65,0,,,,,,,,,
2014,10,21,294,13425,0.08,0,0,2.66,0.08,0.22,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,,,,,,,,
2014,10,22,295,13425,0.08,0,0,2.54,0.08,0.21,0,0,0,0,30.81,30.6,435.25,217.63,404.45,404.65,0,,,,,,,,,
2014,10,23,296,13425,0.08,0,0,2.49,0.08,0.2,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,,,,,,,,
2014,10,24,297,13425,0.08,0,0,2.54,0.08,0.21,0,0,0,0,30.81,30.6,435.25,217.63,404.45,404.65,0,,,,,,,,,
2014,10,25,298,13425,0.08,0,0,2.22,0.08,0.18,0,0,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,,,,,,,,
2014,10,26,299,13425,0.08,0,0,2.66,0.08,0.22,0.87,0.87,0,0,29.95,30.6,435.25,217.63,405.31,404.65,0,,,,,,,,,
2014,10,27,300,13425,0.08,0,0,2.48,0.08,0.2,0,0,0,0,30.15,30.6,435.25,217.63,405.11,404.65,0,,,,,,,,,
2014,10,28,301,13425,0.08,0,0,2.36,0.08,0.19,0,0,0,0,30.34,30.6,435.25,217.63,404.91,404.65,0,,,,,,,,,
2014,10,29,302,13425,0.08,0,0,2.44,0.08,0.2,0,0,0,0,30.54,30.6,435.25,217.63,404.72,404.65,0,,,,,,,,,
2014,10,30,303,13425,0.08,0,0,2.44,0.08,0.2,0,0,0,0,30.74,30.6,435.25,217.63,404.52,404.65,0,,,,,,,,,
2014,10,31,304,13425,0.08,0,0,1.29,0.08,0.1,0.07,0.07,0,0,30.6,30.6,435.25,217.63,404.65,404.65,0,,,,,,,,,
2014,11,1,305,13425,0.08,0,0,1.83,0.08,0.15,5.22,5.22,0,0,25.53,30.6,435.25,217.63,409.73,404.65,0,,,,,,,,,
2014,11,2,306,13425,0.08,0,0,2.18,0.08,0.18,0,0,0,0,25.7,30.6,435.25,217.63,409.55,404.65,0,,,,,,,,,
2014,11,3,307,13425,0.08,0,0,1.8,0.08,0.15,0,0,0,0,25.85,30.6,435.25,217.63,409.4,404.65,0,,,,,,,,,
2014,11,4,308,13425,0.08,0,0,1.75,0.08,0.14,0,0,0,0,25.99,30.6,435.25,217.63,409.26,404.65,0,,,,,,,,,
2014,11,5,309,13425,0.08,0,0,1.9,0.08,0.15,0,0,0,0,26.15,30.6,435.25,217.63,409.11,404.65,0,,,,,,,,,
2014,11,6,310,13425,0.08,0,0,1.91,0.08,0.15,0,0,0,0,26.3,30.6,435.25,217.63,408.95,404.65,0,,,,,,,,,
2014,11,7,311,13425,0.08,0,0,1.94,0.08,0.16,0,0,0,0,26.46,30.6,435.25,217.63,408.8,404.65,0,,,,,,,,,
2014,11,8,312,13425,0.08,0,0,1.87,0.08,0.15,0,0,0,0,26.61,30.6,435.25,217.63,408.65,404.65,0,,,,,,,,,
2014,11,9,313,13425,0.08,0,0,1.83,0.08,0.15,0,0,0,0,26.75,30.6,435.25,217.63,408.5,404.65,0,,,,,,,,,
2014,11,10,314,13425,0.08,0,0,1.84,0.08,0.15,0,0,0,0,26.9,30.6,435.25,217.63,408.35,404.65,0,,,,,,,,,
2014,11,11,315,13425,0.08,0,0,1.55,0.08,0.12,0,0,0,0,27.03,30.6,435.25,217.63,408.23,404.65,0,,,,,,,,,
2014,11,12,316,13425,0.08,0,0,1.54,0.08,0.12,0,0,0,0,27.15,30.6,435.25,217.63,408.1,404.65,0,,,,,,,,,
2014,11,13,317,13425,1.18,0,0,1.07,1.18,1.26,5.34,5.34,0,0,23.07,30.6,435.25,217.63,412.18,404.65,0,,,,,,,,,
2014,11,14,318,13425,1.17,0,0,1.4,1.17,1.64,0.95,0.95,0,0,23.76,30.6,435.25,217.63,411.49,404.65,0,,,,,,,,,
2014,11,15,319,13425,1.17,0,0,1.34,1.17,1.57,0,0,0,0,25.33,30.6,435.25,217.63,409.93,404.65,0,,,,,,,,,
2014,11,16,320,13425,1.16,0,0,1.94,1.16,2.26,0.07,0.07,0,0,27.51,30.6,435.25,217.63,407.74,404.65,0,,,,,,,,,
2014,11,17,321,13425,1.02,0,0,1.79,1.02,1.83,0,0,0,0,29.34,30.6,435.25,217.63,405.92,404.65,0,,,,,,,,,
2014,11,18,322,13425,0.94,0,0,1.33,0.94,1.25,0,0,0,0,30.59,30.6,435.25,217.63,404.67,404.65,0,,,,,,,,,
2014,11,19,323,13425,0.89,0,0,1.09,0.89,0.97,0.59,0.59,0,0,30.97,30.6,435.25,217.63,404.29,404.65,0,,,,,,,,,
2014,11,20,324,13425,1.19,0,0,0.63,1.19,0.75,2.88,2.88,0,0,28.09,30.6,435.25,217.63,407.17,404.65,0,,,,,,,,,
2014,11,21,325,13425,1.18,0,0,0.9,1.18,1.07,4.27,4.27,0,0,24.88,30.6,435.25,217.63,410.37,404.65,0,,,,,,,,,
2014,11,22,326,13425,1.18,0,0,1.25,1.18,1.47,0.9,0.9,0,0,25.45,30.6,435.25,217.63,409.8,404.65,0,,,,,,,,,
2014,11,23,327,13425,1.16,0,0,1.56,1.16,1.81,3.21,3.21,0,0,24.05,30.6,435.25,217.63,411.2,404.65,0,,,,,,,,,
2014,11,24,328,13425,1.16,0,0,1.39,1.16,1.61,0,0,0,0,25.66,30.6,435.25,217.63,409.59,404.65,0,,,,,,,,,
2014,11,25,329,13425,1.16,0,0,1.25,1.16,1.46,0,0,0,0,27.12,30.6,435.25,217.63,408.14,404.65,0,,,,,,,,,
2014,11,26,330,13425,1.17,0,0,1.26,1.17,1.47,0,0,0,0,28.59,30.6,435.25,217.63,406.67,404.65,0,,,,,,,,,
2014,11,27,331,13425,1.09,0,0,1.19,1.09,1.3,0,0,0,0,29.88,30.6,435.25,217.63,405.37,404.65,0,,,,,,,,,
2014,11,28,332,13425,1.01,0,0,1.14,1.01,1.15,0,0,0,0,31.03,30.6,435.25,217.63,404.22,404.65,0,,,,,,,,,
2014,11,29,333,13425,0.96,0,0,0.81,0.96,0.78,0.48,0.48,0,0,30.55,30.6,435.25,217.63,404.7,404.65,0,,,,,,,,,
2014,11,30,334,13425,1.19,0,0,0.66,1.19,0.79,3.64,3.64,0,0,27.7,30.6,435.25,217.63,407.56,404.65,0,,,,,,,,,
2014,12,1,335,13425,1.18,0,0,0.96,1.18,1.13,10.55,10.55,0,0,18.28,30.6,435.25,217.63,416.97,404.65,0,,,,,,,,,
