 Daily soil water balance output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,172,0.08,0,0,5.56,0.08,0.47,0,0,0,0,9.74,25.5,336.8,168.4,327.07,311.3,0,,2014,10,172,100.46,8.30,4.68,0,0.00
2014,10,2,275,172,0.08,0,0,4.08,0.08,0.34,0,0,0,0,10.08,25.5,336.8,168.4,326.72,311.3,0,,2014,11,172,43.94,26.21,14.79,0,0.00
2014,10,3,276,172,0.08,0,0,4.13,0.08,0.35,0,0,0,0,10.43,25.5,336.8,168.4,326.38,311.3,0,,2014,12,172,32.25,35.14,19.83,0,0.00
2014,10,4,277,172,0.08,0,0,4.12,0.08,0.35,0,0,0,0,10.77,25.5,336.8,168.4,326.03,311.3,0,,2015,1,172,31.89,16.61,9.37,0,0.00
2014,10,5,278,172,0.08,0,0,3.97,0.08,0.33,0,0,0,0,11.11,25.5,336.8,168.4,325.7,311.3,0,,2015,2,172,56.06,37.90,21.39,0,0.00
2014,10,6,279,172,0.08,0,0,3.97,0.08,0.33,0,0,0,0,11.44,25.5,336.8,168.4,325.37,311.3,0,,2015,3,172,102.94,49.15,27.74,0,0.00
2014,10,7,280,172,0.08,0,0,4.08,0.08,0.34,0,0,0,0,11.78,25.5,336.8,168.4,325.03,311.3,0,,2015,4,172,136.61,72.68,41.01,0,0.00
2014,10,8,281,172,0.08,0,0,4.81,0.08,0.4,0,0,0,0,12.18,25.5,336.8,168.4,324.63,311.3,0,,2015,5,172,150.49,40.56,22.89,0,0.00
2014,10,9,282,172,0.08,0,0,4.12,0.08,0.34,0,0,0,0,12.52,25.5,336.8,168.4,324.28,311.3,0,,2015,6,172,196.51,103.32,58.30,103.32,58.30
2014,10,10,283,172,0.08,0,0,3.54,0.08,0.29,0,0,0,0,12.81,25.5,336.8,168.4,323.99,311.3,0,,2015,7,172,204.06,151.54,85.51,151.5,85.49
2014,10,11,284,172,0.08,0,0,3.45,0.08,0.29,0,0,0,0,13.1,25.5,336.8,168.4,323.71,311.3,0,,2015,8,172,187.50,168.78,95.24,168.75,95.23
2014,10,12,285,172,0.08,0,0,6.01,0.08,0.5,0,0,0,0,13.59,25.5,336.8,168.4,323.21,311.3,0,,2015,9,172,144.17,118.79,67.03,118.75,67.01
2014,10,13,286,172,0.08,0,0,3.98,0.08,0.33,0,0,0,0,13.92,25.5,336.8,168.4,322.88,311.3,0,,,,,,,,,
2014,10,14,287,172,0.08,0,0,3.08,0.08,0.25,0,0,0,0,14.17,25.5,336.8,168.4,322.63,311.3,0,,,,,,,,,
2014,10,15,288,172,0.08,0,0,2.4,0.08,0.2,0,0,0,0,14.37,25.5,336.8,168.4,322.43,311.3,0,,,,,,,,,
2014,10,16,289,172,0.08,0,0,2.69,0.08,0.22,0,0,0,0,14.59,25.5,336.8,168.4,322.21,311.3,0,,,,,,,,,
2014,10,17,290,172,0.08,0,0,2.49,0.08,0.2,0,0,0,0,14.8,25.5,336.8,168.4,322.01,311.3,0,,,,,,,,,
2014,10,18,291,172,0.08,0,0,2.85,0.08,0.23,0,0,0,0,15.03,25.5,336.8,168.4,321.77,311.3,0,,,,,,,,,
2014,10,19,292,172,0.08,0,0,2.85,0.08,0.23,0,0,0,0,15.26,25.5,336.8,168.4,321.54,311.3,0,,,,,,,,,
2014,10,20,293,172,0.08,0,0,2.16,0.08,0.18,0,0,0,0,15.44,25.5,336.8,168.4,321.36,311.3,0,,,,,,,,,
2014,10,21,294,172,0.08,0,0,2.66,0.08,0.22,0,0,0,0,15.66,25.5,336.8,168.4,321.15,311.3,0,,,,,,,,,
2014,10,22,295,172,0.08,0,0,2.54,0.08,0.21,0,0,0,0,15.86,25.5,336.8,168.4,320.94,311.3,0,,,,,,,,,
2014,10,23,296,172,0.08,0,0,2.49,0.08,0.2,0,0,0,0,16.07,25.5,336.8,168.4,320.74,311.3,0,,,,,,,,,
2014,10,24,297,172,0.08,0,0,2.54,0.08,0.21,0,0,0,0,16.27,25.5,336.8,168.4,320.53,311.3,0,,,,,,,,,
2014,10,25,298,172,0.08,0,0,2.22,0.08,0.18,0,0,0,0,16.46,25.5,336.8,168.4,320.35,311.3,0,,,,,,,,,
