 Daily soil water balance output for Olives in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly Water balance output for Olives at 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,15,0.08,0.7,0,5.56,0.7,3.89,0,0,0,0,109.55,126.35,621.79,310.9,512.24,495.44,0,,2014,10,15,100.46,70.32,3.46
2014,10,2,275,15,0.08,0.7,0,4.08,0.7,2.86,0,0,0,0,112.41,126.35,621.79,310.9,509.39,495.44,0,,2014,11,15,43.94,39.76,1.96
2014,10,3,276,15,0.08,0.7,0,4.13,0.7,2.89,0,0,0,0,115.3,155.45,621.79,310.9,506.5,466.34,0,,2014,12,15,32.25,35.16,1.73
2014,10,4,277,15,0.08,0.7,0,4.12,0.7,2.88,0,0,0,0,118.18,155.45,621.79,310.9,503.61,466.34,0,,2015,1,15,31.89,22.33,1.10
2014,10,5,278,15,0.08,0.7,0,3.97,0.7,2.78,0,0,0,0,120.96,155.45,621.79,310.9,500.83,466.34,0,,2015,2,15,56.06,45.34,2.23
2014,10,6,279,15,0.08,0.7,0,3.97,0.7,2.78,0,0,0,0,123.74,155.45,621.79,310.9,498.05,466.34,0,,2015,3,15,102.94,75.38,3.71
2014,10,7,280,15,0.08,0.7,0,4.08,0.7,2.86,0,0,0,0,126.6,155.45,621.79,310.9,495.2,466.34,0,,2015,4,15,136.61,103.31,5.08
2014,10,8,281,15,0.08,0.7,0,4.81,0.7,3.37,0,0,0,0,129.96,155.45,621.79,310.9,491.83,466.34,0,,2015,5,15,150.49,105.34,5.18
2014,10,9,282,15,0.08,0.7,0,4.12,0.7,2.88,0,0,0,0,132.85,155.45,621.79,310.9,488.95,466.34,0,,2015,6,15,196.51,137.56,6.77
2014,10,10,283,15,0.08,0.7,0,3.54,0.7,2.48,0,0,0,0,135.32,155.45,621.79,310.9,486.47,466.34,0,,2015,7,15,204.06,142.84,7.03
