 Daily soil water balance output for Other Deciduous in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Other Deciduous in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,728,0.08,0.99,0,5.56,0.99,5.51,0,0,0,0,38.8,116.59,466.34,233.17,427.54,349.76,0,,2014,10,728,100.46,91.46,218.45,91.45,218.42
2014,10,2,275,728,0.08,0.98,0,4.08,0.98,4.02,0,0,0,0,42.82,116.59,466.34,233.17,423.53,349.76,0,,2014,11,728,43.94,26.21,62.60,0,0.00
2014,10,3,276,728,0.08,0.98,0,4.13,0.98,4.04,0,0,0,0,46.86,116.59,466.34,233.17,419.49,349.76,0,,2014,12,728,32.25,35.14,83.93,0,0.00
2014,10,4,277,728,0.08,0.97,0,4.12,0.97,4,0,0,0,0,50.86,116.59,466.34,233.17,415.48,349.76,0,,2015,1,728,31.89,16.61,39.67,0,0.00
2014,10,5,278,728,0.08,0.97,0,3.97,0.97,3.83,0,0,0,0,54.69,116.59,466.34,233.17,411.65,349.76,0,,2015,2,728,56.06,37.90,90.52,0,0.00
2014,10,6,279,728,0.08,0.96,0,3.97,0.96,3.81,0,0,0,0,58.5,116.59,466.34,233.17,407.84,349.76,0,,2015,3,728,102.94,70.33,167.98,70.34,168.00
2014,10,7,280,728,0.08,0.95,0,4.08,0.95,3.89,0,0,0,0,62.39,116.59,466.34,233.17,403.96,349.76,0,,2015,4,728,136.61,114.26,272.90,114.27,272.93
2014,10,8,281,728,0.08,0.95,0,4.81,0.95,4.55,0,0,0,0,66.94,116.59,466.34,233.17,399.4,349.76,0,,2015,5,728,150.49,143.57,342.91,143.58,342.93
2014,10,9,282,728,0.08,0.94,0,4.12,0.94,3.87,0,0,0,0,70.81,116.59,466.34,233.17,395.53,349.76,0,,2015,6,728,196.51,211.15,504.32,211.14,504.30
2014,10,10,283,728,0.08,0.93,0,3.54,0.93,3.31,0,0,0,0,74.12,116.59,466.34,233.17,392.23,349.76,0,,2015,7,728,204.06,220.35,526.30,220.38,526.37
2014,10,11,284,728,0.08,0.93,0,3.45,0.93,3.2,0,0,0,0,77.32,116.59,466.34,233.17,389.03,349.76,0,,2015,8,728,187.50,202.50,483.66,202.5,483.66
2014,10,12,285,728,0.08,0.92,0,6.01,0.92,5.53,0,0,0,0,82.85,116.59,466.34,233.17,383.49,349.76,0,,2015,9,728,144.17,153.26,366.05,153.29,366.13
2014,10,13,286,728,0.08,0.91,0,3.98,0.91,3.64,0,0,0,0,86.49,116.59,466.34,233.17,379.85,349.76,0,,,,,,,,,
2014,10,14,287,728,0.08,0.91,0,3.08,0.91,2.8,0,0,0,0,89.29,116.59,466.34,233.17,377.06,349.76,0,,,,,,,,,
2014,10,15,288,728,0.08,0.9,0,2.4,0.9,2.16,0,0,0,0,91.45,116.59,466.34,233.17,374.89,349.76,0,,,,,,,,,
2014,10,16,289,728,0.08,0.9,0,2.69,0.9,2.41,0,0,0,0,93.86,116.59,466.34,233.17,372.48,349.76,0,,,,,,,,,
2014,10,17,290,728,0.08,0.89,0,2.49,0.89,2.21,0,0,0,0,96.08,116.59,466.34,233.17,370.27,349.76,0,,,,,,,,,
2014,10,18,291,728,0.08,0.88,0,2.85,0.88,2.52,0,0,0,0,98.59,116.59,466.34,233.17,367.75,349.76,0,,,,,,,,,
2014,10,19,292,728,0.08,0.88,0,2.85,0.88,2.5,0,0,0,0,101.09,116.59,466.34,233.17,365.25,349.76,0,,,,,,,,,
2014,10,20,293,728,0.08,0.87,0,2.16,0.87,1.88,0,0,0,0,102.97,116.59,466.34,233.17,363.38,349.76,0,,,,,,,,,
2014,10,21,294,728,0.08,0.86,0,2.66,0.86,2.3,0,0,0,0,105.27,116.59,466.34,233.17,361.08,349.76,0,,,,,,,,,
2014,10,22,295,728,0.08,0.86,0,2.54,0.86,2.18,0,0,0,0,107.44,116.59,466.34,233.17,358.9,349.76,0,,,,,,,,,
2014,10,23,296,728,0.08,0.85,0,2.49,0.85,2.12,0,0,0,0,109.56,116.59,466.34,233.17,356.78,349.76,0,,,,,,,,,
2014,10,24,297,728,0.08,0.84,0,2.54,0.84,2.15,0,0,0,0,111.71,116.59,466.34,233.17,354.64,349.76,0,,,,,,,,,
2014,10,25,298,728,0.08,0.84,0,2.22,0.84,1.86,0,0,0,0,113.57,116.59,466.34,233.17,352.78,349.76,0,,,,,,,,,
2014,10,26,299,728,0.08,0.83,0,2.66,0.83,2.21,0.87,0.87,0,0,114.91,116.59,466.34,233.17,351.43,349.76,0,,,,,,,,,
2014,10,27,300,728,0.08,0.83,0,2.48,0.83,2.05,0,0,0,0,0,116.59,466.34,233.17,466.34,349.76,116.96,,,,,,,,,
2014,10,28,301,728,0.08,0.82,0,2.36,0.82,1.93,0,0,0,0,1.93,116.59,466.34,233.17,464.41,349.76,0,,,,,,,,,
2014,10,29,302,728,0.08,0.81,0,2.44,0.81,1.98,0,0,0,0,3.92,116.59,466.34,233.17,462.43,349.76,0,,,,,,,,,
2014,10,30,303,728,0.08,0.81,0,2.44,0.81,1.97,0,0,0,0,5.88,116.59,466.34,233.17,460.46,349.76,0,,,,,,,,,
2014,10,31,304,728,0.08,0.8,0,1.29,0.8,1.03,0.07,0.07,0,0,6.85,116.59,466.34,233.17,459.5,349.76,0,,,,,,,,,
2014,11,1,305,728,0.08,0,0,1.83,0.08,0.15,5.22,5.22,0,0,1.77,22.95,466.34,233.17,464.57,443.39,0,,,,,,,,,
2014,11,2,306,728,0.08,0,0,2.18,0.08,0.18,0,0,0,0,1.95,22.95,466.34,233.17,464.39,443.39,0,,,,,,,,,
2014,11,3,307,728,0.08,0,0,1.8,0.08,0.15,0,0,0,0,2.1,22.95,466.34,233.17,464.25,443.39,0,,,,,,,,,
2014,11,4,308,728,0.08,0,0,1.75,0.08,0.14,0,0,0,0,2.24,22.95,466.34,233.17,464.11,443.39,0,,,,,,,,,
2014,11,5,309,728,0.08,0,0,1.9,0.08,0.15,0,0,0,0,2.39,22.95,466.34,233.17,463.95,443.39,0,,,,,,,,,
2014,11,6,310,728,0.08,0,0,1.91,0.08,0.15,0,0,0,0,2.55,22.95,466.34,233.17,463.8,443.39,0,,,,,,,,,
2014,11,7,311,728,0.08,0,0,1.94,0.08,0.16,0,0,0,0,2.7,22.95,466.34,233.17,463.64,443.39,0,,,,,,,,,
2014,11,8,312,728,0.08,0,0,1.87,0.08,0.15,0,0,0,0,2.85,22.95,466.34,233.17,463.49,443.39,0,,,,,,,,,
2014,11,9,313,728,0.08,0,0,1.83,0.08,0.15,0,0,0,0,3,22.95,466.34,233.17,463.34,443.39,0,,,,,,,,,
2014,11,10,314,728,0.08,0,0,1.84,0.08,0.15,0,0,0,0,3.15,22.95,466.34,233.17,463.2,443.39,0,,,,,,,,,
2014,11,11,315,728,0.08,0,0,1.55,0.08,0.12,0,0,0,0,3.27,22.95,466.34,233.17,463.07,443.39,0,,,,,,,,,
2014,11,12,316,728,0.08,0,0,1.54,0.08,0.12,0,0,0,0,3.4,22.95,466.34,233.17,462.95,443.39,0,,,,,,,,,
2014,11,13,317,728,1.18,0,0,1.07,1.18,1.26,5.34,4.66,0,0,0,22.95,466.34,233.17,466.34,443.39,0,,,,,,,,,
2014,11,14,318,728,1.17,0,0,1.4,1.17,1.64,0.95,0.95,0,0,0.69,22.95,466.34,233.17,465.66,443.39,0,,,,,,,,,
2014,11,15,319,728,1.17,0,0,1.34,1.17,1.57,0,0,0,0,2.26,22.95,466.34,233.17,464.09,443.39,0,,,,,,,,,
2014,11,16,320,728,1.16,0,0,1.94,1.16,2.26,0.07,0.07,0,0,4.44,22.95,466.34,233.17,461.9,443.39,0,,,,,,,,,
2014,11,17,321,728,1.02,0,0,1.79,1.02,1.83,0,0,0,0,6.27,22.95,466.34,233.17,460.08,443.39,0,,,,,,,,,
2014,11,18,322,728,0.94,0,0,1.33,0.94,1.25,0,0,0,0,7.52,22.95,466.34,233.17,458.83,443.39,0,,,,,,,,,
2014,11,19,323,728,0.89,0,0,1.09,0.89,0.97,0.59,0.59,0,0,7.9,22.95,466.34,233.17,458.45,443.39,0,,,,,,,,,
2014,11,20,324,728,1.19,0,0,0.63,1.19,0.75,2.88,2.88,0,0,5.77,22.95,466.34,233.17,460.58,443.39,0,,,,,,,,,
2014,11,21,325,728,1.18,0,0,0.9,1.18,1.07,4.27,4.27,0,0,2.56,22.95,466.34,233.17,463.78,443.39,0,,,,,,,,,
2014,11,22,326,728,1.18,0,0,1.25,1.18,1.47,0.9,0.9,0,0,3.14,22.95,466.34,233.17,463.21,443.39,0,,,,,,,,,
2014,11,23,327,728,1.16,0,0,1.56,1.16,1.81,3.21,3.21,0,0,1.73,22.95,466.34,233.17,464.61,443.39,0,,,,,,,,,
2014,11,24,328,728,1.16,0,0,1.39,1.16,1.61,0,0,0,0,3.34,22.95,466.34,233.17,463,443.39,0,,,,,,,,,
