 Daily soil water balance output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,9321,0.08,0.95,0,5.56,0.95,5.28,0,0,0,0,22.39,53.71,227.99,114,205.6,174.28,0,,2014,10,9321,100.46,95.46,2919.23
2014,10,2,275,9321,0.08,0.95,0,4.08,0.95,3.88,0,0,0,0,26.27,53.71,227.99,114,201.72,174.28,0,,2014,11,9321,43.94,45.36,1387.14
2014,10,3,276,9321,0.08,0.95,0,4.13,0.95,3.92,0,0,0,0,30.19,53.71,227.99,114,197.8,174.28,0,,2014,12,9321,32.25,36.13,1104.88
2014,10,4,277,9321,0.08,0.95,0,4.12,0.95,3.91,0,0,0,0,34.1,53.71,227.99,114,193.89,174.28,0,,2015,1,9321,31.89,30.31,926.90
2014,10,5,278,9321,0.08,0.95,0,3.97,0.95,3.77,0,0,0,0,37.88,53.71,227.99,114,190.12,174.28,0,,2015,2,9321,56.06,55.44,1695.39
2014,10,6,279,9321,0.08,0.95,0,3.97,0.95,3.77,0,0,0,0,41.65,53.71,227.99,114,186.34,174.28,0,,2015,3,9321,102.94,98.74,3019.54
2014,10,7,280,9321,0.08,0.95,0,4.08,0.95,3.88,0,0,0,0,45.52,53.71,227.99,114,182.47,174.28,0,,2015,4,9321,136.61,131.95,4035.12
2014,10,8,281,9321,0.08,0.95,0,4.81,0.95,4.57,0,0,0,0,50.09,53.71,227.99,114,177.9,174.28,0,,2015,5,9321,150.49,142.96,4371.82
2014,10,9,282,9321,0.08,0.95,0,4.12,0.95,3.91,0,0,0,0,0,53.71,227.99,114,227.99,174.28,54.01,,2015,6,9321,196.51,186.69,5709.11
2014,10,10,283,9321,0.08,0.95,0,3.54,0.95,3.36,0,0,0,0,3.36,53.71,227.99,114,224.63,174.28,0,,2015,7,9321,204.06,193.86,5928.38
2014,10,11,284,9321,0.08,0.95,0,3.45,0.95,3.28,0,0,0,0,6.64,53.71,227.99,114,221.35,174.28,0,,2015,8,9321,187.50,178.12,5447.04
2014,10,12,285,9321,0.08,0.95,0,6.01,0.95,5.71,0,0,0,0,12.35,53.71,227.99,114,215.64,174.28,0,,2015,9,9321,144.17,136.95,4188.03
2014,10,13,286,9321,0.08,0.95,0,3.98,0.95,3.78,0,0,0,0,16.13,53.71,227.99,114,211.86,174.28,0,,,,,,,
2014,10,14,287,9321,0.08,0.95,0,3.08,0.95,2.93,0,0,0,0,19.06,53.71,227.99,114,208.93,174.28,0,,,,,,,
2014,10,15,288,9321,0.08,0.95,0,2.4,0.95,2.28,0,0,0,0,21.34,53.71,227.99,114,206.65,174.28,0,,,,,,,
