 Daily soil water balance output for Pistachios in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Pistachios in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,40,0.08,0.98,0,5.56,0.98,5.45,0,0,0,0,50.74,142.49,569.98,284.99,519.23,427.48,0,,2014,10,40,100.46,89.79,11.78,89.79,11.78
2014,10,2,275,40,0.08,0.97,0,4.08,0.97,3.97,0,0,0,0,54.71,142.49,569.98,284.99,515.26,427.48,0,,2014,11,40,43.94,40.52,5.32,36.49,4.79
2014,10,3,276,40,0.08,0.97,0,4.13,0.97,3.99,0,0,0,0,58.7,142.49,569.98,284.99,511.27,427.48,0,,2014,12,40,32.25,35.14,4.61,0,0.00
2014,10,4,277,40,0.08,0.96,0,4.12,0.96,3.95,0,0,0,0,62.66,142.49,569.98,284.99,507.32,427.48,0,,2015,1,40,31.89,16.61,2.18,0,0.00
2014,10,5,278,40,0.08,0.95,0,3.97,0.95,3.78,0,0,0,0,66.44,142.49,569.98,284.99,503.54,427.48,0,,2015,2,40,56.06,37.90,4.97,0,0.00
2014,10,6,279,40,0.08,0.95,0,3.97,0.95,3.75,0,0,0,0,70.19,142.49,569.98,284.99,499.78,427.48,0,,2015,3,40,102.94,88.18,11.57,88.16,11.57
2014,10,7,280,40,0.08,0.94,0,4.08,0.94,3.83,0,0,0,0,74.02,142.49,569.98,284.99,495.95,427.48,0,,2015,4,40,136.61,126.60,16.61,126.62,16.62
2014,10,8,281,40,0.08,0.93,0,4.81,0.93,4.48,0,0,0,0,78.51,142.49,569.98,284.99,491.47,427.48,0,,2015,5,40,150.49,146.15,19.18,146.14,19.18
2014,10,9,282,40,0.08,0.93,0,4.12,0.93,3.81,0,0,0,0,82.32,142.49,569.98,284.99,487.66,427.48,0,,2015,6,40,196.51,196.51,25.79,196.51,25.79
2014,10,10,283,40,0.08,0.92,0,3.54,0.92,3.25,0,0,0,0,85.57,142.49,569.98,284.99,484.4,427.48,0,,2015,7,40,204.06,204.06,26.78,204.06,26.78
2014,10,11,284,40,0.08,0.91,0,3.45,0.91,3.15,0,0,0,0,88.72,142.49,569.98,284.99,481.26,427.48,0,,2015,8,40,187.50,187.50,24.61,187.5,24.61
2014,10,12,285,40,0.08,0.91,0,6.01,0.91,5.44,0,0,0,0,94.16,142.49,569.98,284.99,475.82,427.48,0,,2015,9,40,144.17,144.12,18.91,144.12,18.91
2014,10,13,286,40,0.08,0.9,0,3.98,0.9,3.58,0,0,0,0,97.73,142.49,569.98,284.99,472.24,427.48,0,,,,,,,,,
2014,10,14,287,40,0.08,0.89,0,3.08,0.89,2.75,0,0,0,0,100.48,142.49,569.98,284.99,469.5,427.48,0,,,,,,,,,
2014,10,15,288,40,0.08,0.88,0,2.4,0.88,2.12,0,0,0,0,102.6,142.49,569.98,284.99,467.37,427.48,0,,,,,,,,,
2014,10,16,289,40,0.08,0.88,0,2.69,0.88,2.36,0,0,0,0,104.96,142.49,569.98,284.99,465.01,427.48,0,,,,,,,,,
