 Daily soil water balance output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,34,0.08,0,0,5.56,0.08,0.47,0,0,0,0,24.44,28.05,569.98,284.99,545.54,541.93,0,,2014,10,34,100.46,8.30,0.93,0,0.00
2014,10,2,275,34,0.08,0,0,4.08,0.08,0.34,0,0,0,0,24.78,28.05,569.98,284.99,545.19,541.93,0,,2014,11,34,43.94,26.21,2.92,0,0.00
2014,10,3,276,34,0.08,0,0,4.13,0.08,0.35,0,0,0,0,25.13,28.05,569.98,284.99,544.85,541.93,0,,2014,12,34,32.25,35.14,3.92,0,0.00
2014,10,4,277,34,0.08,0,0,4.12,0.08,0.35,0,0,0,0,25.47,28.05,569.98,284.99,544.5,541.93,0,,2015,1,34,31.89,16.61,1.85,0,0.00
2014,10,5,278,34,0.08,0,0,3.97,0.08,0.33,0,0,0,0,25.81,28.05,569.98,284.99,544.17,541.93,0,,2015,2,34,56.06,37.90,4.23,0,0.00
2014,10,6,279,34,0.08,0,0,3.97,0.08,0.33,0,0,0,0,26.14,28.05,569.98,284.99,543.84,541.93,0,,2015,3,34,102.94,49.15,5.48,0,0.00
2014,10,7,280,34,0.08,0,0,4.08,0.08,0.34,0,0,0,0,26.48,28.05,569.98,284.99,543.5,541.93,0,,2015,4,34,136.61,72.68,8.11,0,0.00
2014,10,8,281,34,0.08,0,0,4.81,0.08,0.4,0,0,0,0,26.88,28.05,569.98,284.99,543.1,541.93,0,,2015,5,34,150.49,46.31,5.17,46.32,5.17
2014,10,9,282,34,0.08,0,0,4.12,0.08,0.34,0,0,0,0,27.22,28.05,569.98,284.99,542.76,541.93,0,,2015,6,34,196.51,160.52,17.91,160.5,17.90
2014,10,10,283,34,0.08,0,0,3.54,0.08,0.29,0,0,0,0,27.51,28.05,569.98,284.99,542.46,541.93,0,,2015,7,34,204.06,214.28,23.90,214.26,23.90
2014,10,11,284,34,0.08,0,0,3.45,0.08,0.29,0,0,0,0,27.8,28.05,569.98,284.99,542.18,541.93,0,,2015,8,34,187.50,136.45,15.22,136.45,15.22
2014,10,12,285,34,0.08,0,0,6.01,0.08,0.5,0,0,0,0,28.29,28.05,569.98,284.99,541.68,541.93,0,,2015,9,34,144.17,12.83,1.43,0,0.00
2014,10,13,286,34,0.08,0,0,3.98,0.08,0.33,0,0,0,0,28.05,28.05,569.98,284.99,541.93,541.93,0,,,,,,,,,
2014,10,14,287,34,0.08,0,0,3.08,0.08,0.25,0,0,0,0,28.3,28.05,569.98,284.99,541.67,541.93,0,,,,,,,,,
2014,10,15,288,34,0.08,0,0,2.4,0.08,0.2,0,0,0,0,28.05,28.05,569.98,284.99,541.93,541.93,0,,,,,,,,,
2014,10,16,289,34,0.08,0,0,2.69,0.08,0.22,0,0,0,0,28.27,28.05,569.98,284.99,541.71,541.93,0,,,,,,,,,
2014,10,17,290,34,0.08,0,0,2.49,0.08,0.2,0,0,0,0,28.05,28.05,569.98,284.99,541.93,541.93,0,,,,,,,,,
2014,10,18,291,34,0.08,0,0,2.85,0.08,0.23,0,0,0,0,28.28,28.05,569.98,284.99,541.69,541.93,0,,,,,,,,,
2014,10,19,292,34,0.08,0,0,2.85,0.08,0.23,0,0,0,0,28.05,28.05,569.98,284.99,541.93,541.93,0,,,,,,,,,
2014,10,20,293,34,0.08,0,0,2.16,0.08,0.18,0,0,0,0,28.23,28.05,569.98,284.99,541.75,541.93,0,,,,,,,,,
2014,10,21,294,34,0.08,0,0,2.66,0.08,0.22,0,0,0,0,28.05,28.05,569.98,284.99,541.93,541.93,0,,,,,,,,,
2014,10,22,295,34,0.08,0,0,2.54,0.08,0.21,0,0,0,0,28.26,28.05,569.98,284.99,541.72,541.93,0,,,,,,,,,
2014,10,23,296,34,0.08,0,0,2.49,0.08,0.2,0,0,0,0,28.05,28.05,569.98,284.99,541.93,541.93,0,,,,,,,,,
2014,10,24,297,34,0.08,0,0,2.54,0.08,0.21,0,0,0,0,28.26,28.05,569.98,284.99,541.72,541.93,0,,,,,,,,,
2014,10,25,298,34,0.08,0,0,2.22,0.08,0.18,0,0,0,0,28.05,28.05,569.98,284.99,541.93,541.93,0,,,,,,,,,
2014,10,26,299,34,0.08,0,0,2.66,0.08,0.22,0.87,0.87,0,0,27.4,28.05,569.98,284.99,542.58,541.93,0,,,,,,,,,
2014,10,27,300,34,0.08,0,0,2.48,0.08,0.2,0,0,0,0,27.6,28.05,569.98,284.99,542.38,541.93,0,,,,,,,,,
2014,10,28,301,34,0.08,0,0,2.36,0.08,0.19,0,0,0,0,27.79,28.05,569.98,284.99,542.19,541.93,0,,,,,,,,,
2014,10,29,302,34,0.08,0,0,2.44,0.08,0.2,0,0,0,0,27.99,28.05,569.98,284.99,541.99,541.93,0,,,,,,,,,
2014,10,30,303,34,0.08,0,0,2.44,0.08,0.2,0,0,0,0,28.19,28.05,569.98,284.99,541.79,541.93,0,,,,,,,,,
2014,10,31,304,34,0.08,0,0,1.29,0.08,0.1,0.07,0.07,0,0,28.05,28.05,569.98,284.99,541.93,541.93,0,,,,,,,,,
2014,11,1,305,34,0.08,0,0,1.83,0.08,0.15,5.22,5.22,0,0,22.98,28.05,569.98,284.99,547,541.93,0,,,,,,,,,
2014,11,2,306,34,0.08,0,0,2.18,0.08,0.18,0,0,0,0,23.15,28.05,569.98,284.99,546.82,541.93,0,,,,,,,,,
2014,11,3,307,34,0.08,0,0,1.8,0.08,0.15,0,0,0,0,23.3,28.05,569.98,284.99,546.68,541.93,0,,,,,,,,,
2014,11,4,308,34,0.08,0,0,1.75,0.08,0.14,0,0,0,0,23.44,28.05,569.98,284.99,546.53,541.93,0,,,,,,,,,
2014,11,5,309,34,0.08,0,0,1.9,0.08,0.15,0,0,0,0,23.6,28.05,569.98,284.99,546.38,541.93,0,,,,,,,,,
2014,11,6,310,34,0.08,0,0,1.91,0.08,0.15,0,0,0,0,23.75,28.05,569.98,284.99,546.23,541.93,0,,,,,,,,,
2014,11,7,311,34,0.08,0,0,1.94,0.08,0.16,0,0,0,0,23.91,28.05,569.98,284.99,546.07,541.93,0,,,,,,,,,
2014,11,8,312,34,0.08,0,0,1.87,0.08,0.15,0,0,0,0,24.06,28.05,569.98,284.99,545.92,541.93,0,,,,,,,,,
2014,11,9,313,34,0.08,0,0,1.83,0.08,0.15,0,0,0,0,24.2,28.05,569.98,284.99,545.77,541.93,0,,,,,,,,,
2014,11,10,314,34,0.08,0,0,1.84,0.08,0.15,0,0,0,0,24.35,28.05,569.98,284.99,545.62,541.93,0,,,,,,,,,
2014,11,11,315,34,0.08,0,0,1.55,0.08,0.12,0,0,0,0,24.48,28.05,569.98,284.99,545.5,541.93,0,,,,,,,,,
2014,11,12,316,34,0.08,0,0,1.54,0.08,0.12,0,0,0,0,24.6,28.05,569.98,284.99,545.37,541.93,0,,,,,,,,,
2014,11,13,317,34,1.18,0,0,1.07,1.18,1.26,5.34,5.34,0,0,20.52,28.05,569.98,284.99,549.45,541.93,0,,,,,,,,,
