 Daily soil water balance output for Tomato Fresh in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Tomato Fresh in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,4343,0.08,0,0,5.56,0.08,0.47,0,0,0,0,22.75,25.5,518.16,259.08,495.41,492.66,0,,2014,10,4343,100.46,8.30,118.26,0,0.00
2014,10,2,275,4343,0.08,0,0,4.08,0.08,0.34,0,0,0,0,23.09,25.5,518.16,259.08,495.07,492.66,0,,2014,11,4343,43.94,26.21,373.46,0,0.00
2014,10,3,276,4343,0.08,0,0,4.13,0.08,0.35,0,0,0,0,23.44,25.5,518.16,259.08,494.72,492.66,0,,2014,12,4343,32.25,35.14,500.70,0,0.00
2014,10,4,277,4343,0.08,0,0,4.12,0.08,0.35,0,0,0,0,23.78,25.5,518.16,259.08,494.38,492.66,0,,2015,1,4343,31.89,16.61,236.67,0,0.00
2014,10,5,278,4343,0.08,0,0,3.97,0.08,0.33,0,0,0,0,24.12,25.5,518.16,259.08,494.04,492.66,0,,2015,2,4343,56.06,37.90,540.03,0,0.00
2014,10,6,279,4343,0.08,0,0,3.97,0.08,0.33,0,0,0,0,24.45,25.5,518.16,259.08,493.71,492.66,0,,2015,3,4343,102.94,49.15,700.32,0,0.00
2014,10,7,280,4343,0.08,0,0,4.08,0.08,0.34,0,0,0,0,24.79,25.5,518.16,259.08,493.37,492.66,0,,2015,4,4343,136.61,72.68,1035.59,72.69,1035.74
2014,10,8,281,4343,0.08,0,0,4.81,0.08,0.4,0,0,0,0,25.19,25.5,518.16,259.08,492.97,492.66,0,,2015,5,4343,150.49,67.66,964.07,67.67,964.21
2014,10,9,282,4343,0.08,0,0,4.12,0.08,0.34,0,0,0,0,25.53,25.5,518.16,259.08,492.63,492.66,0,,2015,6,4343,196.51,199.44,2841.76,199.44,2841.76
2014,10,10,283,4343,0.08,0,0,3.54,0.08,0.29,0,0,0,0,25.5,25.5,518.16,259.08,492.66,492.66,0,,2015,7,4343,204.06,224.49,3198.69,224.47,3198.40
2014,10,11,284,4343,0.08,0,0,3.45,0.08,0.29,0,0,0,0,25.79,25.5,518.16,259.08,492.37,492.66,0,,2015,8,4343,187.50,196.88,2805.28,196.89,2805.42
2014,10,12,285,4343,0.08,0,0,6.01,0.08,0.5,0,0,0,0,25.5,25.5,518.16,259.08,492.66,492.66,0,,2015,9,4343,144.17,12.83,182.81,0,0.00
2014,10,13,286,4343,0.08,0,0,3.98,0.08,0.33,0,0,0,0,25.83,25.5,518.16,259.08,492.33,492.66,0,,,,,,,,,
2014,10,14,287,4343,0.08,0,0,3.08,0.08,0.25,0,0,0,0,25.5,25.5,518.16,259.08,492.66,492.66,0,,,,,,,,,
2014,10,15,288,4343,0.08,0,0,2.4,0.08,0.2,0,0,0,0,25.7,25.5,518.16,259.08,492.46,492.66,0,,,,,,,,,
2014,10,16,289,4343,0.08,0,0,2.69,0.08,0.22,0,0,0,0,25.5,25.5,518.16,259.08,492.66,492.66,0,,,,,,,,,
2014,10,17,290,4343,0.08,0,0,2.49,0.08,0.2,0,0,0,0,25.7,25.5,518.16,259.08,492.46,492.66,0,,,,,,,,,
2014,10,18,291,4343,0.08,0,0,2.85,0.08,0.23,0,0,0,0,25.5,25.5,518.16,259.08,492.66,492.66,0,,,,,,,,,
2014,10,19,292,4343,0.08,0,0,2.85,0.08,0.23,0,0,0,0,25.73,25.5,518.16,259.08,492.43,492.66,0,,,,,,,,,
2014,10,20,293,4343,0.08,0,0,2.16,0.08,0.18,0,0,0,0,25.5,25.5,518.16,259.08,492.66,492.66,0,,,,,,,,,
2014,10,21,294,4343,0.08,0,0,2.66,0.08,0.22,0,0,0,0,25.72,25.5,518.16,259.08,492.44,492.66,0,,,,,,,,,
2014,10,22,295,4343,0.08,0,0,2.54,0.08,0.21,0,0,0,0,25.5,25.5,518.16,259.08,492.66,492.66,0,,,,,,,,,
2014,10,23,296,4343,0.08,0,0,2.49,0.08,0.2,0,0,0,0,25.7,25.5,518.16,259.08,492.46,492.66,0,,,,,,,,,
2014,10,24,297,4343,0.08,0,0,2.54,0.08,0.21,0,0,0,0,25.5,25.5,518.16,259.08,492.66,492.66,0,,,,,,,,,
2014,10,25,298,4343,0.08,0,0,2.22,0.08,0.18,0,0,0,0,25.68,25.5,518.16,259.08,492.48,492.66,0,,,,,,,,,
2014,10,26,299,4343,0.08,0,0,2.66,0.08,0.22,0.87,0.87,0,0,24.81,25.5,518.16,259.08,493.35,492.66,0,,,,,,,,,
2014,10,27,300,4343,0.08,0,0,2.48,0.08,0.2,0,0,0,0,25.01,25.5,518.16,259.08,493.15,492.66,0,,,,,,,,,
2014,10,28,301,4343,0.08,0,0,2.36,0.08,0.19,0,0,0,0,25.2,25.5,518.16,259.08,492.96,492.66,0,,,,,,,,,
2014,10,29,302,4343,0.08,0,0,2.44,0.08,0.2,0,0,0,0,25.4,25.5,518.16,259.08,492.76,492.66,0,,,,,,,,,
2014,10,30,303,4343,0.08,0,0,2.44,0.08,0.2,0,0,0,0,25.6,25.5,518.16,259.08,492.56,492.66,0,,,,,,,,,
2014,10,31,304,4343,0.08,0,0,1.29,0.08,0.1,0.07,0.07,0,0,25.5,25.5,518.16,259.08,492.66,492.66,0,,,,,,,,,
2014,11,1,305,4343,0.08,0,0,1.83,0.08,0.15,5.22,5.22,0,0,20.43,25.5,518.16,259.08,497.73,492.66,0,,,,,,,,,
2014,11,2,306,4343,0.08,0,0,2.18,0.08,0.18,0,0,0,0,20.6,25.5,518.16,259.08,497.56,492.66,0,,,,,,,,,
