 Daily soil water balance output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,902,0.08,0,0,5.56,0.08,0.47,0,0,0,0,12.94,20.4,290.17,145.08,277.23,269.77,0,,2014,10,902,100.46,8.30,24.56,0,0.00
2014,10,2,275,902,0.08,0,0,4.08,0.08,0.34,0,0,0,0,13.28,20.4,290.17,145.08,276.89,269.77,0,,2014,11,902,43.94,26.21,77.56,0,0.00
2014,10,3,276,902,0.08,0,0,4.13,0.08,0.35,0,0,0,0,13.63,20.4,290.17,145.08,276.54,269.77,0,,2014,12,902,32.25,35.14,103.99,0,0.00
2014,10,4,277,902,0.08,0,0,4.12,0.08,0.35,0,0,0,0,13.98,20.4,290.17,145.08,276.19,269.77,0,,2015,1,902,31.89,16.61,49.15,0,0.00
2014,10,5,278,902,0.08,0,0,3.97,0.08,0.33,0,0,0,0,14.31,20.4,290.17,145.08,275.86,269.77,0,,2015,2,902,56.06,37.90,112.16,0,0.00
2014,10,6,279,902,0.08,0,0,3.97,0.08,0.33,0,0,0,0,14.64,20.4,290.17,145.08,275.53,269.77,0,,2015,3,902,102.94,49.15,145.45,0,0.00
2014,10,7,280,902,0.08,0,0,4.08,0.08,0.34,0,0,0,0,14.98,20.4,290.17,145.08,275.19,269.77,0,,2015,4,902,136.61,72.68,215.08,0,0.00
2014,10,8,281,902,0.08,0,0,4.81,0.08,0.4,0,0,0,0,15.38,20.4,290.17,145.08,274.79,269.77,0,,2015,5,902,150.49,80.77,239.02,59.01,174.63
2014,10,9,282,902,0.08,0,0,4.12,0.08,0.34,0,0,0,0,15.72,20.4,290.17,145.08,274.45,269.77,0,,2015,6,902,196.51,137.55,407.05,137.56,407.08
2014,10,10,283,902,0.08,0,0,3.54,0.08,0.29,0,0,0,0,16.01,20.4,290.17,145.08,274.16,269.77,0,,2015,7,902,204.06,167.79,496.54,167.8,496.57
2014,10,11,284,902,0.08,0,0,3.45,0.08,0.29,0,0,0,0,16.3,20.4,290.17,145.08,273.87,269.77,0,,2015,8,902,187.50,192.11,568.51,192.08,568.43
2014,10,12,285,902,0.08,0,0,6.01,0.08,0.5,0,0,0,0,16.8,20.4,290.17,145.08,273.37,269.77,0,,2015,9,902,144.17,148.96,440.82,148.94,440.76
2014,10,13,286,902,0.08,0,0,3.98,0.08,0.33,0,0,0,0,17.12,20.4,290.17,145.08,273.05,269.77,0,,,,,,,,,
2014,10,14,287,902,0.08,0,0,3.08,0.08,0.25,0,0,0,0,17.38,20.4,290.17,145.08,272.79,269.77,0,,,,,,,,,
2014,10,15,288,902,0.08,0,0,2.4,0.08,0.2,0,0,0,0,17.57,20.4,290.17,145.08,272.6,269.77,0,,,,,,,,,
2014,10,16,289,902,0.08,0,0,2.69,0.08,0.22,0,0,0,0,17.79,20.4,290.17,145.08,272.37,269.77,0,,,,,,,,,
2014,10,17,290,902,0.08,0,0,2.49,0.08,0.2,0,0,0,0,18,20.4,290.17,145.08,272.17,269.77,0,,,,,,,,,
2014,10,18,291,902,0.08,0,0,2.85,0.08,0.23,0,0,0,0,18.23,20.4,290.17,145.08,271.94,269.77,0,,,,,,,,,
2014,10,19,292,902,0.08,0,0,2.85,0.08,0.23,0,0,0,0,18.47,20.4,290.17,145.08,271.7,269.77,0,,,,,,,,,
2014,10,20,293,902,0.08,0,0,2.16,0.08,0.18,0,0,0,0,18.64,20.4,290.17,145.08,271.53,269.77,0,,,,,,,,,
2014,10,21,294,902,0.08,0,0,2.66,0.08,0.22,0,0,0,0,18.86,20.4,290.17,145.08,271.31,269.77,0,,,,,,,,,
2014,10,22,295,902,0.08,0,0,2.54,0.08,0.21,0,0,0,0,19.07,20.4,290.17,145.08,271.1,269.77,0,,,,,,,,,
2014,10,23,296,902,0.08,0,0,2.49,0.08,0.2,0,0,0,0,19.27,20.4,290.17,145.08,270.9,269.77,0,,,,,,,,,
2014,10,24,297,902,0.08,0,0,2.54,0.08,0.21,0,0,0,0,19.48,20.4,290.17,145.08,270.69,269.77,0,,,,,,,,,
2014,10,25,298,902,0.08,0,0,2.22,0.08,0.18,0,0,0,0,19.66,20.4,290.17,145.08,270.51,269.77,0,,,,,,,,,
2014,10,26,299,902,0.08,0,0,2.66,0.08,0.22,0.87,0.87,0,0,19,20.4,290.17,145.08,271.17,269.77,0,,,,,,,,,
2014,10,27,300,902,0.08,0,0,2.48,0.08,0.2,0,0,0,0,19.21,20.4,290.17,145.08,270.96,269.77,0,,,,,,,,,
2014,10,28,301,902,0.08,0,0,2.36,0.08,0.19,0,0,0,0,19.4,20.4,290.17,145.08,270.77,269.77,0,,,,,,,,,
2014,10,29,302,902,0.08,0,0,2.44,0.08,0.2,0,0,0,0,19.6,20.4,290.17,145.08,270.57,269.77,0,,,,,,,,,
2014,10,30,303,902,0.08,0,0,2.44,0.08,0.2,0,0,0,0,19.79,20.4,290.17,145.08,270.38,269.77,0,,,,,,,,,
2014,10,31,304,902,0.08,0,0,1.29,0.08,0.1,0.07,0.07,0,0,19.83,20.4,290.17,145.08,270.34,269.77,0,,,,,,,,,
