 Daily soil water balance output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,12750,0.08,0.8,0,5.56,0.8,4.45,0,0,0,0,0,32.83,136,68,136,103.17,36.61,,2014,10,12750,100.46,80.36,3361.52
2014,10,2,275,12750,0.08,0.8,0,4.08,0.8,3.26,0,0,0,0,3.26,32.83,136,68,132.74,103.17,0,,2014,11,12750,43.94,41.98,1756.05
2014,10,3,276,12750,0.08,0.8,0,4.13,0.8,3.3,0,0,0,0,6.57,32.83,136,68,129.43,103.17,0,,2014,12,12750,32.25,35.33,1477.88
2014,10,4,277,12750,0.08,0.8,0,4.12,0.8,3.3,0,0,0,0,9.86,32.83,136,68,126.14,103.17,0,,2015,1,12750,31.89,25.51,1067.10
2014,10,5,278,12750,0.08,0.8,0,3.97,0.8,3.18,0,0,0,0,13.04,32.83,136,68,122.96,103.17,0,,2015,2,12750,56.06,49.16,2056.40
2014,10,6,279,12750,0.08,0.8,0,3.97,0.8,3.18,0,0,0,0,16.22,32.83,136,68,119.78,103.17,0,,2015,3,12750,102.94,84.52,3535.53
2014,10,7,280,12750,0.08,0.8,0,4.08,0.8,3.26,0,0,0,0,19.48,32.83,136,68,116.52,103.17,0,,2015,4,12750,136.61,114.43,4786.69
2014,10,8,281,12750,0.08,0.8,0,4.81,0.8,3.85,0,0,0,0,23.33,32.83,136,68,112.67,103.17,0,,2015,5,12750,150.49,120.39,5036.00
2014,10,9,282,12750,0.08,0.8,0,4.12,0.8,3.3,0,0,0,0,26.62,32.83,136,68,109.38,103.17,0,,2015,6,12750,196.51,157.20,6575.79
2014,10,10,283,12750,0.08,0.8,0,3.54,0.8,2.83,0,0,0,0,29.46,32.83,136,68,106.54,103.17,0,,2015,7,12750,204.06,163.26,6829.28
2014,10,11,284,12750,0.08,0.8,0,3.45,0.8,2.76,0,0,0,0,32.22,32.83,136,68,103.78,103.17,0,,2015,8,12750,187.50,150.00,6274.61
2014,10,12,285,12750,0.08,0.8,0,6.01,0.8,4.81,0,0,0,0,0,32.83,136,68,136,103.17,37.02,,2015,9,12750,144.17,115.32,4823.92
