 Daily soil water balance output for Water Surface in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Water Surface in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,14014,0.08,1.1,0,5.56,1.1,6.12,0,0,0,0,0,0,0,0,0,0,0,,2014,10,14014,100.46,110.53,5081.91
2014,10,2,275,14014,0.08,1.1,0,4.08,1.1,4.49,0,0,0,0,0,0,0,0,0,0,0,,2014,11,14014,43.94,49.37,2269.92
2014,10,3,276,14014,0.08,1.1,0,4.13,1.1,4.54,0,0,0,0,0,0,0,0,0,0,0,,2014,12,14014,32.25,37.36,1717.73
2014,10,4,277,14014,0.08,1.1,0,4.12,1.1,4.53,0,0,0,0,0,0,0,0,0,0,0,,2015,1,14014,31.89,35.11,1614.28
2014,10,5,278,14014,0.08,1.1,0,3.97,1.1,4.37,0,0,0,0,0,0,0,0,0,0,0,,2015,2,14014,56.06,62.14,2857.05
2014,10,6,279,14014,0.08,1.1,0,3.97,1.1,4.37,0,0,0,0,0,0,0,0,0,0,0,,2015,3,14014,102.94,113.33,5210.65
2014,10,7,280,14014,0.08,1.1,0,4.08,1.1,4.49,0,0,0,0,0,0,0,0,0,0,0,,2015,4,14014,136.61,150.35,6912.75
2014,10,8,281,14014,0.08,1.1,0,4.81,1.1,5.29,0,0,0,0,0,0,0,0,0,0,0,,2015,5,14014,150.49,165.54,7611.15
2014,10,9,282,14014,0.08,1.1,0,4.12,1.1,4.53,0,0,0,0,0,0,0,0,0,0,0,,2015,6,14014,196.51,216.16,9938.54
2014,10,10,283,14014,0.08,1.1,0,3.54,1.1,3.89,0,0,0,0,0,0,0,0,0,0,0,,2015,7,14014,204.06,224.49,10321.53
2014,10,11,284,14014,0.08,1.1,0,3.45,1.1,3.8,0,0,0,0,0,0,0,0,0,0,0,,2015,8,14014,187.50,206.24,9482.44
