 Daily soil water balance output for Other Deciduous in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Other Deciduous in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,5767,0.08,0.98,0,5.64,0.98,5.53,0,0,0,0,46.5,79.44,345.64,172.82,299.14,266.21,0,,2014,10,5767,104.06,94.12,1780.81,94.12,1780.81
2014,10,2,275,5767,0.08,0.98,0,4.13,0.98,4.03,0,0,0,0,50.53,79.44,345.64,172.82,295.12,266.21,0,,2014,11,5767,44.11,43.59,824.75,0,0.00
2014,10,3,276,5767,0.08,0.97,0,4.17,0.97,4.04,0,0,0,0,54.57,79.44,345.64,172.82,291.07,266.21,0,,2014,12,5767,32.86,35.82,677.74,0,0.00
2014,10,4,277,5767,0.08,0.96,0,4.22,0.96,4.06,0,0,0,0,58.63,86.41,345.64,172.82,287.01,259.23,0,,2015,1,5767,31.82,16.64,314.84,0,0.00
2014,10,5,278,5767,0.08,0.96,0,4.07,0.96,3.89,0,0,0,0,62.53,86.41,345.64,172.82,283.12,259.23,0,,2015,2,5767,55.90,36.29,686.63,0,0.00
2014,10,6,279,5767,0.08,0.95,0,4.12,0.95,3.92,0,0,0,0,66.45,86.41,345.64,172.82,279.2,259.23,0,,2015,3,5767,105.04,69.65,1317.82,67.71,1281.11
2014,10,7,280,5767,0.08,0.94,0,4.3,0.94,4.06,0,0,0,0,70.51,86.41,345.64,172.82,275.14,259.23,0,,2015,4,5767,139.80,113.60,2149.38,113.59,2149.19
2014,10,8,281,5767,0.08,0.94,0,5.11,0.94,4.8,0,0,0,0,75.31,86.41,345.64,172.82,270.34,259.23,0,,2015,5,5767,156.12,145.40,2751.06,145.42,2751.43
2014,10,9,282,5767,0.08,0.93,0,4.37,0.93,4.08,0,0,0,0,79.38,86.41,345.64,172.82,266.26,259.23,0,,2015,6,5767,205.59,222.80,4215.51,222.79,4215.32
2014,10,10,283,5767,0.08,0.93,0,3.76,0.93,3.48,0,0,0,0,82.87,86.41,345.64,172.82,262.78,259.23,0,,2015,7,5767,212.75,238.27,4508.21,238.28,4508.40
2014,10,11,284,5767,0.08,0.92,0,3.57,0.92,3.29,0,0,0,0,86.15,86.41,345.64,172.82,259.49,259.23,0,,2015,8,5767,195.07,218.50,4134.15,218.48,4133.77
2014,10,12,285,5767,0.08,0.91,0,6.1,0.91,5.58,0,0,0,0,0,86.41,345.64,172.82,345.64,259.23,91.73,,2015,9,5767,149.12,160.08,3028.81,160.11,3029.38
2014,10,13,286,5767,0.08,0.91,0,4.07,0.91,3.7,0,0,0,0,3.7,86.41,345.64,172.82,341.94,259.23,0,,,,,,,,,
2014,10,14,287,5767,0.08,0.9,0,3.32,0.9,3,0,0,0,0,6.7,86.41,345.64,172.82,338.95,259.23,0,,,,,,,,,
2014,10,15,288,5767,0.08,0.9,0,2.48,0.9,2.22,0,0,0,0,8.92,86.41,345.64,172.82,336.72,259.23,0,,,,,,,,,
2014,10,16,289,5767,0.08,0.89,0,2.77,0.89,2.47,0,0,0,0,11.39,86.41,345.64,172.82,334.26,259.23,0,,,,,,,,,
2014,10,17,290,5767,0.08,0.88,0,2.57,0.88,2.27,0,0,0,0,13.66,86.41,345.64,172.82,331.98,259.23,0,,,,,,,,,
2014,10,18,291,5767,0.08,0.88,0,2.93,0.88,2.57,0,0,0,0,16.23,86.41,345.64,172.82,329.41,259.23,0,,,,,,,,,
2014,10,19,292,5767,0.08,0.87,0,2.95,0.87,2.57,0,0,0,0,18.81,86.41,345.64,172.82,326.84,259.23,0,,,,,,,,,
2014,10,20,293,5767,0.08,0.87,0,2.41,0.87,2.09,0,0,0,0,20.89,86.41,345.64,172.82,324.75,259.23,0,,,,,,,,,
2014,10,21,294,5767,0.08,0.86,0,2.78,0.86,2.39,0,0,0,0,23.29,86.41,345.64,172.82,322.36,259.23,0,,,,,,,,,
2014,10,22,295,5767,0.08,0.85,0,2.61,0.85,2.23,0,0,0,0,25.52,86.41,345.64,172.82,320.13,259.23,0,,,,,,,,,
2014,10,23,296,5767,0.08,0.85,0,2.6,0.85,2.21,0,0,0,0,27.72,86.41,345.64,172.82,317.92,259.23,0,,,,,,,,,
2014,10,24,297,5767,0.08,0.84,0,2.62,0.84,2.21,0,0,0,0,29.93,86.41,345.64,172.82,315.71,259.23,0,,,,,,,,,
2014,10,25,298,5767,0.08,0.84,0,2.22,0.84,1.86,0.03,0.03,0,0,31.75,86.41,345.64,172.82,313.89,259.23,0,,,,,,,,,
2014,10,26,299,5767,0.08,0.83,0,2.76,0.83,2.29,0.77,0.77,0,0,33.28,86.41,345.64,172.82,312.37,259.23,0,,,,,,,,,
2014,10,27,300,5767,0.08,0.82,0,2.56,0.82,2.11,0,0,0,0,35.39,86.41,345.64,172.82,310.26,259.23,0,,,,,,,,,
2014,10,28,301,5767,0.08,0.82,0,2.42,0.82,1.98,0,0,0,0,37.37,86.41,345.64,172.82,308.28,259.23,0,,,,,,,,,
2014,10,29,302,5767,0.08,0.81,0,2.46,0.81,2,0,0,0,0,39.36,86.41,345.64,172.82,306.28,259.23,0,,,,,,,,,
2014,10,30,303,5767,0.08,0.81,0,2.53,0.81,2.04,0,0,0,0,41.4,86.41,345.64,172.82,304.24,259.23,0,,,,,,,,,
2014,10,31,304,5767,0.08,0.8,0,1.44,0.8,1.15,0.38,0.38,0,0,42.17,86.41,345.64,172.82,303.47,259.23,0,,,,,,,,,
2014,11,1,305,5767,1.15,0,0,1.78,1.15,2.04,8.7,8.7,0,0,24.3,24.3,345.64,172.82,321.34,321.34,0,,,,,,,,,
2014,11,2,306,5767,1.14,0,0,2.19,1.14,2.5,0,0,0,0,26.8,24.3,345.64,172.82,318.85,321.34,0,,,,,,,,,
2014,11,3,307,5767,1.14,0,0,1.79,1.14,2.05,0,0,0,0,24.3,24.3,345.64,172.82,321.34,321.34,0,,,,,,,,,
2014,11,4,308,5767,1.02,0,0,1.75,1.02,1.78,0,0,0,0,26.08,24.3,345.64,172.82,319.57,321.34,0,,,,,,,,,
2014,11,5,309,5767,0.91,0,0,1.91,0.91,1.73,0,0,0,0,24.3,24.3,345.64,172.82,321.34,321.34,0,,,,,,,,,
2014,11,6,310,5767,0.83,0,0,1.94,0.83,1.6,0,0,0,0,25.9,24.3,345.64,172.82,319.74,321.34,0,,,,,,,,,
