 Daily soil water balance output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,3987,0.08,0.95,0,5.64,0.95,5.36,0,0,0,0,33.72,58.19,241.4,120.7,207.69,183.21,0,,2014,10,3987,104.06,98.85,1293.03
2014,10,2,275,3987,0.08,0.95,0,4.13,0.95,3.92,0,0,0,0,37.64,58.19,241.4,120.7,203.76,183.21,0,,2014,11,3987,44.11,46.91,613.62
2014,10,3,276,3987,0.08,0.95,0,4.17,0.95,3.96,0,0,0,0,41.6,58.19,241.4,120.7,199.8,183.21,0,,2014,12,3987,32.86,36.79,481.24
2014,10,4,277,3987,0.08,0.95,0,4.22,0.95,4.01,0,0,0,0,45.61,58.19,241.4,120.7,195.79,183.21,0,,2015,1,3987,31.82,30.23,395.43
2014,10,5,278,3987,0.08,0.95,0,4.07,0.95,3.87,0,0,0,0,49.48,58.19,241.4,120.7,191.93,183.21,0,,2015,2,3987,55.90,54.93,718.52
2014,10,6,279,3987,0.08,0.95,0,4.12,0.95,3.91,0,0,0,0,53.39,58.19,241.4,120.7,188.01,183.21,0,,2015,3,3987,105.04,100.62,1316.18
2014,10,7,280,3987,0.08,0.95,0,4.3,0.95,4.09,0,0,0,0,57.47,58.19,241.4,120.7,183.93,183.21,0,,2015,4,3987,139.80,134.55,1760.01
2014,10,8,281,3987,0.08,0.95,0,5.11,0.95,4.85,0,0,0,0,0,58.19,241.4,120.7,241.4,183.21,62.33,,2015,5,3987,156.12,148.35,1940.52
2014,10,9,282,3987,0.08,0.95,0,4.37,0.95,4.15,0,0,0,0,4.15,58.19,241.4,120.7,237.25,183.21,0,,2015,6,3987,205.59,195.31,2554.79
2014,10,10,283,3987,0.08,0.95,0,3.76,0.95,3.57,0,0,0,0,7.72,58.19,241.4,120.7,233.68,183.21,0,,2015,7,3987,212.75,202.13,2644.00
2014,10,11,284,3987,0.08,0.95,0,3.57,0.95,3.39,0,0,0,0,11.12,58.19,241.4,120.7,230.29,183.21,0,,2015,8,3987,195.07,185.31,2423.99
2014,10,12,285,3987,0.08,0.95,0,6.1,0.95,5.8,0,0,0,0,16.91,58.19,241.4,120.7,224.49,183.21,0,,2015,9,3987,149.12,141.67,1853.14
2014,10,13,286,3987,0.08,0.95,0,4.07,0.95,3.87,0,0,0,0,20.78,58.19,241.4,120.7,220.63,183.21,0,,,,,,,
2014,10,14,287,3987,0.08,0.95,0,3.32,0.95,3.15,0,0,0,0,23.93,58.19,241.4,120.7,217.47,183.21,0,,,,,,,
2014,10,15,288,3987,0.08,0.95,0,2.48,0.95,2.36,0,0,0,0,26.29,58.19,241.4,120.7,215.12,183.21,0,,,,,,,
2014,10,16,289,3987,0.08,0.95,0,2.77,0.95,2.63,0,0,0,0,28.92,58.19,241.4,120.7,212.48,183.21,0,,,,,,,
2014,10,17,290,3987,0.08,0.95,0,2.57,0.95,2.44,0,0,0,0,31.36,58.19,241.4,120.7,210.04,183.21,0,,,,,,,
2014,10,18,291,3987,0.08,0.95,0,2.93,0.95,2.78,0,0,0,0,34.14,58.19,241.4,120.7,207.26,183.21,0,,,,,,,
2014,10,19,292,3987,0.08,0.95,0,2.95,0.95,2.8,0,0,0,0,36.95,58.19,241.4,120.7,204.46,183.21,0,,,,,,,
2014,10,20,293,3987,0.08,0.95,0,2.41,0.95,2.29,0,0,0,0,39.24,58.19,241.4,120.7,202.17,183.21,0,,,,,,,
2014,10,21,294,3987,0.08,0.95,0,2.78,0.95,2.64,0,0,0,0,41.88,58.19,241.4,120.7,199.53,183.21,0,,,,,,,
