 Daily soil water balance output for Pears in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Pears in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,107,0.08,0.9,0,5.64,0.9,5.08,0,0,0,0,71.82,122.92,491.66,245.83,419.84,368.75,0,,2014,10,107,104.06,89.26,31.33,89.25,31.33
2014,10,2,275,107,0.08,0.9,0,4.13,0.9,3.7,0,0,0,0,75.52,122.92,491.66,245.83,416.14,368.75,0,,2014,11,107,44.11,43.59,15.30,0,0.00
2014,10,3,276,107,0.08,0.89,0,4.17,0.89,3.73,0,0,0,0,79.25,122.92,491.66,245.83,412.41,368.75,0,,2014,12,107,32.86,35.82,12.57,0,0.00
2014,10,4,277,107,0.08,0.89,0,4.22,0.89,3.76,0,0,0,0,83,122.92,491.66,245.83,408.66,368.75,0,,2015,1,107,31.82,16.64,5.84,0,0.00
2014,10,5,278,107,0.08,0.89,0,4.07,0.89,3.61,0,0,0,0,86.61,122.92,491.66,245.83,405.05,368.75,0,,2015,2,107,55.90,36.29,12.74,0,0.00
2014,10,6,279,107,0.08,0.88,0,4.12,0.88,3.64,0,0,0,0,90.25,122.92,491.66,245.83,401.41,368.75,0,,2015,3,107,105.04,71.73,25.18,69.81,24.51
2014,10,7,280,107,0.08,0.88,0,4.3,0.88,3.78,0,0,0,0,94.03,122.92,491.66,245.83,397.63,368.75,0,,2015,4,107,139.80,121.78,42.75,121.79,42.75
2014,10,8,281,107,0.08,0.88,0,5.11,0.88,4.48,0,0,0,0,98.51,122.92,491.66,245.83,393.15,368.75,0,,2015,5,107,156.12,159.31,55.93,159.31,55.93
2014,10,9,282,107,0.08,0.87,0,4.37,0.87,3.82,0,0,0,0,102.33,122.92,491.66,245.83,389.33,368.75,0,,2015,6,107,205.59,215.88,75.78,215.87,75.78
2014,10,10,283,107,0.08,0.87,0,3.76,0.87,3.27,0,0,0,0,105.6,122.92,491.66,245.83,386.06,368.75,0,,2015,7,107,212.75,223.39,78.42,223.39,78.42
2014,10,11,284,107,0.08,0.87,0,3.57,0.87,3.09,0,0,0,0,108.7,122.92,491.66,245.83,382.96,368.75,0,,2015,8,107,195.07,202.66,71.14,202.65,71.14
2014,10,12,285,107,0.08,0.86,0,6.1,0.86,5.27,0,0,0,0,113.96,122.92,491.66,245.83,377.7,368.75,0,,2015,9,107,149.12,142.33,49.96,142.34,49.97
2014,10,13,286,107,0.08,0.86,0,4.07,0.86,3.5,0,0,0,0,117.46,122.92,491.66,245.83,374.2,368.75,0,,,,,,,,,
2014,10,14,287,107,0.08,0.86,0,3.32,0.86,2.84,0,0,0,0,120.31,122.92,491.66,245.83,371.35,368.75,0,,,,,,,,,
2014,10,15,288,107,0.08,0.85,0,2.48,0.85,2.12,0,0,0,0,122.42,122.92,491.66,245.83,369.24,368.75,0,,,,,,,,,
2014,10,16,289,107,0.08,0.85,0,2.77,0.85,2.35,0,0,0,0,0,122.92,491.66,245.83,491.66,368.75,124.78,,,,,,,,,
2014,10,17,290,107,0.08,0.85,0,2.57,0.85,2.18,0,0,0,0,2.18,122.92,491.66,245.83,489.48,368.75,0,,,,,,,,,
2014,10,18,291,107,0.08,0.84,0,2.93,0.84,2.47,0,0,0,0,4.65,122.92,491.66,245.83,487.01,368.75,0,,,,,,,,,
2014,10,19,292,107,0.08,0.84,0,2.95,0.84,2.48,0,0,0,0,7.12,122.92,491.66,245.83,484.54,368.75,0,,,,,,,,,
2014,10,20,293,107,0.08,0.84,0,2.41,0.84,2.02,0,0,0,0,9.14,122.92,491.66,245.83,482.52,368.75,0,,,,,,,,,
2014,10,21,294,107,0.08,0.83,0,2.78,0.83,2.32,0,0,0,0,11.46,122.92,491.66,245.83,480.2,368.75,0,,,,,,,,,
2014,10,22,295,107,0.08,0.83,0,2.61,0.83,2.17,0,0,0,0,13.62,122.92,491.66,245.83,478.04,368.75,0,,,,,,,,,
2014,10,23,296,107,0.08,0.83,0,2.6,0.83,2.15,0,0,0,0,15.77,122.92,491.66,245.83,475.89,368.75,0,,,,,,,,,
2014,10,24,297,107,0.08,0.82,0,2.62,0.82,2.16,0,0,0,0,17.93,122.92,491.66,245.83,473.73,368.75,0,,,,,,,,,
2014,10,25,298,107,0.08,0.82,0,2.22,0.82,1.82,0.03,0.03,0,0,19.72,122.92,491.66,245.83,471.94,368.75,0,,,,,,,,,
2014,10,26,299,107,0.08,0.82,0,2.76,0.82,2.25,0.77,0.77,0,0,21.21,122.92,491.66,245.83,470.46,368.75,0,,,,,,,,,
2014,10,27,300,107,0.08,0.81,0,2.56,0.81,2.08,0,0,0,0,23.29,122.92,491.66,245.83,468.37,368.75,0,,,,,,,,,
2014,10,28,301,107,0.08,0.81,0,2.42,0.81,1.96,0,0,0,0,25.25,122.92,491.66,245.83,466.41,368.75,0,,,,,,,,,
2014,10,29,302,107,0.08,0.81,0,2.46,0.81,1.98,0,0,0,0,27.23,122.92,491.66,245.83,464.43,368.75,0,,,,,,,,,
2014,10,30,303,107,0.08,0.8,0,2.53,0.8,2.03,0,0,0,0,29.26,122.92,491.66,245.83,462.4,368.75,0,,,,,,,,,
2014,10,31,304,107,0.08,0.8,0,1.44,0.8,1.15,0.38,0.38,0,0,30.04,122.92,491.66,245.83,461.62,368.75,0,,,,,,,,,
2014,11,1,305,107,1.15,0,0,1.78,1.15,2.04,8.7,8.7,0,0,21.34,24.3,491.66,245.83,470.32,467.36,0,,,,,,,,,
2014,11,2,306,107,1.14,0,0,2.19,1.14,2.5,0,0,0,0,23.83,24.3,491.66,245.83,467.83,467.36,0,,,,,,,,,
2014,11,3,307,107,1.14,0,0,1.79,1.14,2.05,0,0,0,0,25.88,24.3,491.66,245.83,465.78,467.36,0,,,,,,,,,
2014,11,4,308,107,1.02,0,0,1.75,1.02,1.78,0,0,0,0,24.3,24.3,491.66,245.83,467.36,467.36,0,,,,,,,,,
2014,11,5,309,107,0.91,0,0,1.91,0.91,1.73,0,0,0,0,26.03,24.3,491.66,245.83,465.63,467.36,0,,,,,,,,,
2014,11,6,310,107,0.83,0,0,1.94,0.83,1.6,0,0,0,0,24.3,24.3,491.66,245.83,467.36,467.36,0,,,,,,,,,
2014,11,7,311,107,0.76,0,0,2.02,0.76,1.54,0,0,0,0,25.84,24.3,491.66,245.83,465.82,467.36,0,,,,,,,,,
2014,11,8,312,107,0.71,0,0,1.86,0.71,1.32,0,0,0,0,24.3,24.3,491.66,245.83,467.36,467.36,0,,,,,,,,,
2014,11,9,313,107,0.67,0,0,1.86,0.67,1.25,0,0,0,0,25.55,24.3,491.66,245.83,466.11,467.36,0,,,,,,,,,
2014,11,10,314,107,0.64,0,0,1.86,0.64,1.19,0,0,0,0,24.3,24.3,491.66,245.83,467.36,467.36,0,,,,,,,,,
2014,11,11,315,107,0.62,0,0,1.5,0.62,0.92,0,0,0,0,25.22,24.3,491.66,245.83,466.44,467.36,0,,,,,,,,,
