 Daily soil water balance output for Pistachios in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,111,0.08,0.81,0,5.64,0.81,4.55,0,0,0,0,97.2,150.23,600.92,300.46,503.72,450.69,0,,2014,10,111,104.06,74.85,27.26,74.86,27.26
2014,10,2,275,111,0.08,0.8,0,4.13,0.8,3.3,0,0,0,0,100.5,150.23,600.92,300.46,500.42,450.69,0,,2014,11,111,44.11,43.59,15.87,0,0.00
2014,10,3,276,111,0.08,0.79,0,4.17,0.79,3.31,0,0,0,0,103.81,150.23,600.92,300.46,497.11,450.69,0,,2014,12,111,32.86,35.82,13.04,0,0.00
2014,10,4,277,111,0.08,0.79,0,4.22,0.79,3.32,0,0,0,0,107.13,150.23,600.92,300.46,493.79,450.69,0,,2015,1,111,31.82,16.64,6.06,0,0.00
2014,10,5,278,111,0.08,0.78,0,4.07,0.78,3.17,0,0,0,0,110.3,150.23,600.92,300.46,490.62,450.69,0,,2015,2,111,55.90,45.24,16.48,33.4,12.16
2014,10,6,279,111,0.08,0.77,0,4.12,0.77,3.18,0,0,0,0,113.48,150.23,600.92,300.46,487.44,450.69,0,,2015,3,111,105.04,93.86,34.18,93.86,34.18
2014,10,7,280,111,0.08,0.77,0,4.3,0.77,3.29,0,0,0,0,116.77,150.23,600.92,300.46,484.14,450.69,0,,2015,4,111,139.80,134.62,49.03,134.61,49.02
2014,10,8,281,111,0.08,0.76,0,5.11,0.76,3.88,0,0,0,0,120.65,150.23,600.92,300.46,480.27,450.69,0,,2015,5,111,156.12,155.76,56.72,155.76,56.72
2014,10,9,282,111,0.08,0.75,0,4.37,0.75,3.29,0,0,0,0,123.93,150.23,600.92,300.46,476.98,450.69,0,,2015,6,111,205.59,205.59,74.87,205.59,74.87
2014,10,10,283,111,0.08,0.74,0,3.76,0.74,2.8,0,0,0,0,126.74,150.23,600.92,300.46,474.18,450.69,0,,2015,7,111,212.75,212.75,77.48,212.75,77.48
2014,10,11,284,111,0.08,0.74,0,3.57,0.74,2.63,0,0,0,0,129.37,150.23,600.92,300.46,471.55,450.69,0,,2015,8,111,195.07,195.07,71.04,195.07,71.04
2014,10,12,285,111,0.08,0.73,0,6.1,0.73,4.46,0,0,0,0,133.83,150.23,600.92,300.46,467.09,450.69,0,,2015,9,111,149.12,137.03,49.90,137.04,49.91
2014,10,13,286,111,0.08,0.72,0,4.07,0.72,2.95,0,0,0,0,136.78,150.23,600.92,300.46,464.14,450.69,0,,,,,,,,,
2014,10,14,287,111,0.08,0.72,0,3.32,0.72,2.38,0,0,0,0,139.16,150.23,600.92,300.46,461.76,450.69,0,,,,,,,,,
2014,10,15,288,111,0.08,0.71,0,2.48,0.71,1.76,0,0,0,0,140.92,150.23,600.92,300.46,460,450.69,0,,,,,,,,,
2014,10,16,289,111,0.08,0.7,0,2.77,0.7,1.95,0,0,0,0,142.87,150.23,600.92,300.46,458.05,450.69,0,,,,,,,,,
2014,10,17,290,111,0.08,0.7,0,2.57,0.7,1.79,0,0,0,0,144.66,150.23,600.92,300.46,456.26,450.69,0,,,,,,,,,
2014,10,18,291,111,0.08,0.69,0,2.93,0.69,2.02,0,0,0,0,146.68,150.23,600.92,300.46,454.24,450.69,0,,,,,,,,,
2014,10,19,292,111,0.08,0.68,0,2.95,0.68,2.01,0,0,0,0,148.69,150.23,600.92,300.46,452.23,450.69,0,,,,,,,,,
2014,10,20,293,111,0.08,0.68,0,2.41,0.68,1.63,0,0,0,0,0,150.23,600.92,300.46,600.92,450.69,150.32,,,,,,,,,
2014,10,21,294,111,0.08,0.67,0,2.78,0.67,1.86,0,0,0,0,1.86,150.23,600.92,300.46,599.06,450.69,0,,,,,,,,,
2014,10,22,295,111,0.08,0.66,0,2.61,0.66,1.73,0,0,0,0,3.59,150.23,600.92,300.46,597.33,450.69,0,,,,,,,,,
2014,10,23,296,111,0.08,0.66,0,2.6,0.66,1.7,0,0,0,0,5.29,150.23,600.92,300.46,595.63,450.69,0,,,,,,,,,
2014,10,24,297,111,0.08,0.65,0,2.62,0.65,1.7,0,0,0,0,6.99,150.23,600.92,300.46,593.93,450.69,0,,,,,,,,,
2014,10,25,298,111,0.08,0.64,0,2.22,0.64,1.42,0.03,0.03,0,0,8.38,150.23,600.92,300.46,592.53,450.69,0,,,,,,,,,
2014,10,26,299,111,0.08,0.63,0,2.76,0.63,1.75,0.77,0.77,0,0,9.36,150.23,600.92,300.46,591.55,450.69,0,,,,,,,,,
2014,10,27,300,111,0.08,0.63,0,2.56,0.63,1.61,0,0,0,0,10.97,150.23,600.92,300.46,589.95,450.69,0,,,,,,,,,
2014,10,28,301,111,0.08,0.62,0,2.42,0.62,1.5,0,0,0,0,12.47,150.23,600.92,300.46,588.44,450.69,0,,,,,,,,,
2014,10,29,302,111,0.08,0.61,0,2.46,0.61,1.51,0,0,0,0,13.98,150.23,600.92,300.46,586.93,450.69,0,,,,,,,,,
2014,10,30,303,111,0.08,0.61,0,2.53,0.61,1.54,0,0,0,0,15.52,150.23,600.92,300.46,585.4,450.69,0,,,,,,,,,
2014,10,31,304,111,0.08,0.6,0,1.44,0.6,0.86,0.38,0.38,0,0,16,150.23,600.92,300.46,584.92,450.69,0,,,,,,,,,
2014,11,1,305,111,1.15,0,0,1.78,1.15,2.04,8.7,8.7,0,0,9.35,29.7,600.92,300.46,591.57,571.22,0,,,,,,,,,
2014,11,2,306,111,1.14,0,0,2.19,1.14,2.5,0,0,0,0,11.85,29.7,600.92,300.46,589.07,571.22,0,,,,,,,,,
2014,11,3,307,111,1.14,0,0,1.79,1.14,2.05,0,0,0,0,13.89,29.7,600.92,300.46,587.03,571.22,0,,,,,,,,,
2014,11,4,308,111,1.02,0,0,1.75,1.02,1.78,0,0,0,0,15.67,29.7,600.92,300.46,585.25,571.22,0,,,,,,,,,
2014,11,5,309,111,0.91,0,0,1.91,0.91,1.73,0,0,0,0,17.4,29.7,600.92,300.46,583.52,571.22,0,,,,,,,,,
2014,11,6,310,111,0.83,0,0,1.94,0.83,1.6,0,0,0,0,19,29.7,600.92,300.46,581.92,571.22,0,,,,,,,,,
2014,11,7,311,111,0.76,0,0,2.02,0.76,1.54,0,0,0,0,20.54,29.7,600.92,300.46,580.38,571.22,0,,,,,,,,,
2014,11,8,312,111,0.71,0,0,1.86,0.71,1.32,0,0,0,0,21.86,29.7,600.92,300.46,579.06,571.22,0,,,,,,,,,
2014,11,9,313,111,0.67,0,0,1.86,0.67,1.25,0,0,0,0,23.11,29.7,600.92,300.46,577.81,571.22,0,,,,,,,,,
2014,11,10,314,111,0.64,0,0,1.86,0.64,1.19,0,0,0,0,24.3,29.7,600.92,300.46,576.62,571.22,0,,,,,,,,,
2014,11,11,315,111,0.62,0,0,1.5,0.62,0.92,0,0,0,0,25.22,29.7,600.92,300.46,575.7,571.22,0,,,,,,,,,
2014,11,12,316,111,0.59,0,0,1.55,0.59,0.92,0,0,0,0,26.14,29.7,600.92,300.46,574.78,571.22,0,,,,,,,,,
2014,11,13,317,111,1.18,0,0,1.1,1.18,1.29,5.8,5.8,0,0,21.64,29.7,600.92,300.46,579.28,571.22,0,,,,,,,,,
2014,11,14,318,111,1.16,0,0,1.42,1.16,1.65,1.33,1.33,0,0,21.96,29.7,600.92,300.46,578.96,571.22,0,,,,,,,,,
2014,11,15,319,111,1.16,0,0,1.34,1.16,1.56,0,0,0,0,23.52,29.7,600.92,300.46,577.4,571.22,0,,,,,,,,,
2014,11,16,320,111,1.16,0,0,1.88,1.16,2.18,0,0,0,0,25.7,29.7,600.92,300.46,575.22,571.22,0,,,,,,,,,
2014,11,17,321,111,1.11,0,0,1.72,1.11,1.91,0,0,0,0,27.6,29.7,600.92,300.46,573.32,571.22,0,,,,,,,,,
2014,11,18,322,111,1.01,0,0,1.32,1.01,1.33,0,0,0,0,28.94,29.7,600.92,300.46,571.98,571.22,0,,,,,,,,,
2014,11,19,323,111,0.94,0,0,1.22,0.94,1.15,0.04,0.04,0,0,30.04,29.7,600.92,300.46,570.88,571.22,0,,,,,,,,,
2014,11,20,324,111,1.19,0,0,0.65,1.19,0.78,2.17,2.17,0,0,27.87,29.7,600.92,300.46,573.05,571.22,0,,,,,,,,,
2014,11,21,325,111,1.18,0,0,0.91,1.18,1.08,3.54,3.54,0,0,25.41,29.7,600.92,300.46,575.51,571.22,0,,,,,,,,,
2014,11,22,326,111,1.18,0,0,1.19,1.18,1.4,0.14,0.14,0,0,26.67,29.7,600.92,300.46,574.25,571.22,0,,,,,,,,,
2014,11,23,327,111,1.16,0,0,1.55,1.16,1.79,2.92,2.92,0,0,25.54,29.7,600.92,300.46,575.37,571.22,0,,,,,,,,,
2014,11,24,328,111,1.16,0,0,1.38,1.16,1.6,0,0,0,0,27.15,29.7,600.92,300.46,573.77,571.22,0,,,,,,,,,
2014,11,25,329,111,1.16,0,0,1.24,1.16,1.44,0,0,0,0,28.59,29.7,600.92,300.46,572.33,571.22,0,,,,,,,,,
2014,11,26,330,111,1.17,0,0,1.26,1.17,1.47,0,0,0,0,30.06,29.7,600.92,300.46,570.86,571.22,0,,,,,,,,,
2014,11,27,331,111,1.09,0,0,1.24,1.09,1.35,0,0,0,0,29.7,29.7,600.92,300.46,571.22,571.22,0,,,,,,,,,
2014,11,28,332,111,1,0,0,1.2,1,1.2,0,0,0,0,30.9,29.7,600.92,300.46,570.02,571.22,0,,,,,,,,,
2014,11,29,333,111,0.95,0,0,0.81,0.95,0.77,0.93,0.93,0,0,29.7,29.7,600.92,300.46,571.22,571.22,0,,,,,,,,,
2014,11,30,334,111,1.19,0,0,0.67,1.19,0.8,1.78,1.78,0,0,28.72,29.7,600.92,300.46,572.2,571.22,0,,,,,,,,,
2014,12,1,335,111,1.18,0,0,1.01,1.18,1.19,11.06,11.06,0,0,18.85,29.7,600.92,300.46,582.07,571.22,0,,,,,,,,,
2014,12,2,336,111,1.2,0,0,0.62,1.2,0.74,7.1,7.1,0,0,12.49,29.7,600.92,300.46,588.43,571.22,0,,,,,,,,,
