 Daily soil water balance output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,2335,0.08,0,0,5.64,0.08,0.46,0,0,0,0,21.26,27,219.46,109.73,198.2,192.46,0,,2014,10,2335,104.06,8.38,64.20,0,0.00
2014,10,2,275,2335,0.08,0,0,4.13,0.08,0.34,0,0,0,0,21.6,27,219.46,109.73,197.86,192.46,0,,2014,11,2335,44.11,43.59,333.93,0,0.00
2014,10,3,276,2335,0.08,0,0,4.17,0.08,0.34,0,0,0,0,21.94,27,219.46,109.73,197.51,192.46,0,,2014,12,2335,32.86,35.82,274.41,0,0.00
2014,10,4,277,2335,0.08,0,0,4.22,0.08,0.35,0,0,0,0,22.29,27,219.46,109.73,197.17,192.46,0,,2015,1,2335,31.82,16.64,127.48,0,0.00
2014,10,5,278,2335,0.08,0,0,4.07,0.08,0.33,0,0,0,0,22.62,27,219.46,109.73,196.84,192.46,0,,2015,2,2335,55.90,36.29,278.01,0,0.00
2014,10,6,279,2335,0.08,0,0,4.12,0.08,0.34,0,0,0,0,22.96,27,219.46,109.73,196.5,192.46,0,,2015,3,2335,105.04,49.57,379.74,0,0.00
2014,10,7,280,2335,0.08,0,0,4.3,0.08,0.35,0,0,0,0,23.31,27,219.46,109.73,196.15,192.46,0,,2015,4,2335,139.80,71.08,544.53,0,0.00
2014,10,8,281,2335,0.08,0,0,5.11,0.08,0.41,0,0,0,0,23.72,27,219.46,109.73,195.74,192.46,0,,2015,5,2335,156.12,171.09,1310.68,171.08,1310.60
2014,10,9,282,2335,0.08,0,0,4.37,0.08,0.35,0,0,0,0,24.07,27,219.46,109.73,195.38,192.46,0,,2015,6,2335,205.59,206.21,1579.73,206.22,1579.80
2014,10,10,283,2335,0.08,0,0,3.76,0.08,0.3,0,0,0,0,24.38,27,219.46,109.73,195.08,192.46,0,,2015,7,2335,212.75,212.75,1629.83,212.75,1629.83
2014,10,11,284,2335,0.08,0,0,3.57,0.08,0.29,0,0,0,0,24.67,27,219.46,109.73,194.79,192.46,0,,2015,8,2335,195.07,190.79,1461.60,190.8,1461.67
2014,10,12,285,2335,0.08,0,0,6.1,0.08,0.49,0,0,0,0,25.16,27,219.46,109.73,194.3,192.46,0,,2015,9,2335,149.12,87.02,666.64,84.12,644.42
