 Daily soil water balance output for Riparian in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Riparian in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,3,0.08,1.1,0,5.64,1.1,6.2,0,0,0,0,0,0,0,0,0,0,0,,2014,10,3,104.06,110.09,1.08
2014,10,2,275,3,0.08,1.1,0,4.13,1.1,4.53,0,0,0,0,0,0,0,0,0,0,0,,2014,11,3,44.11,47.24,0.46
2014,10,3,276,3,0.08,1.09,0,4.17,1.09,4.56,0,0,0,0,0,0,0,0,0,0,0,,2014,12,3,32.86,36.00,0.35
2014,10,4,277,3,0.08,1.09,0,4.22,1.09,4.6,0,0,0,0,0,0,0,0,0,0,0,,2015,1,3,31.82,25.45,0.25
2014,10,5,278,3,0.08,1.09,0,4.07,1.09,4.42,0,0,0,0,0,0,0,0,0,0,0,,2015,2,3,55.90,48.35,0.48
2014,10,6,279,3,0.08,1.08,0,4.12,1.08,4.46,0,0,0,0,0,0,0,0,0,0,0,,2015,3,3,105.04,86.05,0.85
2014,10,7,280,3,0.08,1.08,0,4.3,1.08,4.64,0,0,0,0,0,0,0,0,0,0,0,,2015,4,3,139.80,121.75,1.20
2014,10,8,281,3,0.08,1.08,0,5.11,1.08,5.5,0,0,0,0,0,0,0,0,0,0,0,,2015,5,3,156.12,147.72,1.45
2014,10,9,282,3,0.08,1.07,0,4.37,1.07,4.69,0,0,0,0,0,0,0,0,0,0,0,,2015,6,3,205.59,215.44,2.12
2014,10,10,283,3,0.08,1.07,0,3.76,1.07,4.02,0,0,0,0,0,0,0,0,0,0,0,,2015,7,3,212.75,233.98,2.30
2014,10,11,284,3,0.08,1.07,0,3.57,1.07,3.81,0,0,0,0,0,0,0,0,0,0,0,,2015,8,3,195.07,214.55,2.11
