 Daily soil water balance output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,1407,0.08,0,0,5.64,0.08,0.46,0,0,0,0,19.73,29.7,600.92,300.46,581.19,571.22,0,,2014,10,1407,104.06,8.38,38.68,0,0.00
2014,10,2,275,1407,0.08,0,0,4.13,0.08,0.34,0,0,0,0,20.06,29.7,600.92,300.46,580.85,571.22,0,,2014,11,1407,44.11,43.59,201.22,0,0.00
2014,10,3,276,1407,0.08,0,0,4.17,0.08,0.34,0,0,0,0,20.41,29.7,600.92,300.46,580.51,571.22,0,,2014,12,1407,32.86,35.82,165.35,0,0.00
2014,10,4,277,1407,0.08,0,0,4.22,0.08,0.35,0,0,0,0,20.75,29.7,600.92,300.46,580.17,571.22,0,,2015,1,1407,31.82,16.64,76.81,0,0.00
2014,10,5,278,1407,0.08,0,0,4.07,0.08,0.33,0,0,0,0,21.08,29.7,600.92,300.46,579.83,571.22,0,,2015,2,1407,55.90,36.29,167.52,0,0.00
2014,10,6,279,1407,0.08,0,0,4.12,0.08,0.34,0,0,0,0,21.42,29.7,600.92,300.46,579.5,571.22,0,,2015,3,1407,105.04,49.57,228.82,0,0.00
2014,10,7,280,1407,0.08,0,0,4.3,0.08,0.35,0,0,0,0,21.77,29.7,600.92,300.46,579.15,571.22,0,,2015,4,1407,139.80,71.08,328.12,0,0.00
2014,10,8,281,1407,0.08,0,0,5.11,0.08,0.41,0,0,0,0,22.18,29.7,600.92,300.46,578.73,571.22,0,,2015,5,1407,156.12,41.43,191.25,16.86,77.83
2014,10,9,282,1407,0.08,0,0,4.37,0.08,0.35,0,0,0,0,22.54,29.7,600.92,300.46,578.38,571.22,0,,2015,6,1407,205.59,113.36,523.29,113.36,523.29
2014,10,10,283,1407,0.08,0,0,3.76,0.08,0.3,0,0,0,0,22.84,29.7,600.92,300.46,578.08,571.22,0,,2015,7,1407,212.75,222.14,1025.43,222.14,1025.43
2014,10,11,284,1407,0.08,0,0,3.57,0.08,0.29,0,0,0,0,23.13,29.7,600.92,300.46,577.79,571.22,0,,2015,8,1407,195.07,149.59,690.53,149.58,690.48
2014,10,12,285,1407,0.08,0,0,6.1,0.08,0.49,0,0,0,0,23.62,29.7,600.92,300.46,577.3,571.22,0,,2015,9,1407,149.12,12.91,59.59,0,0.00
