 Daily soil water balance output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,33581,0.08,0.8,0,5.64,0.8,4.51,0,0,0,0,0,35.35,144,72,144,108.65,38.13,,2014,10,33581,104.06,83.29,9176.38
2014,10,2,275,33581,0.08,0.8,0,4.13,0.8,3.3,0,0,0,0,3.3,35.35,144,72,140.7,108.65,0,,2014,11,33581,44.11,44.98,4955.62
2014,10,3,276,33581,0.08,0.8,0,4.17,0.8,3.34,0,0,0,0,6.64,35.35,144,72,137.36,108.65,0,,2014,12,33581,32.86,36.00,3966.26
2014,10,4,277,33581,0.08,0.8,0,4.22,0.8,3.38,0,0,0,0,10.02,35.35,144,72,133.98,108.65,0,,2015,1,33581,31.82,25.45,2803.93
2014,10,5,278,33581,0.08,0.8,0,4.07,0.8,3.26,0,0,0,0,13.27,35.35,144,72,130.73,108.65,0,,2015,2,33581,55.90,48.35,5326.91
2014,10,6,279,33581,0.08,0.8,0,4.12,0.8,3.3,0,0,0,0,16.57,35.35,144,72,127.43,108.65,0,,2015,3,33581,105.04,86.05,9480.46
2014,10,7,280,33581,0.08,0.8,0,4.3,0.8,3.44,0,0,0,0,20.01,35.35,144,72,123.99,108.65,0,,2015,4,33581,139.80,116.02,12782.37
2014,10,8,281,33581,0.08,0.8,0,5.11,0.8,4.09,0,0,0,0,24.1,35.35,144,72,119.9,108.65,0,,2015,5,33581,156.12,124.89,13759.62
2014,10,9,282,33581,0.08,0.8,0,4.37,0.8,3.5,0,0,0,0,27.59,35.35,144,72,116.41,108.65,0,,2015,6,33581,205.59,164.47,18120.30
2014,10,10,283,33581,0.08,0.8,0,3.76,0.8,3.01,0,0,0,0,30.6,35.35,144,72,113.4,108.65,0,,2015,7,33581,212.75,170.22,18753.80
2014,10,11,284,33581,0.08,0.8,0,3.57,0.8,2.86,0,0,0,0,33.46,35.35,144,72,110.54,108.65,0,,2015,8,33581,195.07,156.04,17191.53
