 Daily soil water balance output for Vineyard in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Vineyard in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,12638,0.08,0.71,0,5.64,0.71,3.98,0,0,0,0,13.68,150.23,600.92,300.46,587.24,450.69,0,,2014,10,12638,104.06,62.96,2610.53,62.96,2610.53
2014,10,2,275,12638,0.08,0.7,0,4.13,0.7,2.88,0,0,0,0,16.56,150.23,600.92,300.46,584.36,450.69,0,,2014,11,12638,44.11,43.59,1807.38,23.35,968.17
2014,10,3,276,12638,0.08,0.69,0,4.17,0.69,2.88,0,0,0,0,19.43,150.23,600.92,300.46,581.49,450.69,0,,2014,12,12638,32.86,35.82,1485.21,0,0.00
2014,10,4,277,12638,0.08,0.68,0,4.22,0.68,2.88,0,0,0,0,22.31,150.23,600.92,300.46,578.61,450.69,0,,2015,1,12638,31.82,16.64,689.95,0,0.00
2014,10,5,278,12638,0.08,0.67,0,4.07,0.67,2.74,0,0,0,0,25.05,150.23,600.92,300.46,575.87,450.69,0,,2015,2,12638,55.90,36.29,1504.70,0,0.00
2014,10,6,279,12638,0.08,0.67,0,4.12,0.67,2.74,0,0,0,0,27.79,150.23,600.92,300.46,573.13,450.69,0,,2015,3,12638,105.04,49.57,2055.33,0,0.00
2014,10,7,280,12638,0.08,0.66,0,4.3,0.66,2.83,0,0,0,0,30.62,150.23,600.92,300.46,570.3,450.69,0,,2015,4,12638,139.80,87.90,3644.62,87.91,3645.03
2014,10,8,281,12638,0.08,0.65,0,5.11,0.65,3.32,0,0,0,0,33.94,150.23,600.92,300.46,566.98,450.69,0,,2015,5,12638,156.12,113.45,4704.01,113.45,4704.01
2014,10,9,282,12638,0.08,0.64,0,4.37,0.64,2.81,0,0,0,0,36.75,150.23,600.92,300.46,564.17,450.69,0,,2015,6,12638,205.59,164.47,6819.46,164.47,6819.46
