 Daily soil water balance output for Walnuts in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Walnuts in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,2751,0.08,0.97,0,5.64,0.97,5.5,0,0,0,0,41.29,122.92,491.66,245.83,450.37,368.75,0,,2014,10,2751,104.06,93.78,846.42,93.75,846.15
2014,10,2,275,2751,0.08,0.97,0,4.13,0.97,4,0,0,0,0,45.29,122.92,491.66,245.83,446.37,368.75,0,,2014,11,2751,44.11,43.59,393.43,0,0.00
2014,10,3,276,2751,0.08,0.96,0,4.17,0.96,4.02,0,0,0,0,49.31,122.92,491.66,245.83,442.35,368.75,0,,2014,12,2751,32.86,35.82,323.30,0,0.00
2014,10,4,277,2751,0.08,0.96,0,4.22,0.96,4.04,0,0,0,0,53.35,122.92,491.66,245.83,438.31,368.75,0,,2015,1,2751,31.82,16.64,150.19,0,0.00
2014,10,5,278,2751,0.08,0.95,0,4.07,0.95,3.87,0,0,0,0,57.22,122.92,491.66,245.83,434.44,368.75,0,,2015,2,2751,55.90,36.29,327.54,0,0.00
2014,10,6,279,2751,0.08,0.95,0,4.12,0.95,3.9,0,0,0,0,61.12,122.92,491.66,245.83,430.54,368.75,0,,2015,3,2751,105.04,69.38,626.20,67.47,608.96
2014,10,7,280,2751,0.08,0.94,0,4.3,0.94,4.04,0,0,0,0,65.16,122.92,491.66,245.83,426.5,368.75,0,,2015,4,2751,139.80,112.65,1016.73,112.67,1016.91
2014,10,8,281,2751,0.08,0.93,0,5.11,0.93,4.77,0,0,0,0,69.93,122.92,491.66,245.83,421.73,368.75,0,,2015,5,2751,156.12,143.38,1294.09,143.38,1294.09
2014,10,9,282,2751,0.08,0.93,0,4.37,0.93,4.06,0,0,0,0,73.99,122.92,491.66,245.83,417.67,368.75,0,,2015,6,2751,205.59,220.36,1988.88,220.36,1988.88
2014,10,10,283,2751,0.08,0.92,0,3.76,0.92,3.47,0,0,0,0,77.46,122.92,491.66,245.83,414.2,368.75,0,,2015,7,2751,212.75,244.64,2208.02,244.63,2207.93
2014,10,11,284,2751,0.08,0.92,0,3.57,0.92,3.27,0,0,0,0,80.73,122.92,491.66,245.83,410.93,368.75,0,,2015,8,2751,195.07,224.33,2024.71,224.33,2024.71
2014,10,12,285,2751,0.08,0.91,0,6.1,0.91,5.56,0,0,0,0,86.29,122.92,491.66,245.83,405.37,368.75,0,,2015,9,2751,149.12,159.61,1440.57,159.63,1440.76
2014,10,13,286,2751,0.08,0.9,0,4.07,0.9,3.68,0,0,0,0,89.97,122.92,491.66,245.83,401.69,368.75,0,,,,,,,,,
2014,10,14,287,2751,0.08,0.9,0,3.32,0.9,2.99,0,0,0,0,92.95,122.92,491.66,245.83,398.71,368.75,0,,,,,,,,,
2014,10,15,288,2751,0.08,0.89,0,2.48,0.89,2.22,0,0,0,0,95.17,122.92,491.66,245.83,396.49,368.75,0,,,,,,,,,
2014,10,16,289,2751,0.08,0.89,0,2.77,0.89,2.46,0,0,0,0,97.63,122.92,491.66,245.83,394.03,368.75,0,,,,,,,,,
2014,10,17,290,2751,0.08,0.88,0,2.57,0.88,2.27,0,0,0,0,99.89,122.92,491.66,245.83,391.77,368.75,0,,,,,,,,,
2014,10,18,291,2751,0.08,0.88,0,2.93,0.88,2.57,0,0,0,0,102.46,122.92,491.66,245.83,389.2,368.75,0,,,,,,,,,
2014,10,19,292,2751,0.08,0.87,0,2.95,0.87,2.57,0,0,0,0,105.03,122.92,491.66,245.83,386.63,368.75,0,,,,,,,,,
2014,10,20,293,2751,0.08,0.86,0,2.41,0.86,2.08,0,0,0,0,107.11,122.92,491.66,245.83,384.55,368.75,0,,,,,,,,,
2014,10,21,294,2751,0.08,0.86,0,2.78,0.86,2.39,0,0,0,0,109.5,122.92,491.66,245.83,382.16,368.75,0,,,,,,,,,
2014,10,22,295,2751,0.08,0.85,0,2.61,0.85,2.23,0,0,0,0,111.72,122.92,491.66,245.83,379.94,368.75,0,,,,,,,,,
2014,10,23,296,2751,0.08,0.85,0,2.6,0.85,2.2,0,0,0,0,113.92,122.92,491.66,245.83,377.74,368.75,0,,,,,,,,,
2014,10,24,297,2751,0.08,0.84,0,2.62,0.84,2.2,0,0,0,0,116.13,122.92,491.66,245.83,375.53,368.75,0,,,,,,,,,
2014,10,25,298,2751,0.08,0.83,0,2.22,0.83,1.85,0.03,0.03,0,0,117.95,122.92,491.66,245.83,373.71,368.75,0,,,,,,,,,
2014,10,26,299,2751,0.08,0.83,0,2.76,0.83,2.29,0.77,0.77,0,0,119.47,122.92,491.66,245.83,372.19,368.75,0,,,,,,,,,
2014,10,27,300,2751,0.08,0.82,0,2.56,0.82,2.11,0,0,0,0,121.58,122.92,491.66,245.83,370.08,368.75,0,,,,,,,,,
2014,10,28,301,2751,0.08,0.82,0,2.42,0.82,1.98,0,0,0,0,0,122.92,491.66,245.83,491.66,368.75,123.55,,,,,,,,,
2014,10,29,302,2751,0.08,0.81,0,2.46,0.81,2,0,0,0,0,2,122.92,491.66,245.83,489.66,368.75,0,,,,,,,,,
2014,10,30,303,2751,0.08,0.81,0,2.53,0.81,2.04,0,0,0,0,4.04,122.92,491.66,245.83,487.62,368.75,0,,,,,,,,,
2014,10,31,304,2751,0.08,0.8,0,1.44,0.8,1.15,0.38,0.38,0,0,4.81,122.92,491.66,245.83,486.85,368.75,0,,,,,,,,,
2014,11,1,305,2751,1.15,0,0,1.78,1.15,2.04,8.7,6.85,0,0,0,24.3,491.66,245.83,491.66,467.36,0,,,,,,,,,
2014,11,2,306,2751,1.14,0,0,2.19,1.14,2.5,0,0,0,0,2.5,24.3,491.66,245.83,489.16,467.36,0,,,,,,,,,
2014,11,3,307,2751,1.14,0,0,1.79,1.14,2.05,0,0,0,0,4.54,24.3,491.66,245.83,487.12,467.36,0,,,,,,,,,
2014,11,4,308,2751,1.02,0,0,1.75,1.02,1.78,0,0,0,0,6.32,24.3,491.66,245.83,485.34,467.36,0,,,,,,,,,
2014,11,5,309,2751,0.91,0,0,1.91,0.91,1.73,0,0,0,0,8.05,24.3,491.66,245.83,483.61,467.36,0,,,,,,,,,
2014,11,6,310,2751,0.83,0,0,1.94,0.83,1.6,0,0,0,0,9.65,24.3,491.66,245.83,482.01,467.36,0,,,,,,,,,
2014,11,7,311,2751,0.76,0,0,2.02,0.76,1.54,0,0,0,0,11.19,24.3,491.66,245.83,480.47,467.36,0,,,,,,,,,
2014,11,8,312,2751,0.71,0,0,1.86,0.71,1.32,0,0,0,0,12.51,24.3,491.66,245.83,479.15,467.36,0,,,,,,,,,
2014,11,9,313,2751,0.67,0,0,1.86,0.67,1.25,0,0,0,0,13.76,24.3,491.66,245.83,477.9,467.36,0,,,,,,,,,
2014,11,10,314,2751,0.64,0,0,1.86,0.64,1.19,0,0,0,0,14.95,24.3,491.66,245.83,476.71,467.36,0,,,,,,,,,
2014,11,11,315,2751,0.62,0,0,1.5,0.62,0.92,0,0,0,0,15.87,24.3,491.66,245.83,475.79,467.36,0,,,,,,,,,
2014,11,12,316,2751,0.59,0,0,1.55,0.59,0.92,0,0,0,0,16.79,24.3,491.66,245.83,474.87,467.36,0,,,,,,,,,
2014,11,13,317,2751,1.18,0,0,1.1,1.18,1.29,5.8,5.8,0,0,12.29,24.3,491.66,245.83,479.37,467.36,0,,,,,,,,,
2014,11,14,318,2751,1.16,0,0,1.42,1.16,1.65,1.33,1.33,0,0,12.61,24.3,491.66,245.83,479.05,467.36,0,,,,,,,,,
2014,11,15,319,2751,1.16,0,0,1.34,1.16,1.56,0,0,0,0,14.17,24.3,491.66,245.83,477.49,467.36,0,,,,,,,,,
2014,11,16,320,2751,1.16,0,0,1.88,1.16,2.18,0,0,0,0,16.35,24.3,491.66,245.83,475.31,467.36,0,,,,,,,,,
2014,11,17,321,2751,1.11,0,0,1.72,1.11,1.91,0,0,0,0,18.25,24.3,491.66,245.83,473.41,467.36,0,,,,,,,,,
2014,11,18,322,2751,1.01,0,0,1.32,1.01,1.33,0,0,0,0,19.59,24.3,491.66,245.83,472.07,467.36,0,,,,,,,,,
2014,11,19,323,2751,0.94,0,0,1.22,0.94,1.15,0.04,0.04,0,0,20.69,24.3,491.66,245.83,470.97,467.36,0,,,,,,,,,
