 Daily soil water balance output for Water Surface in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Water Surface in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,16945,0.08,1.1,0,5.64,1.1,6.2,0,0,0,0,0,0,0,0,0,0,0,,2014,10,16945,104.06,114.48,6364.38
2014,10,2,275,16945,0.08,1.1,0,4.13,1.1,4.54,0,0,0,0,0,0,0,0,0,0,0,,2014,11,16945,44.11,49.79,2768.02
2014,10,3,276,16945,0.08,1.1,0,4.17,1.1,4.59,0,0,0,0,0,0,0,0,0,0,0,,2014,12,16945,32.86,38.01,2113.12
2014,10,4,277,16945,0.08,1.1,0,4.22,1.1,4.64,0,0,0,0,0,0,0,0,0,0,0,,2015,1,16945,31.82,35.00,1945.78
2014,10,5,278,16945,0.08,1.1,0,4.07,1.1,4.48,0,0,0,0,0,0,0,0,0,0,0,,2015,2,16945,55.90,61.92,3442.37
2014,10,6,279,16945,0.08,1.1,0,4.12,1.1,4.53,0,0,0,0,0,0,0,0,0,0,0,,2015,3,16945,105.04,115.56,6424.42
2014,10,7,280,16945,0.08,1.1,0,4.3,1.1,4.73,0,0,0,0,0,0,0,0,0,0,0,,2015,4,16945,139.80,153.84,8552.56
2014,10,8,281,16945,0.08,1.1,0,5.11,1.1,5.62,0,0,0,0,0,0,0,0,0,0,0,,2015,5,16945,156.12,171.74,9547.68
2014,10,9,282,16945,0.08,1.1,0,4.37,1.1,4.81,0,0,0,0,0,0,0,0,0,0,0,,2015,6,16945,205.59,226.19,12574.77
2014,10,10,283,16945,0.08,1.1,0,3.76,1.1,4.14,0,0,0,0,0,0,0,0,0,0,0,,2015,7,16945,212.75,234.03,13010.62
2014,10,11,284,16945,0.08,1.1,0,3.57,1.1,3.93,0,0,0,0,0,0,0,0,0,0,0,,2015,8,16945,195.07,214.56,11928.21
2014,10,12,285,16945,0.08,1.1,0,6.1,1.1,6.71,0,0,0,0,0,0,0,0,0,0,0,,2015,9,16945,149.12,164.06,9120.72
2014,10,13,286,16945,0.08,1.1,0,4.07,1.1,4.48,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,10,14,287,16945,0.08,1.1,0,3.32,1.1,3.65,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,10,15,288,16945,0.08,1.1,0,2.48,1.1,2.73,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,10,16,289,16945,0.08,1.1,0,2.77,1.1,3.05,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,10,17,290,16945,0.08,1.1,0,2.57,1.1,2.83,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,10,18,291,16945,0.08,1.1,0,2.93,1.1,3.22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,10,19,292,16945,0.08,1.1,0,2.95,1.1,3.25,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,10,20,293,16945,0.08,1.1,0,2.41,1.1,2.65,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,10,21,294,16945,0.08,1.1,0,2.78,1.1,3.06,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,10,22,295,16945,0.08,1.1,0,2.61,1.1,2.87,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,10,23,296,16945,0.08,1.1,0,2.6,1.1,2.86,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
