 Daily soil water balance output for Cucurbits in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Cucurbits in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,275,0.57,0,0,5.96,0.57,3.38,0,0,0,0,8.69,28.5,376.43,188.21,367.74,347.93,0,,2014,10,275,103.02,35.97,32.45,0,0.00
2014,10,2,275,275,0.52,0,0,4.15,0.52,2.16,0,0,0,0,10.85,28.5,376.43,188.21,365.58,347.93,0,,2014,11,275,43.68,43.33,39.09,0,0.00
2014,10,3,276,275,0.48,0,0,4.14,0.48,2,0,0,0,0,12.85,28.5,376.43,188.21,363.58,347.93,0,,2014,12,275,32.29,36.63,33.05,0,0.00
2014,10,4,277,275,0.45,0,0,4.17,0.45,1.89,0,0,0,0,14.74,28.5,376.43,188.21,361.69,347.93,0,,2015,1,275,32.29,18.19,16.41,0,0.00
2014,10,5,278,275,0.43,0,0,4.03,0.43,1.73,0,0,0,0,16.47,28.5,376.43,188.21,359.96,347.93,0,,2015,2,275,56.46,36.47,32.90,0,0.00
2014,10,6,279,275,0.41,0,0,4.09,0.41,1.67,0,0,0,0,18.14,28.5,376.43,188.21,358.29,347.93,0,,2015,3,275,104.49,49.32,44.50,0,0.00
2014,10,7,280,275,0.39,0,0,4.24,0.39,1.65,0,0,0,0,19.79,28.5,376.43,188.21,356.64,347.93,0,,2015,4,275,140.05,68.86,62.13,0,0.00
2014,10,8,281,275,0.37,0,0,4.92,0.37,1.82,0,0,0,0,21.61,28.5,376.43,188.21,354.82,347.93,0,,2015,5,275,157.44,41.50,37.44,0,0.00
2014,10,9,282,275,0.36,0,0,4.33,0.36,1.54,0,0,0,0,23.15,28.5,376.43,188.21,353.28,347.93,0,,2015,6,275,206.92,108.78,98.14,108.79,98.15
2014,10,10,283,275,0.34,0,0,3.75,0.34,1.29,0,0,0,0,24.44,28.5,376.43,188.21,351.99,347.93,0,,2015,7,275,214.06,158.97,143.43,158.95,143.41
2014,10,11,284,275,0.33,0,0,3.53,0.33,1.18,0,0,0,0,25.62,28.5,376.43,188.21,350.81,347.93,0,,2015,8,275,194.99,175.53,158.37,175.49,158.33
2014,10,12,285,275,0.32,0,0,6.45,0.32,2.05,0,0,0,0,27.68,28.5,376.43,188.21,348.75,347.93,0,,2015,9,275,149.52,123.14,111.10,123.13,111.09
2014,10,13,286,275,0.31,0,0,4.08,0.31,1.26,0,0,0,0,28.94,28.5,376.43,188.21,347.49,347.93,0,,,,,,,,,
2014,10,14,287,275,0.3,0,0,3.18,0.3,0.96,0,0,0,0,28.5,28.5,376.43,188.21,347.93,347.93,0,,,,,,,,,
2014,10,15,288,275,0.3,0,0,2.39,0.3,0.72,0.15,0.15,0,0,29.07,28.5,376.43,188.21,347.36,347.93,0,,,,,,,,,
2014,10,16,289,275,0.29,0,0,2.7,0.29,0.8,0,0,0,0,28.5,28.5,376.43,188.21,347.93,347.93,0,,,,,,,,,
2014,10,17,290,275,0.29,0,0,2.51,0.29,0.73,0,0,0,0,29.23,28.5,376.43,188.21,347.2,347.93,0,,,,,,,,,
2014,10,18,291,275,0.29,0,0,2.88,0.29,0.82,0,0,0,0,28.5,28.5,376.43,188.21,347.93,347.93,0,,,,,,,,,
2014,10,19,292,275,0.28,0,0,2.97,0.28,0.84,0,0,0,0,29.34,28.5,376.43,188.21,347.09,347.93,0,,,,,,,,,
2014,10,20,293,275,0.28,0,0,2.25,0.28,0.63,0,0,0,0,28.5,28.5,376.43,188.21,347.93,347.93,0,,,,,,,,,
2014,10,21,294,275,0.27,0,0,2.67,0.27,0.73,0,0,0,0,29.23,28.5,376.43,188.21,347.19,347.93,0,,,,,,,,,
2014,10,22,295,275,0.27,0,0,2.57,0.27,0.7,0,0,0,0,28.5,28.5,376.43,188.21,347.93,347.93,0,,,,,,,,,
2014,10,23,296,275,0.27,0,0,2.51,0.27,0.67,0,0,0,0,29.17,28.5,376.43,188.21,347.25,347.93,0,,,,,,,,,
2014,10,24,297,275,0.27,0,0,2.57,0.27,0.68,0,0,0,0,28.5,28.5,376.43,188.21,347.93,347.93,0,,,,,,,,,
