 Daily soil water balance output for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,5105,0.57,0.9,0,5.96,0.9,5.36,0,0,0,0,28.91,123.07,492.27,246.14,463.37,369.21,0,,2014,10,5105,103.02,88.34,1479.58,88.32,1479.24
2014,10,2,275,5105,0.52,0.9,0,4.15,0.9,3.72,0,0,0,0,32.62,123.07,492.27,246.14,459.65,369.21,0,,2014,11,5105,43.68,43.33,725.72,0,0.00
2014,10,3,276,5105,0.48,0.89,0,4.14,0.89,3.69,0,0,0,0,36.32,123.07,492.27,246.14,455.96,369.21,0,,2014,12,5105,32.29,36.63,613.50,0,0.00
2014,10,4,277,5105,0.45,0.89,0,4.17,0.89,3.71,0,0,0,0,40.02,123.07,492.27,246.14,452.25,369.21,0,,2015,1,5105,32.29,18.19,304.66,0,0.00
2014,10,5,278,5105,0.43,0.89,0,4.03,0.89,3.57,0,0,0,0,43.59,123.07,492.27,246.14,448.68,369.21,0,,2015,2,5105,56.46,36.47,610.82,0,0.00
2014,10,6,279,5105,0.41,0.88,0,4.09,0.88,3.61,0,0,0,0,47.2,123.07,492.27,246.14,445.08,369.21,0,,2015,3,5105,104.49,73.03,1223.16,73.04,1223.32
2014,10,7,280,5105,0.39,0.88,0,4.24,0.88,3.73,0,0,0,0,50.93,123.07,492.27,246.14,441.35,369.21,0,,2015,4,5105,140.05,122.31,2048.53,122.32,2048.70
2014,10,8,281,5105,0.37,0.88,0,4.92,0.88,4.31,0,0,0,0,55.23,123.07,492.27,246.14,437.04,369.21,0,,2015,5,5105,157.44,161.21,2700.06,161.22,2700.22
2014,10,9,282,5105,0.36,0.87,0,4.33,0.87,3.78,0,0,0,0,59.01,123.07,492.27,246.14,433.26,369.21,0,,2015,6,5105,206.92,217.24,3638.48,217.27,3638.99
2014,10,10,283,5105,0.34,0.87,0,3.75,0.87,3.26,0,0,0,0,62.27,123.07,492.27,246.14,430,369.21,0,,2015,7,5105,214.06,224.74,3764.10,224.76,3764.44
2014,10,11,284,5105,0.33,0.87,0,3.53,0.87,3.06,0,0,0,0,65.33,123.07,492.27,246.14,426.95,369.21,0,,2015,8,5105,194.99,202.31,3388.43,202.31,3388.43
2014,10,12,285,5105,0.32,0.86,0,6.45,0.86,5.56,0,0,0,0,70.89,123.07,492.27,246.14,421.39,369.21,0,,2015,9,5105,149.52,142.44,2385.68,142.42,2385.35
2014,10,13,286,5105,0.31,0.86,0,4.08,0.86,3.51,0,0,0,0,74.39,123.07,492.27,246.14,417.88,369.21,0,,,,,,,,,
2014,10,14,287,5105,0.3,0.86,0,3.18,0.86,2.72,0,0,0,0,77.12,123.07,492.27,246.14,415.16,369.21,0,,,,,,,,,
2014,10,15,288,5105,0.3,0.85,0,2.39,0.85,2.04,0.15,0.15,0,0,79,123.07,492.27,246.14,413.27,369.21,0,,,,,,,,,
2014,10,16,289,5105,0.29,0.85,0,2.7,0.85,2.29,0,0,0,0,81.3,123.07,492.27,246.14,410.98,369.21,0,,,,,,,,,
2014,10,17,290,5105,0.29,0.85,0,2.51,0.85,2.12,0,0,0,0,83.42,123.07,492.27,246.14,408.85,369.21,0,,,,,,,,,
2014,10,18,291,5105,0.29,0.84,0,2.88,0.84,2.43,0,0,0,0,85.85,123.07,492.27,246.14,406.43,369.21,0,,,,,,,,,
2014,10,19,292,5105,0.28,0.84,0,2.97,0.84,2.49,0,0,0,0,88.34,123.07,492.27,246.14,403.93,369.21,0,,,,,,,,,
2014,10,20,293,5105,0.28,0.84,0,2.25,0.84,1.88,0,0,0,0,90.22,123.07,492.27,246.14,402.05,369.21,0,,,,,,,,,
2014,10,21,294,5105,0.27,0.83,0,2.67,0.83,2.22,0,0,0,0,92.45,123.07,492.27,246.14,399.83,369.21,0,,,,,,,,,
2014,10,22,295,5105,0.27,0.83,0,2.57,0.83,2.13,0,0,0,0,94.58,123.07,492.27,246.14,397.7,369.21,0,,,,,,,,,
2014,10,23,296,5105,0.27,0.83,0,2.51,0.83,2.07,0,0,0,0,96.65,123.07,492.27,246.14,395.62,369.21,0,,,,,,,,,
2014,10,24,297,5105,0.27,0.82,0,2.57,0.82,2.12,0,0,0,0,98.77,123.07,492.27,246.14,393.51,369.21,0,,,,,,,,,
2014,10,25,298,5105,0.26,0.82,0,2.27,0.82,1.86,0,0,0,0,100.63,123.07,492.27,246.14,391.65,369.21,0,,,,,,,,,
2014,10,26,299,5105,0.26,0.82,0,2.66,0.82,2.17,1.25,1.25,0,0,101.55,123.07,492.27,246.14,390.72,369.21,0,,,,,,,,,
2014,10,27,300,5105,0.26,0.81,0,2.48,0.81,2.02,0,0,0,0,103.57,123.07,492.27,246.14,388.71,369.21,0,,,,,,,,,
2014,10,28,301,5105,0.25,0.81,0,2.37,0.81,1.92,0,0,0,0,105.49,123.07,492.27,246.14,386.79,369.21,0,,,,,,,,,
2014,10,29,302,5105,0.25,0.81,0,2.4,0.81,1.94,0,0,0,0,107.42,123.07,492.27,246.14,384.85,369.21,0,,,,,,,,,
2014,10,30,303,5105,0.25,0.8,0,2.51,0.8,2.02,0,0,0,0,109.44,123.07,492.27,246.14,382.84,369.21,0,,,,,,,,,
2014,10,31,304,5105,0.25,0.8,0,1.29,0.8,1.03,0.01,0.01,0,0,110.46,123.07,492.27,246.14,381.81,369.21,0,,,,,,,,,
2014,11,1,305,5105,1.15,0,0,1.84,1.15,2.11,7.1,7.1,0,0,25.65,25.65,492.27,246.14,466.62,466.62,0,,,,,,,,,
2014,11,2,306,5105,1.14,0,0,2.21,1.14,2.52,0,0,0,0,28.17,25.65,492.27,246.14,464.11,466.62,0,,,,,,,,,
2014,11,3,307,5105,1.14,0,0,1.8,1.14,2.06,0,0,0,0,25.65,25.65,492.27,246.14,466.62,466.62,0,,,,,,,,,
2014,11,4,308,5105,1.01,0,0,1.75,1.01,1.77,0,0,0,0,27.42,25.65,492.27,246.14,464.86,466.62,0,,,,,,,,,
2014,11,5,309,5105,0.91,0,0,1.82,0.91,1.65,0,0,0,0,25.65,25.65,492.27,246.14,466.62,466.62,0,,,,,,,,,
2014,11,6,310,5105,0.83,0,0,1.94,0.83,1.6,0,0,0,0,27.25,25.65,492.27,246.14,465.02,466.62,0,,,,,,,,,
2014,11,7,311,5105,0.76,0,0,2.01,0.76,1.53,0,0,0,0,25.65,25.65,492.27,246.14,466.62,466.62,0,,,,,,,,,
2014,11,8,312,5105,0.71,0,0,1.88,0.71,1.34,0,0,0,0,26.99,25.65,492.27,246.14,465.29,466.62,0,,,,,,,,,
2014,11,9,313,5105,0.67,0,0,1.86,0.67,1.25,0,0,0,0,25.65,25.65,492.27,246.14,466.62,466.62,0,,,,,,,,,
2014,11,10,314,5105,0.64,0,0,1.96,0.64,1.25,0,0,0,0,26.9,25.65,492.27,246.14,465.38,466.62,0,,,,,,,,,
2014,11,11,315,5105,0.61,0,0,1.52,0.61,0.93,0,0,0,0,25.65,25.65,492.27,246.14,466.62,466.62,0,,,,,,,,,
2014,11,12,316,5105,0.59,0,0,1.46,0.59,0.87,0,0,0,0,26.52,25.65,492.27,246.14,465.76,466.62,0,,,,,,,,,
2014,11,13,317,5105,1.18,0,0,1.02,1.18,1.2,4.19,4.19,0,0,22.33,25.65,492.27,246.14,469.95,466.62,0,,,,,,,,,
