 Daily soil water balance output for Potatoes in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Potatoes in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,1142,0.57,0,0,5.96,0.57,3.38,0,0,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,2014,10,1142,103.02,35.97,134.77,0,0.00
2014,10,2,275,1142,0.52,0,0,4.15,0.52,2.16,0,0,0,0,27.81,25.65,208.48,104.24,180.68,182.83,0,,2014,11,1142,43.68,43.33,162.35,0,0.00
2014,10,3,276,1142,0.48,0,0,4.14,0.48,2,0,0,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,2014,12,1142,32.29,36.63,137.24,0,0.00
2014,10,4,277,1142,0.45,0,0,4.17,0.45,1.89,0,0,0,0,27.54,25.65,208.48,104.24,180.94,182.83,0,,2015,1,1142,32.29,18.19,68.15,0,0.00
2014,10,5,278,1142,0.43,0,0,4.03,0.43,1.73,0,0,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,2015,2,1142,56.46,36.47,136.64,0,0.00
2014,10,6,279,1142,0.41,0,0,4.09,0.41,1.67,0,0,0,0,27.32,25.65,208.48,104.24,181.16,182.83,0,,2015,3,1142,104.49,49.32,184.79,0,0.00
2014,10,7,280,1142,0.39,0,0,4.24,0.39,1.65,0,0,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,2015,4,1142,140.05,97.18,364.11,68.11,255.19
2014,10,8,281,1142,0.37,0,0,4.92,0.37,1.82,0,0,0,0,27.47,25.65,208.48,104.24,181.01,182.83,0,,2015,5,1142,157.44,134.07,502.32,134.08,502.36
2014,10,9,282,1142,0.36,0,0,4.33,0.36,1.54,0,0,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,2015,6,1142,206.92,221.10,828.40,221.1,828.40
2014,10,10,283,1142,0.34,0,0,3.75,0.34,1.29,0,0,0,0,26.94,25.65,208.48,104.24,181.54,182.83,0,,2015,7,1142,214.06,235.45,882.17,235.47,882.24
2014,10,11,284,1142,0.33,0,0,3.53,0.33,1.18,0,0,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,2015,8,1142,194.99,175.66,658.15,175.66,658.15
2014,10,12,285,1142,0.32,0,0,6.45,0.32,2.05,0,0,0,0,27.7,25.65,208.48,104.24,180.78,182.83,0,,2015,9,1142,149.52,12.92,48.41,0,0.00
2014,10,13,286,1142,0.31,0,0,4.08,0.31,1.26,0,0,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,,,,,,,,
2014,10,14,287,1142,0.3,0,0,3.18,0.3,0.96,0,0,0,0,26.61,25.65,208.48,104.24,181.87,182.83,0,,,,,,,,,
2014,10,15,288,1142,0.3,0,0,2.39,0.3,0.72,0.15,0.15,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,,,,,,,,
2014,10,16,289,1142,0.29,0,0,2.7,0.29,0.8,0,0,0,0,26.45,25.65,208.48,104.24,182.04,182.83,0,,,,,,,,,
2014,10,17,290,1142,0.29,0,0,2.51,0.29,0.73,0,0,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,,,,,,,,
2014,10,18,291,1142,0.29,0,0,2.88,0.29,0.82,0,0,0,0,26.47,25.65,208.48,104.24,182.01,182.83,0,,,,,,,,,
2014,10,19,292,1142,0.28,0,0,2.97,0.28,0.84,0,0,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,,,,,,,,
2014,10,20,293,1142,0.28,0,0,2.25,0.28,0.63,0,0,0,0,26.28,25.65,208.48,104.24,182.21,182.83,0,,,,,,,,,
2014,10,21,294,1142,0.27,0,0,2.67,0.27,0.73,0,0,0,0,25.65,25.65,208.48,104.24,182.83,182.83,0,,,,,,,,,
