 Daily soil water balance output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,1249,0.57,0,0,5.96,0.57,3.38,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,2014,10,1249,103.02,35.97,147.40,0,0.00
2014,10,2,275,1249,0.52,0,0,4.15,0.52,2.16,0,0,0,0,30.66,28.5,231.65,115.82,200.99,203.15,0,,2014,11,1249,43.68,43.33,177.56,0,0.00
2014,10,3,276,1249,0.48,0,0,4.14,0.48,2,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,2014,12,1249,32.29,36.63,150.10,0,0.00
2014,10,4,277,1249,0.45,0,0,4.17,0.45,1.89,0,0,0,0,30.39,28.5,231.65,115.82,201.26,203.15,0,,2015,1,1249,32.29,18.19,74.54,0,0.00
2014,10,5,278,1249,0.43,0,0,4.03,0.43,1.73,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,2015,2,1249,56.46,36.47,149.45,0,0.00
2014,10,6,279,1249,0.41,0,0,4.09,0.41,1.67,0,0,0,0,30.17,28.5,231.65,115.82,201.48,203.15,0,,2015,3,1249,104.49,49.32,202.10,0,0.00
2014,10,7,280,1249,0.39,0,0,4.24,0.39,1.65,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,2015,4,1249,140.05,68.86,282.17,0,0.00
2014,10,8,281,1249,0.37,0,0,4.92,0.37,1.82,0,0,0,0,30.32,28.5,231.65,115.82,201.33,203.15,0,,2015,5,1249,157.44,172.52,706.95,172.53,706.99
2014,10,9,282,1249,0.36,0,0,4.33,0.36,1.54,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,2015,6,1249,206.92,207.54,850.45,207.54,850.45
2014,10,10,283,1249,0.34,0,0,3.75,0.34,1.29,0,0,0,0,29.79,28.5,231.65,115.82,201.86,203.15,0,,2015,7,1249,214.06,214.06,877.17,214.06,877.17
2014,10,11,284,1249,0.33,0,0,3.53,0.33,1.18,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,2015,8,1249,194.99,190.78,781.77,190.77,781.73
2014,10,12,285,1249,0.32,0,0,6.45,0.32,2.05,0,0,0,0,30.55,28.5,231.65,115.82,201.09,203.15,0,,2015,9,1249,149.52,87.26,357.57,84.32,345.52
2014,10,13,286,1249,0.31,0,0,4.08,0.31,1.26,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,10,14,287,1249,0.3,0,0,3.18,0.3,0.96,0,0,0,0,29.46,28.5,231.65,115.82,202.18,203.15,0,,,,,,,,,
2014,10,15,288,1249,0.3,0,0,2.39,0.3,0.72,0.15,0.15,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,10,16,289,1249,0.29,0,0,2.7,0.29,0.8,0,0,0,0,29.3,28.5,231.65,115.82,202.35,203.15,0,,,,,,,,,
2014,10,17,290,1249,0.29,0,0,2.51,0.29,0.73,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,10,18,291,1249,0.29,0,0,2.88,0.29,0.82,0,0,0,0,29.32,28.5,231.65,115.82,202.32,203.15,0,,,,,,,,,
2014,10,19,292,1249,0.28,0,0,2.97,0.28,0.84,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,10,20,293,1249,0.28,0,0,2.25,0.28,0.63,0,0,0,0,29.13,28.5,231.65,115.82,202.52,203.15,0,,,,,,,,,
2014,10,21,294,1249,0.27,0,0,2.67,0.27,0.73,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,10,22,295,1249,0.27,0,0,2.57,0.27,0.7,0,0,0,0,29.2,28.5,231.65,115.82,202.45,203.15,0,,,,,,,,,
2014,10,23,296,1249,0.27,0,0,2.51,0.27,0.67,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,10,24,297,1249,0.27,0,0,2.57,0.27,0.68,0,0,0,0,29.18,28.5,231.65,115.82,202.47,203.15,0,,,,,,,,,
2014,10,25,298,1249,0.26,0,0,2.27,0.26,0.6,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,10,26,299,1249,0.26,0,0,2.66,0.26,0.69,1.25,1.25,0,0,27.94,28.5,231.65,115.82,203.71,203.15,0,,,,,,,,,
2014,10,27,300,1249,0.26,0,0,2.48,0.26,0.64,0,0,0,0,28.58,28.5,231.65,115.82,203.07,203.15,0,,,,,,,,,
2014,10,28,301,1249,0.25,0,0,2.37,0.25,0.6,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,10,29,302,1249,0.25,0,0,2.4,0.25,0.6,0,0,0,0,29.1,28.5,231.65,115.82,202.54,203.15,0,,,,,,,,,
2014,10,30,303,1249,0.25,0,0,2.51,0.25,0.62,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,10,31,304,1249,0.25,0,0,1.29,0.25,0.32,0.01,0.01,0,0,28.81,28.5,231.65,115.82,202.84,203.15,0,,,,,,,,,
2014,11,1,305,1249,1.15,0,0,1.84,1.15,2.11,7.1,7.1,0,0,21.71,28.5,231.65,115.82,209.94,203.15,0,,,,,,,,,
2014,11,2,306,1249,1.14,0,0,2.21,1.14,2.52,0,0,0,0,24.23,28.5,231.65,115.82,207.42,203.15,0,,,,,,,,,
2014,11,3,307,1249,1.14,0,0,1.8,1.14,2.06,0,0,0,0,26.28,28.5,231.65,115.82,205.37,203.15,0,,,,,,,,,
2014,11,4,308,1249,1.01,0,0,1.75,1.01,1.77,0,0,0,0,28.05,28.5,231.65,115.82,203.6,203.15,0,,,,,,,,,
2014,11,5,309,1249,0.91,0,0,1.82,0.91,1.65,0,0,0,0,29.7,28.5,231.65,115.82,201.95,203.15,0,,,,,,,,,
2014,11,6,310,1249,0.83,0,0,1.94,0.83,1.6,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,11,7,311,1249,0.76,0,0,2.01,0.76,1.53,0,0,0,0,30.03,28.5,231.65,115.82,201.62,203.15,0,,,,,,,,,
2014,11,8,312,1249,0.71,0,0,1.88,0.71,1.34,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,11,9,313,1249,0.67,0,0,1.86,0.67,1.25,0,0,0,0,29.75,28.5,231.65,115.82,201.9,203.15,0,,,,,,,,,
2014,11,10,314,1249,0.64,0,0,1.96,0.64,1.25,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,11,11,315,1249,0.61,0,0,1.52,0.61,0.93,0,0,0,0,29.43,28.5,231.65,115.82,202.22,203.15,0,,,,,,,,,
2014,11,12,316,1249,0.59,0,0,1.46,0.59,0.87,0,0,0,0,28.5,28.5,231.65,115.82,203.15,203.15,0,,,,,,,,,
2014,11,13,317,1249,1.18,0,0,1.02,1.18,1.2,4.19,4.19,0,0,25.51,28.5,231.65,115.82,206.14,203.15,0,,,,,,,,,
2014,11,14,318,1249,1.17,0,0,1.34,1.17,1.56,1.96,1.96,0,0,25.12,28.5,231.65,115.82,206.53,203.15,0,,,,,,,,,
2014,11,15,319,1249,1.17,0,0,1.28,1.17,1.49,0,0,0,0,26.61,28.5,231.65,115.82,205.04,203.15,0,,,,,,,,,
