 Daily soil water balance output for Vineyard in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Vineyard in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,10195,0.57,0.71,0,5.96,0.71,4.2,0,0,0,0,4.2,150.42,601.67,300.83,597.47,451.25,0,,2014,10,10195,103.02,62.40,2087.17,62.43,2088.17
2014,10,2,275,10195,0.52,0.7,0,4.15,0.7,2.89,0,0,0,0,7.1,150.42,601.67,300.83,594.57,451.25,0,,2014,11,10195,43.68,43.33,1449.31,23.12,773.32
2014,10,3,276,10195,0.48,0.69,0,4.14,0.69,2.85,0,0,0,0,9.95,150.42,601.67,300.83,591.72,451.25,0,,2014,12,10195,32.29,36.63,1225.21,0,0.00
2014,10,4,277,10195,0.45,0.68,0,4.17,0.68,2.84,0,0,0,0,12.79,150.42,601.67,300.83,588.88,451.25,0,,2015,1,10195,32.29,18.19,608.42,0,0.00
2014,10,5,278,10195,0.43,0.67,0,4.03,0.67,2.71,0,0,0,0,15.51,150.42,601.67,300.83,586.16,451.25,0,,2015,2,10195,56.46,36.47,1219.85,0,0.00
2014,10,6,279,10195,0.41,0.67,0,4.09,0.67,2.72,0,0,0,0,18.23,150.42,601.67,300.83,583.44,451.25,0,,2015,3,10195,104.49,49.32,1649.66,0,0.00
2014,10,7,280,10195,0.39,0.66,0,4.24,0.66,2.79,0,0,0,0,21.02,150.42,601.67,300.83,580.65,451.25,0,,2015,4,10195,140.05,86.37,2888.92,86.37,2888.92
2014,10,8,281,10195,0.37,0.65,0,4.92,0.65,3.2,0,0,0,0,24.22,150.42,601.67,300.83,577.45,451.25,0,,2015,5,10195,157.44,114.37,3825.47,114.36,3825.13
2014,10,9,282,10195,0.36,0.64,0,4.33,0.64,2.78,0,0,0,0,27,150.42,601.67,300.83,574.67,451.25,0,,2015,6,10195,206.92,165.55,5537.34,165.54,5537.01
2014,10,10,283,10195,0.34,0.63,0,3.75,0.63,2.38,0,0,0,0,29.38,150.42,601.67,300.83,572.29,451.25,0,,2015,7,10195,214.06,171.26,5728.33,171.25,5728.00
2014,10,11,284,10195,0.33,0.63,0,3.53,0.63,2.21,0,0,0,0,31.59,150.42,601.67,300.83,570.08,451.25,0,,2015,8,10195,194.99,155.95,5216.24,155.99,5217.58
2014,10,12,285,10195,0.32,0.62,0,6.45,0.62,3.99,0,0,0,0,35.58,150.42,601.67,300.83,566.09,451.25,0,,2015,9,10195,149.52,117.37,3925.81,117.39,3926.48
2014,10,13,286,10195,0.31,0.61,0,4.08,0.61,2.49,0,0,0,0,38.07,150.42,601.67,300.83,563.6,451.25,0,,,,,,,,,
2014,10,14,287,10195,0.3,0.6,0,3.18,0.6,1.92,0,0,0,0,39.99,150.42,601.67,300.83,561.68,451.25,0,,,,,,,,,
2014,10,15,288,10195,0.3,0.59,0,2.39,0.59,1.42,0.15,0.15,0,0,41.26,150.42,601.67,300.83,560.41,451.25,0,,,,,,,,,
2014,10,16,289,10195,0.29,0.59,0,2.7,0.59,1.58,0,0,0,0,42.84,150.42,601.67,300.83,558.83,451.25,0,,,,,,,,,
2014,10,17,290,10195,0.29,0.58,0,2.51,0.58,1.45,0,0,0,0,44.29,150.42,601.67,300.83,557.37,451.25,0,,,,,,,,,
2014,10,18,291,10195,0.29,0.57,0,2.88,0.57,1.64,0,0,0,0,45.94,150.42,601.67,300.83,555.73,451.25,0,,,,,,,,,
2014,10,19,292,10195,0.28,0.56,0,2.97,0.56,1.67,0,0,0,0,47.61,150.42,601.67,300.83,554.06,451.25,0,,,,,,,,,
2014,10,20,293,10195,0.28,0.56,0,2.25,0.56,1.25,0,0,0,0,48.86,150.42,601.67,300.83,552.81,451.25,0,,,,,,,,,
2014,10,21,294,10195,0.27,0.55,0,2.67,0.55,1.46,0,0,0,0,50.32,150.42,601.67,300.83,551.35,451.25,0,,,,,,,,,
2014,10,22,295,10195,0.27,0.54,0,2.57,0.54,1.39,0,0,0,0,51.71,150.42,601.67,300.83,549.96,451.25,0,,,,,,,,,
2014,10,23,296,10195,0.27,0.53,0,2.51,0.53,1.33,0,0,0,0,53.04,150.42,601.67,300.83,548.63,451.25,0,,,,,,,,,
2014,10,24,297,10195,0.27,0.52,0,2.57,0.52,1.35,0,0,0,0,54.39,150.42,601.67,300.83,547.28,451.25,0,,,,,,,,,
2014,10,25,298,10195,0.26,0.52,0,2.27,0.52,1.17,0,0,0,0,55.56,150.42,601.67,300.83,546.11,451.25,0,,,,,,,,,
2014,10,26,299,10195,0.26,0.51,0,2.66,0.51,1.35,1.25,1.25,0,0,55.66,150.42,601.67,300.83,546.01,451.25,0,,,,,,,,,
2014,10,27,300,10195,0.26,0.5,0,2.48,0.5,1.24,0,0,0,0,56.9,150.42,601.67,300.83,544.77,451.25,0,,,,,,,,,
2014,10,28,301,10195,0.25,0.49,0,2.37,0.49,1.17,0,0,0,0,58.07,150.42,601.67,300.83,543.6,451.25,0,,,,,,,,,
2014,10,29,302,10195,0.25,0.48,0,2.4,0.48,1.16,0,0,0,0,59.23,150.42,601.67,300.83,542.44,451.25,0,,,,,,,,,
2014,10,30,303,10195,0.25,0.48,0,2.51,0.48,1.2,0,0,0,0,60.42,150.42,601.67,300.83,541.24,451.25,0,,,,,,,,,
2014,10,31,304,10195,0.25,0.47,0,1.29,0.47,0.6,0.01,0.01,0,0,61.02,150.42,601.67,300.83,540.65,451.25,0,,,,,,,,,
2014,11,1,305,10195,1.15,0.46,0,1.84,1.15,2.11,7.1,7.1,0,0,56.03,150.42,601.67,300.83,545.64,451.25,0,,,,,,,,,
2014,11,2,306,10195,1.14,0.45,0,2.21,1.14,2.52,0,0,0,0,58.55,150.42,601.67,300.83,543.12,451.25,0,,,,,,,,,
2014,11,3,307,10195,1.14,0.44,0,1.8,1.14,2.06,0,0,0,0,60.6,150.42,601.67,300.83,541.07,451.25,0,,,,,,,,,
2014,11,4,308,10195,1.01,0.44,0,1.75,1.01,1.77,0,0,0,0,62.37,150.42,601.67,300.83,539.3,451.25,0,,,,,,,,,
2014,11,5,309,10195,0.91,0.43,0,1.82,0.91,1.65,0,0,0,0,64.02,150.42,601.67,300.83,537.65,451.25,0,,,,,,,,,
2014,11,6,310,10195,0.83,0.42,0,1.94,0.83,1.6,0,0,0,0,65.62,150.42,601.67,300.83,536.05,451.25,0,,,,,,,,,
2014,11,7,311,10195,0.76,0.41,0,2.01,0.76,1.53,0,0,0,0,67.15,150.42,601.67,300.83,534.52,451.25,0,,,,,,,,,
2014,11,8,312,10195,0.71,0.41,0,1.88,0.71,1.34,0,0,0,0,68.48,150.42,601.67,300.83,533.19,451.25,0,,,,,,,,,
2014,11,9,313,10195,0.67,0.4,0,1.86,0.67,1.25,0,0,0,0,69.73,150.42,601.67,300.83,531.93,451.25,0,,,,,,,,,
2014,11,10,314,10195,0.64,0.39,0,1.96,0.64,1.25,0,0,0,0,70.98,150.42,601.67,300.83,530.69,451.25,0,,,,,,,,,
2014,11,11,315,10195,0.61,0.38,0,1.52,0.61,0.93,0,0,0,0,71.91,150.42,601.67,300.83,529.75,451.25,0,,,,,,,,,
2014,11,12,316,10195,0.59,0.37,0,1.46,0.59,0.87,0,0,0,0,72.78,150.42,601.67,300.83,528.89,451.25,0,,,,,,,,,
2014,11,13,317,10195,1.18,0.37,0,1.02,1.18,1.2,4.19,4.19,0,0,69.79,150.42,601.67,300.83,531.88,451.25,0,,,,,,,,,
2014,11,14,318,10195,1.17,0.36,0,1.34,1.17,1.56,1.96,1.96,0,0,69.4,150.42,601.67,300.83,532.27,451.25,0,,,,,,,,,
2014,11,15,319,10195,1.17,0.35,0,1.28,1.17,1.49,0,0,0,0,70.89,150.42,601.67,300.83,530.78,451.25,0,,,,,,,,,
2014,11,16,320,10195,1.16,0,0,1.98,1.16,2.29,0.01,0.01,0,0,31.35,31.35,601.67,300.83,570.32,570.32,0,,,,,,,,,
2014,11,17,321,10195,1.1,0,0,1.82,1.1,2.01,0,0,0,0,33.36,31.35,601.67,300.83,568.31,570.32,0,,,,,,,,,
2014,11,18,322,10195,1,0,0,1.37,1,1.37,0,0,0,0,31.35,31.35,601.67,300.83,570.32,570.32,0,,,,,,,,,
2014,11,19,323,10195,0.94,0,0,1.06,0.94,1,0.13,0.13,0,0,32.22,31.35,601.67,300.83,569.45,570.32,0,,,,,,,,,
2014,11,20,324,10195,1.19,0,0,0.64,1.19,0.76,3.26,3.26,0,0,28.96,31.35,601.67,300.83,572.71,570.32,0,,,,,,,,,
2014,11,21,325,10195,1.19,0,0,0.82,1.19,0.97,4.7,4.7,0,0,25.23,31.35,601.67,300.83,576.44,570.32,0,,,,,,,,,
2014,11,22,326,10195,1.18,0,0,1.16,1.18,1.37,0.19,0.19,0,0,26.41,31.35,601.67,300.83,575.26,570.32,0,,,,,,,,,
2014,11,23,327,10195,1.16,0,0,1.49,1.16,1.73,3.38,3.38,0,0,24.76,31.35,601.67,300.83,576.91,570.32,0,,,,,,,,,
2014,11,24,328,10195,1.16,0,0,1.37,1.16,1.59,0,0,0,0,26.35,31.35,601.67,300.83,575.32,570.32,0,,,,,,,,,
2014,11,25,329,10195,1.17,0,0,1.22,1.17,1.42,0,0,0,0,27.78,31.35,601.67,300.83,573.89,570.32,0,,,,,,,,,
2014,11,26,330,10195,1.17,0,0,1.2,1.17,1.4,0,0,0,0,29.18,31.35,601.67,300.83,572.49,570.32,0,,,,,,,,,
2014,11,27,331,10195,1.1,0,0,1.19,1.1,1.31,0,0,0,0,30.49,31.35,601.67,300.83,571.18,570.32,0,,,,,,,,,
2014,11,28,332,10195,1.02,0,0,1.16,1.02,1.18,0,0,0,0,31.67,31.35,601.67,300.83,570,570.32,0,,,,,,,,,
2014,11,29,333,10195,1.19,0,0,0.85,1.19,1.01,2.69,2.69,0,0,28.98,31.35,601.67,300.83,572.69,570.32,0,,,,,,,,,
2014,11,30,334,10195,1.19,0,0,0.66,1.19,0.79,3.5,3.5,0,0,26.27,31.35,601.67,300.83,575.4,570.32,0,,,,,,,,,
2014,12,1,335,10195,1.18,0,0,1.02,1.18,1.2,7.13,7.13,0,0,20.34,31.35,601.67,300.83,581.33,570.32,0,,,,,,,,,
