 Daily soil water balance output for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,7857,0.57,1,0,6.01,1,6.01,0,0,0,0,58.81,125.86,536.45,268.22,477.64,410.58,0,,2014,10,7857,101.46,101.46,2615.39
2014,10,2,275,7857,0.52,1,0,4.13,1,4.13,0,0,0,0,62.94,125.86,536.45,268.22,473.51,410.58,0,,2014,11,7857,43.45,47.21,1216.96
2014,10,3,276,7857,0.49,1,0,4.1,1,4.1,0,0,0,0,67.04,125.86,536.45,268.22,469.41,410.58,0,,2014,12,7857,31.93,36.08,930.05
2014,10,4,277,7857,0.46,1,0,4.11,1,4.11,0,0,0,0,71.15,125.86,536.45,268.22,465.3,410.58,0,,2015,1,7857,32.71,32.71,843.18
2014,10,5,278,7857,0.43,1,0,3.99,1,3.99,0,0,0,0,75.14,125.86,536.45,268.22,461.31,410.58,0,,2015,2,7857,56.48,57.76,1488.91
2014,10,6,279,7857,0.41,1,0,4.02,1,4.02,0,0,0,0,79.16,125.86,536.45,268.22,457.29,410.58,0,,2015,3,7857,103.75,104.85,2702.78
2014,10,7,280,7857,0.39,1,0,4.14,1,4.14,0,0,0,0,83.3,125.86,536.45,268.22,453.15,410.58,0,,2015,4,7857,139.25,140.34,3617.62
2014,10,8,281,7857,0.37,1,0,4.75,1,4.75,0,0,0,0,88.05,125.86,536.45,268.22,448.4,410.58,0,,2015,5,7857,156.10,156.10,4023.88
2014,10,9,282,7857,0.36,1,0,4.2,1,4.2,0,0,0,0,92.25,125.86,536.45,268.22,444.2,410.58,0,,2015,6,7857,203.55,203.55,5247.02
2014,10,10,283,7857,0.35,1,0,3.66,1,3.66,0,0,0,0,95.91,125.86,536.45,268.22,440.54,410.58,0,,2015,7,7857,210.84,210.84,5434.94
2014,10,11,284,7857,0.34,1,0,3.47,1,3.47,0,0,0,0,99.38,125.86,536.45,268.22,437.07,410.58,0,,2015,8,7857,191.50,191.50,4936.40
2014,10,12,285,7857,0.32,1,0,6.52,1,6.52,0,0,0,0,105.9,125.86,536.45,268.22,430.55,410.58,0,,2015,9,7857,147.50,147.50,3802.19
2014,10,13,286,7857,0.31,1,0,4.07,1,4.07,0,0,0,0,109.97,125.86,536.45,268.22,426.48,410.58,0,,,,,,,
2014,10,14,287,7857,0.31,1,0,3,1,3,0,0,0,0,112.97,125.86,536.45,268.22,423.48,410.58,0,,,,,,,
2014,10,15,288,7857,0.3,1,0,2.3,1,2.3,0.46,0.46,0,0,114.81,125.86,536.45,268.22,421.64,410.58,0,,,,,,,
2014,10,16,289,7857,0.3,1,0,2.65,1,2.65,0.27,0.27,0,0,117.19,125.86,536.45,268.22,419.26,410.58,0,,,,,,,
2014,10,17,290,7857,0.29,1,0,2.47,1,2.47,0,0,0,0,119.66,125.86,536.45,268.22,416.79,410.58,0,,,,,,,
2014,10,18,291,7857,0.29,1,0,2.85,1,2.85,0,0,0,0,122.51,125.86,536.45,268.22,413.94,410.58,0,,,,,,,
2014,10,19,292,7857,0.28,1,0,2.92,1,2.92,0,0,0,0,125.43,125.86,536.45,268.22,411.02,410.58,0,,,,,,,
2014,10,20,293,7857,0.28,1,0,2.24,1,2.24,0,0,0,0,0,125.86,536.45,268.22,536.45,410.58,127.67,,,,,,,
2014,10,21,294,7857,0.28,1,0,2.61,1,2.61,0,0,0,0,2.61,125.86,536.45,268.22,533.84,410.58,0,,,,,,,
2014,10,22,295,7857,0.27,1,0,2.54,1,2.54,0,0,0,0,5.15,125.86,536.45,268.22,531.3,410.58,0,,,,,,,
2014,10,23,296,7857,0.27,1,0,2.44,1,2.44,0,0,0,0,7.59,125.86,536.45,268.22,528.86,410.58,0,,,,,,,
2014,10,24,297,7857,0.27,1,0,2.57,1,2.57,0,0,0,0,10.16,125.86,536.45,268.22,526.29,410.58,0,,,,,,,
2014,10,25,298,7857,0.26,1,0,2.26,1,2.26,0,0,0,0,12.42,125.86,536.45,268.22,524.03,410.58,0,,,,,,,
2014,10,26,299,7857,0.26,1,0,2.62,1,2.62,1.47,1.47,0,0,13.57,125.86,536.45,268.22,522.88,410.58,0,,,,,,,
2014,10,27,300,7857,0.26,1,0,2.46,1,2.46,0,0,0,0,16.03,125.86,536.45,268.22,520.42,410.58,0,,,,,,,
2014,10,28,301,7857,0.26,1,0,2.33,1,2.33,0,0,0,0,18.36,125.86,536.45,268.22,518.09,410.58,0,,,,,,,
