 Daily soil water balance output for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,17,0.57,1.05,0,6.01,1.05,6.31,0,0,0,0,107.38,109.73,438.91,219.46,331.53,329.18,0,,2014,10,17,101.46,96.36,5.37,96.38,5.38
2014,10,2,275,17,0.52,1.05,0,4.13,1.05,4.34,0,0,0,0,0,109.73,438.91,219.46,438.91,329.18,111.72,,2014,11,17,43.45,43.15,2.41,0,0.00
2014,10,3,276,17,0.49,1.04,0,4.1,1.04,4.27,0,0,0,0,4.27,109.73,438.91,219.46,434.64,329.18,0,,2014,12,17,31.93,34.69,1.93,0,0.00
2014,10,4,277,17,0.46,1.03,0,4.11,1.03,4.24,0,0,0,0,8.51,109.73,438.91,219.46,430.4,329.18,0,,2015,1,17,32.71,16.86,0.94,0,0.00
2014,10,5,278,17,0.43,1.02,0,3.99,1.02,4.09,0,0,0,0,12.6,109.73,438.91,219.46,426.31,329.18,0,,2015,2,17,56.48,36.24,2.02,0,0.00
2014,10,6,279,17,0.41,1.02,0,4.02,1.02,4.08,0,0,0,0,16.68,109.73,438.91,219.46,422.23,329.18,0,,2015,3,17,103.75,76.26,4.25,76.24,4.25
2014,10,7,280,17,0.39,1.01,0,4.14,1.01,4.17,0,0,0,0,20.85,109.73,438.91,219.46,418.06,329.18,0,,2015,4,17,139.25,115.71,6.45,115.71,6.45
2014,10,8,281,17,0.37,1,0,4.75,1,4.74,0,0,0,0,25.59,109.73,438.91,219.46,413.32,329.18,0,,2015,5,17,156.10,149.81,8.36,149.82,8.36
2014,10,9,282,17,0.36,0.99,0,4.2,0.99,4.16,0,0,0,0,29.75,109.73,438.91,219.46,409.16,329.18,0,,2015,6,17,203.55,213.71,11.92,213.7,11.92
2014,10,10,283,17,0.35,0.98,0,3.66,0.98,3.59,0,0,0,0,33.34,109.73,438.91,219.46,405.57,329.18,0,,2015,7,17,210.84,221.38,12.35,221.38,12.35
2014,10,11,284,17,0.34,0.97,0,3.47,0.97,3.37,0,0,0,0,36.71,109.73,438.91,219.46,402.2,329.18,0,,2015,8,17,191.50,201.09,11.22,201.08,11.22
2014,10,12,285,17,0.32,0.96,0,6.52,0.96,6.28,0,0,0,0,43,109.73,438.91,219.46,395.91,329.18,0,,2015,9,17,147.50,154.92,8.64,154.88,8.64
2014,10,13,286,17,0.31,0.96,0,4.07,0.96,3.89,0,0,0,0,46.89,109.73,438.91,219.46,392.03,329.18,0,,,,,,,,,
2014,10,14,287,17,0.31,0.95,0,3,0.95,2.84,0,0,0,0,49.73,109.73,438.91,219.46,389.19,329.18,0,,,,,,,,,
2014,10,15,288,17,0.3,0.94,0,2.3,0.94,2.16,0.46,0.46,0,0,51.42,109.73,438.91,219.46,387.49,329.18,0,,,,,,,,,
2014,10,16,289,17,0.3,0.93,0,2.65,0.93,2.46,0.27,0.27,0,0,53.62,109.73,438.91,219.46,385.3,329.18,0,,,,,,,,,
