 Daily soil water balance output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,4923,0.57,0,0,6.01,0.57,3.42,0,0,0,0,28.8,28.8,409.65,204.83,380.85,380.85,0,,2014,10,4923,101.46,35.72,576.93,0,0.00
2014,10,2,275,4923,0.52,0,0,4.13,0.52,2.16,0,0,0,0,30.96,28.8,409.65,204.83,378.69,380.85,0,,2014,11,4923,43.45,43.15,696.94,0,0.00
2014,10,3,276,4923,0.49,0,0,4.1,0.49,1.99,0,0,0,0,28.8,28.8,409.65,204.83,380.85,380.85,0,,2014,12,4923,31.93,34.69,560.30,0,0.00
2014,10,4,277,4923,0.46,0,0,4.11,0.46,1.87,0,0,0,0,30.67,28.8,409.65,204.83,378.98,380.85,0,,2015,1,4923,32.71,16.86,272.32,0,0.00
2014,10,5,278,4923,0.43,0,0,3.99,0.43,1.72,0,0,0,0,28.8,28.8,409.65,204.83,380.85,380.85,0,,2015,2,4923,56.48,36.24,585.33,0,0.00
2014,10,6,279,4923,0.41,0,0,4.02,0.41,1.65,0,0,0,0,30.45,28.8,409.65,204.83,379.2,380.85,0,,2015,3,4923,103.75,60.08,970.39,0,0.00
2014,10,7,280,4923,0.39,0,0,4.14,0.39,1.62,0,0,0,0,28.8,28.8,409.65,204.83,380.85,380.85,0,,2015,4,4923,139.25,70.84,1144.18,0,0.00
2014,10,8,281,4923,0.37,0,0,4.75,0.37,1.77,0,0,0,0,30.57,28.8,409.65,204.83,379.08,380.85,0,,2015,5,4923,156.10,41.48,669.97,41.45,669.48
2014,10,9,282,4923,0.36,0,0,4.2,0.36,1.51,0,0,0,0,28.8,28.8,409.65,204.83,380.85,380.85,0,,2015,6,4923,203.55,114.57,1850.49,114.58,1850.65
