 Daily soil water balance output for Other Deciduous in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Other Deciduous in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,74,0.57,0.96,0,6.01,0.96,5.78,0,0,0,0,0,109.73,438.91,219.46,438.91,329.18,111.45,,2014,10,74,101.46,90.75,22.03,90.75,22.03
2014,10,2,275,74,0.52,0.96,0,4.13,0.96,3.95,0,0,0,0,3.95,109.73,438.91,219.46,434.96,329.18,0,,2014,11,74,43.45,43.15,10.48,0,0.00
2014,10,3,276,74,0.49,0.95,0,4.1,0.95,3.9,0,0,0,0,7.85,109.73,438.91,219.46,431.06,329.18,0,,2014,12,74,31.93,34.69,8.42,0,0.00
2014,10,4,277,74,0.46,0.95,0,4.11,0.95,3.89,0,0,0,0,11.74,109.73,438.91,219.46,427.17,329.18,0,,2015,1,74,32.71,16.86,4.09,0,0.00
2014,10,5,278,74,0.43,0.94,0,3.99,0.94,3.75,0,0,0,0,15.49,109.73,438.91,219.46,423.42,329.18,0,,2015,2,74,56.48,36.24,8.80,0,0.00
2014,10,6,279,74,0.41,0.94,0,4.02,0.94,3.76,0,0,0,0,19.25,109.73,438.91,219.46,419.66,329.18,0,,2015,3,74,103.75,75.36,18.30,75.35,18.29
2014,10,7,280,74,0.39,0.93,0,4.14,0.93,3.85,0,0,0,0,23.1,109.73,438.91,219.46,415.81,329.18,0,,2015,4,74,139.25,112.30,27.26,112.31,27.27
2014,10,8,281,74,0.37,0.92,0,4.75,0.92,4.39,0,0,0,0,27.49,109.73,438.91,219.46,411.42,329.18,0,,2015,5,74,156.10,142.43,34.58,142.42,34.58
2014,10,9,282,74,0.36,0.92,0,4.2,0.92,3.86,0,0,0,0,31.35,109.73,438.91,219.46,407.56,329.18,0,,2015,6,74,203.55,215.72,52.37,215.71,52.37
2014,10,10,283,74,0.35,0.91,0,3.66,0.91,3.34,0,0,0,0,34.7,109.73,438.91,219.46,404.21,329.18,0,,2015,7,74,210.84,238.21,57.83,238.25,57.84
2014,10,11,284,74,0.34,0.91,0,3.47,0.91,3.15,0,0,0,0,37.85,109.73,438.91,219.46,401.06,329.18,0,,2015,8,74,191.50,216.39,52.54,216.4,52.54
2014,10,12,285,74,0.32,0.9,0,6.52,0.9,5.89,0,0,0,0,43.74,109.73,438.91,219.46,395.18,329.18,0,,2015,9,74,147.50,155.02,37.64,155.02,37.64
2014,10,13,286,74,0.31,0.9,0,4.07,0.9,3.65,0,0,0,0,47.39,109.73,438.91,219.46,391.52,329.18,0,,,,,,,,,
2014,10,14,287,74,0.31,0.89,0,3,0.89,2.68,0,0,0,0,50.06,109.73,438.91,219.46,388.85,329.18,0,,,,,,,,,
2014,10,15,288,74,0.3,0.89,0,2.3,0.89,2.04,0.46,0.46,0,0,51.64,109.73,438.91,219.46,387.27,329.18,0,,,,,,,,,
2014,10,16,289,74,0.3,0.88,0,2.65,0.88,2.34,0.27,0.27,0,0,53.71,109.73,438.91,219.46,385.2,329.18,0,,,,,,,,,
2014,10,17,290,74,0.29,0.88,0,2.47,0.88,2.16,0,0,0,0,55.87,109.73,438.91,219.46,383.04,329.18,0,,,,,,,,,
2014,10,18,291,74,0.29,0.87,0,2.85,0.87,2.48,0,0,0,0,58.35,109.73,438.91,219.46,380.56,329.18,0,,,,,,,,,
2014,10,19,292,74,0.28,0.86,0,2.92,0.86,2.53,0,0,0,0,60.88,109.73,438.91,219.46,378.03,329.18,0,,,,,,,,,
2014,10,20,293,74,0.28,0.86,0,2.24,0.86,1.93,0,0,0,0,62.8,109.73,438.91,219.46,376.11,329.18,0,,,,,,,,,
2014,10,21,294,74,0.28,0.85,0,2.61,0.85,2.23,0,0,0,0,65.03,109.73,438.91,219.46,373.88,329.18,0,,,,,,,,,
2014,10,22,295,74,0.27,0.85,0,2.54,0.85,2.16,0,0,0,0,67.19,109.73,438.91,219.46,371.72,329.18,0,,,,,,,,,
2014,10,23,296,74,0.27,0.84,0,2.44,0.84,2.06,0,0,0,0,69.25,109.73,438.91,219.46,369.67,329.18,0,,,,,,,,,
2014,10,24,297,74,0.27,0.84,0,2.57,0.84,2.15,0,0,0,0,71.4,109.73,438.91,219.46,367.51,329.18,0,,,,,,,,,
2014,10,25,298,74,0.26,0.83,0,2.26,0.83,1.88,0,0,0,0,73.28,109.73,438.91,219.46,365.63,329.18,0,,,,,,,,,
2014,10,26,299,74,0.26,0.83,0,2.62,0.83,2.17,1.47,1.47,0,0,73.98,109.73,438.91,219.46,364.94,329.18,0,,,,,,,,,
2014,10,27,300,74,0.26,0.82,0,2.46,0.82,2.02,0,0,0,0,76,109.73,438.91,219.46,362.91,329.18,0,,,,,,,,,
2014,10,28,301,74,0.26,0.82,0,2.33,0.82,1.9,0,0,0,0,77.9,109.73,438.91,219.46,361.01,329.18,0,,,,,,,,,
2014,10,29,302,74,0.25,0.81,0,2.38,0.81,1.93,0,0,0,0,79.83,109.73,438.91,219.46,359.08,329.18,0,,,,,,,,,
2014,10,30,303,74,0.25,0.81,0,2.46,0.81,1.98,0,0,0,0,81.81,109.73,438.91,219.46,357.1,329.18,0,,,,,,,,,
2014,10,31,304,74,0.25,0.8,0,1.19,0.8,0.95,0,0,0,0,82.76,109.73,438.91,219.46,356.15,329.18,0,,,,,,,,,
2014,11,1,305,74,1.15,0,0,1.87,1.15,2.14,5.89,5.89,0,0,21.6,21.6,438.91,219.46,417.31,417.31,0,,,,,,,,,
2014,11,2,306,74,1.14,0,0,2.21,1.14,2.52,0,0,0,0,24.12,21.6,438.91,219.46,414.8,417.31,0,,,,,,,,,
2014,11,3,307,74,1.14,0,0,1.8,1.14,2.05,0,0,0,0,21.6,21.6,438.91,219.46,417.31,417.31,0,,,,,,,,,
2014,11,4,308,74,1.01,0,0,1.74,1.01,1.75,0,0,0,0,23.35,21.6,438.91,219.46,415.56,417.31,0,,,,,,,,,
2014,11,5,309,74,0.91,0,0,1.79,0.91,1.62,0,0,0,0,21.6,21.6,438.91,219.46,417.31,417.31,0,,,,,,,,,
2014,11,6,310,74,0.83,0,0,1.92,0.83,1.59,0,0,0,0,23.19,21.6,438.91,219.46,415.73,417.31,0,,,,,,,,,
2014,11,7,311,74,0.76,0,0,1.96,0.76,1.5,0,0,0,0,21.6,21.6,438.91,219.46,417.31,417.31,0,,,,,,,,,
2014,11,8,312,74,0.71,0,0,1.88,0.71,1.34,0,0,0,0,22.94,21.6,438.91,219.46,415.97,417.31,0,,,,,,,,,
2014,11,9,313,74,0.67,0,0,1.84,0.67,1.24,0,0,0,0,21.6,21.6,438.91,219.46,417.31,417.31,0,,,,,,,,,
2014,11,10,314,74,0.64,0,0,1.97,0.64,1.26,0,0,0,0,22.86,21.6,438.91,219.46,416.05,417.31,0,,,,,,,,,
2014,11,11,315,74,0.61,0,0,1.56,0.61,0.96,0,0,0,0,21.6,21.6,438.91,219.46,417.31,417.31,0,,,,,,,,,
2014,11,12,316,74,0.59,0,0,1.44,0.59,0.86,0,0,0,0,22.46,21.6,438.91,219.46,416.46,417.31,0,,,,,,,,,
2014,11,13,317,74,1.18,0,0,0.99,1.18,1.17,2.97,2.97,0,0,19.49,21.6,438.91,219.46,419.43,417.31,0,,,,,,,,,
2014,11,14,318,74,1.17,0,0,1.32,1.17,1.54,1.54,1.54,0,0,19.49,21.6,438.91,219.46,419.43,417.31,0,,,,,,,,,
2014,11,15,319,74,1.17,0,0,1.29,1.17,1.51,0,0,0,0,20.99,21.6,438.91,219.46,417.92,417.31,0,,,,,,,,,
2014,11,16,320,74,1.16,0,0,2.03,1.16,2.35,0,0,0,0,23.34,21.6,438.91,219.46,415.57,417.31,0,,,,,,,,,
2014,11,17,321,74,1.1,0,0,1.86,1.1,2.04,0,0,0,0,21.6,21.6,438.91,219.46,417.31,417.31,0,,,,,,,,,
2014,11,18,322,74,1,0,0,1.39,1,1.38,0,0,0,0,22.98,21.6,438.91,219.46,415.93,417.31,0,,,,,,,,,
2014,11,19,323,74,0.94,0,0,0.96,0.94,0.9,0.11,0.11,0,0,21.6,21.6,438.91,219.46,417.31,417.31,0,,,,,,,,,
