 Daily soil water balance output for Pasture in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly outputfor Pasture in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,14552,0.57,0.95,0,6.01,0.95,5.71,0,0,0,0,24.66,50.32,214.58,107.29,189.92,164.26,0,,2014,10,14552,101.46,96.40,4602.40
2014,10,2,275,14552,0.52,0.95,0,4.13,0.95,3.92,0,0,0,0,28.59,50.32,214.58,107.29,185.99,164.26,0,,2014,11,14552,43.45,46.43,2216.70
2014,10,3,276,14552,0.49,0.95,0,4.1,0.95,3.9,0,0,0,0,32.48,50.32,214.58,107.29,182.1,164.26,0,,2014,12,14552,31.93,35.73,1705.85
2014,10,4,277,14552,0.46,0.95,0,4.11,0.95,3.9,0,0,0,0,36.38,50.32,214.58,107.29,178.19,164.26,0,,2015,1,14552,32.71,31.09,1484.32
2014,10,5,278,14552,0.43,0.95,0,3.99,0.95,3.79,0,0,0,0,40.18,50.32,214.58,107.29,174.4,164.26,0,,2015,2,14552,56.48,55.46,2647.81
2014,10,6,279,14552,0.41,0.95,0,4.02,0.95,3.82,0,0,0,0,43.99,50.32,214.58,107.29,170.58,164.26,0,,2015,3,14552,103.75,100.32,4789.56
2014,10,7,280,14552,0.39,0.95,0,4.14,0.95,3.93,0,0,0,0,47.93,50.32,214.58,107.29,166.65,164.26,0,,2015,4,14552,139.25,134.01,6398.01
2014,10,8,281,14552,0.37,0.95,0,4.75,0.95,4.51,0,0,0,0,0,50.32,214.58,107.29,214.58,164.26,52.44,,2015,5,14552,156.10,148.30,7080.25
2014,10,9,282,14552,0.36,0.95,0,4.2,0.95,3.99,0,0,0,0,3.99,50.32,214.58,107.29,210.59,164.26,0,,2015,6,14552,203.55,193.38,9232.50
2014,10,10,283,14552,0.35,0.95,0,3.66,0.95,3.48,0,0,0,0,7.47,50.32,214.58,107.29,207.11,164.26,0,,2015,7,14552,210.84,200.31,9563.36
