 Daily soil water balance output for Pears in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Pears in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,339,0.57,0.9,0,6.01,0.9,5.4,0,0,0,0,17.68,109.73,438.91,219.46,421.23,329.18,0,,2014,10,339,101.46,86.99,96.75,86.99,96.75
2014,10,2,275,339,0.52,0.9,0,4.13,0.9,3.7,0,0,0,0,21.38,109.73,438.91,219.46,417.53,329.18,0,,2014,11,339,43.45,43.15,47.99,0,0.00
2014,10,3,276,339,0.49,0.89,0,4.1,0.89,3.66,0,0,0,0,25.04,109.73,438.91,219.46,413.87,329.18,0,,2014,12,339,31.93,34.69,38.58,0,0.00
2014,10,4,277,339,0.46,0.89,0,4.11,0.89,3.65,0,0,0,0,28.69,109.73,438.91,219.46,410.22,329.18,0,,2015,1,339,32.71,16.86,18.75,0,0.00
2014,10,5,278,339,0.43,0.89,0,3.99,0.89,3.53,0,0,0,0,32.22,109.73,438.91,219.46,406.69,329.18,0,,2015,2,339,56.48,36.24,40.31,0,0.00
2014,10,6,279,339,0.41,0.88,0,4.02,0.88,3.55,0,0,0,0,35.77,109.73,438.91,219.46,403.14,329.18,0,,2015,3,339,103.75,77.97,86.72,77.95,86.70
2014,10,7,280,339,0.39,0.88,0,4.14,0.88,3.64,0,0,0,0,39.41,109.73,438.91,219.46,399.5,329.18,0,,2015,4,339,139.25,122.50,136.25,122.48,136.22
2014,10,8,281,339,0.37,0.88,0,4.75,0.88,4.16,0,0,0,0,43.57,109.73,438.91,219.46,395.34,329.18,0,,2015,5,339,156.10,159.83,177.76,159.85,177.79
2014,10,9,282,339,0.36,0.87,0,4.2,0.87,3.66,0,0,0,0,47.23,109.73,438.91,219.46,391.68,329.18,0,,2015,6,339,203.55,213.72,237.70,213.73,237.71
2014,10,10,283,339,0.35,0.87,0,3.66,0.87,3.18,0,0,0,0,50.41,109.73,438.91,219.46,388.5,329.18,0,,2015,7,339,210.84,221.37,246.21,221.38,246.22
2014,10,11,284,339,0.34,0.87,0,3.47,0.87,3,0,0,0,0,53.42,109.73,438.91,219.46,385.49,329.18,0,,2015,8,339,191.50,198.68,220.97,198.69,220.98
2014,10,12,285,339,0.32,0.86,0,6.52,0.86,5.62,0,0,0,0,59.04,109.73,438.91,219.46,379.87,329.18,0,,2015,9,339,147.50,140.52,156.29,140.51,156.28
2014,10,13,286,339,0.31,0.86,0,4.07,0.86,3.5,0,0,0,0,62.54,109.73,438.91,219.46,376.37,329.18,0,,,,,,,,,
2014,10,14,287,339,0.31,0.86,0,3,0.86,2.57,0,0,0,0,65.11,109.73,438.91,219.46,373.81,329.18,0,,,,,,,,,
