 Daily soil water balance output for Truck Crops in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Truck Crops in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,44,0.57,0,0,6.01,0.57,3.42,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,2014,10,44,101.46,35.72,5.16,0,0.00
2014,10,2,275,44,0.52,0,0,4.13,0.52,2.16,0,0,0,0,21.36,19.2,273.1,136.55,251.74,253.9,0,,2014,11,44,43.45,43.15,6.23,0,0.00
2014,10,3,276,44,0.49,0,0,4.1,0.49,1.99,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,2014,12,44,31.93,34.69,5.01,0,0.00
2014,10,4,277,44,0.46,0,0,4.11,0.46,1.87,0,0,0,0,21.07,19.2,273.1,136.55,252.03,253.9,0,,2015,1,44,32.71,16.86,2.43,0,0.00
2014,10,5,278,44,0.43,0,0,3.99,0.43,1.72,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,2015,2,44,56.48,36.24,5.23,0,0.00
2014,10,6,279,44,0.41,0,0,4.02,0.41,1.65,0,0,0,0,20.85,19.2,273.1,136.55,252.25,253.9,0,,2015,3,44,103.75,60.08,8.67,0,0.00
2014,10,7,280,44,0.39,0,0,4.14,0.39,1.62,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,2015,4,44,139.25,70.84,10.23,0,0.00
2014,10,8,281,44,0.37,0,0,4.75,0.37,1.77,0,0,0,0,20.97,19.2,273.1,136.55,252.13,253.9,0,,2015,5,44,156.10,57.15,8.25,34.78,5.02
2014,10,9,282,44,0.36,0,0,4.2,0.36,1.51,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,2015,6,44,203.55,100.34,14.48,100.34,14.48
2014,10,10,283,44,0.35,0,0,3.66,0.35,1.27,0,0,0,0,20.47,19.2,273.1,136.55,252.63,253.9,0,,2015,7,44,210.84,166.20,23.99,166.17,23.99
2014,10,11,284,44,0.34,0,0,3.47,0.34,1.17,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,2015,8,44,191.50,162.79,23.50,162.78,23.50
2014,10,12,285,44,0.32,0,0,6.52,0.32,2.09,0,0,0,0,21.29,19.2,273.1,136.55,251.81,253.9,0,,2015,9,44,147.50,118.70,17.14,118.71,17.14
2014,10,13,286,44,0.31,0,0,4.07,0.31,1.27,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,10,14,287,44,0.31,0,0,3,0.31,0.92,0,0,0,0,20.12,19.2,273.1,136.55,252.98,253.9,0,,,,,,,,,
2014,10,15,288,44,0.3,0,0,2.3,0.3,0.69,0.46,0.46,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,10,16,289,44,0.3,0,0,2.65,0.3,0.79,0.27,0.27,0,0,19.72,19.2,273.1,136.55,253.38,253.9,0,,,,,,,,,
2014,10,17,290,44,0.29,0,0,2.47,0.29,0.72,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,10,18,291,44,0.29,0,0,2.85,0.29,0.82,0,0,0,0,20.02,19.2,273.1,136.55,253.08,253.9,0,,,,,,,,,
2014,10,19,292,44,0.28,0,0,2.92,0.28,0.83,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,10,20,293,44,0.28,0,0,2.24,0.28,0.63,0,0,0,0,19.83,19.2,273.1,136.55,253.27,253.9,0,,,,,,,,,
2014,10,21,294,44,0.28,0,0,2.61,0.28,0.72,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,10,22,295,44,0.27,0,0,2.54,0.27,0.7,0,0,0,0,19.9,19.2,273.1,136.55,253.21,253.9,0,,,,,,,,,
2014,10,23,296,44,0.27,0,0,2.44,0.27,0.66,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,10,24,297,44,0.27,0,0,2.57,0.27,0.69,0,0,0,0,19.89,19.2,273.1,136.55,253.21,253.9,0,,,,,,,,,
2014,10,25,298,44,0.26,0,0,2.26,0.26,0.6,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,10,26,299,44,0.26,0,0,2.62,0.26,0.68,1.47,1.47,0,0,18.41,19.2,273.1,136.55,254.69,253.9,0,,,,,,,,,
2014,10,27,300,44,0.26,0,0,2.46,0.26,0.64,0,0,0,0,19.05,19.2,273.1,136.55,254.05,253.9,0,,,,,,,,,
2014,10,28,301,44,0.26,0,0,2.33,0.26,0.6,0,0,0,0,19.65,19.2,273.1,136.55,253.45,253.9,0,,,,,,,,,
2014,10,29,302,44,0.25,0,0,2.38,0.25,0.6,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,10,30,303,44,0.25,0,0,2.46,0.25,0.62,0,0,0,0,19.82,19.2,273.1,136.55,253.28,253.9,0,,,,,,,,,
2014,10,31,304,44,0.25,0,0,1.19,0.25,0.3,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,11,1,305,44,1.15,0,0,1.87,1.15,2.14,5.89,5.89,0,0,15.45,19.2,273.1,136.55,257.65,253.9,0,,,,,,,,,
2014,11,2,306,44,1.14,0,0,2.21,1.14,2.52,0,0,0,0,17.97,19.2,273.1,136.55,255.13,253.9,0,,,,,,,,,
2014,11,3,307,44,1.14,0,0,1.8,1.14,2.05,0,0,0,0,20.02,19.2,273.1,136.55,253.08,253.9,0,,,,,,,,,
2014,11,4,308,44,1.01,0,0,1.74,1.01,1.75,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,11,5,309,44,0.91,0,0,1.79,0.91,1.62,0,0,0,0,20.82,19.2,273.1,136.55,252.28,253.9,0,,,,,,,,,
2014,11,6,310,44,0.83,0,0,1.92,0.83,1.59,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,11,7,311,44,0.76,0,0,1.96,0.76,1.5,0,0,0,0,20.7,19.2,273.1,136.55,252.41,253.9,0,,,,,,,,,
2014,11,8,312,44,0.71,0,0,1.88,0.71,1.34,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,11,9,313,44,0.67,0,0,1.84,0.67,1.24,0,0,0,0,20.44,19.2,273.1,136.55,252.66,253.9,0,,,,,,,,,
2014,11,10,314,44,0.64,0,0,1.97,0.64,1.26,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
2014,11,11,315,44,0.61,0,0,1.56,0.61,0.96,0,0,0,0,20.16,19.2,273.1,136.55,252.94,253.9,0,,,,,,,,,
2014,11,12,316,44,0.59,0,0,1.44,0.59,0.86,0,0,0,0,19.2,19.2,273.1,136.55,253.9,253.9,0,,,,,,,,,
