 Daily soil water balance output for Turf_farm in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Turf_farm in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,341,0.57,0.85,0,6.01,0.85,5.11,0,0,0,0,33.91,50.79,214.58,107.29,180.67,163.79,0,,2014,10,341,101.46,86.23,96.47
2014,10,2,275,341,0.52,0.85,0,4.13,0.85,3.51,0,0,0,0,37.42,50.79,214.58,107.29,177.16,163.79,0,,2014,11,341,43.45,45.08,50.43
2014,10,3,276,341,0.49,0.85,0,4.1,0.85,3.49,0,0,0,0,40.91,50.79,214.58,107.29,173.67,163.79,0,,2014,12,341,31.93,35.16,39.34
2014,10,4,277,341,0.46,0.85,0,4.11,0.85,3.49,0,0,0,0,44.4,50.79,214.58,107.29,170.18,163.79,0,,2015,1,341,32.71,27.81,31.11
2014,10,5,278,341,0.43,0.85,0,3.99,0.85,3.39,0,0,0,0,47.79,50.79,214.58,107.29,166.79,163.79,0,,2015,2,341,56.48,50.91,56.96
2014,10,6,279,341,0.41,0.85,0,4.02,0.85,3.42,0,0,0,0,0,50.79,214.58,107.29,214.58,163.79,51.21,,2015,3,341,103.75,91.44,102.30
2014,10,7,280,341,0.39,0.85,0,4.14,0.85,3.52,0,0,0,0,3.52,50.79,214.58,107.29,211.06,163.79,0,,2015,4,341,139.25,121.55,135.99
2014,10,8,281,341,0.37,0.85,0,4.75,0.85,4.04,0,0,0,0,7.56,50.79,214.58,107.29,207.02,163.79,0,,2015,5,341,156.10,132.69,148.45
2014,10,9,282,341,0.36,0.85,0,4.2,0.85,3.57,0,0,0,0,11.13,50.79,214.58,107.29,203.45,163.79,0,,2015,6,341,203.55,173.02,193.57
2014,10,10,283,341,0.35,0.85,0,3.66,0.85,3.11,0,0,0,0,14.24,50.79,214.58,107.29,200.34,163.79,0,,2015,7,341,210.84,179.26,200.55
2014,10,11,284,341,0.34,0.85,0,3.47,0.85,2.95,0,0,0,0,17.19,50.79,214.58,107.29,197.39,163.79,0,,2015,8,341,191.50,162.79,182.12
2014,10,12,285,341,0.32,0.85,0,6.52,0.85,5.54,0,0,0,0,22.73,50.79,214.58,107.29,191.85,163.79,0,,2015,9,341,147.50,125.40,140.29
2014,10,13,286,341,0.31,0.85,0,4.07,0.85,3.46,0,0,0,0,26.19,50.79,214.58,107.29,188.39,163.79,0,,,,,,,
2014,10,14,287,341,0.31,0.85,0,3,0.85,2.55,0,0,0,0,28.74,50.79,214.58,107.29,185.84,163.79,0,,,,,,,
2014,10,15,288,341,0.3,0.85,0,2.3,0.85,1.96,0.46,0.46,0,0,30.23,50.79,214.58,107.29,184.35,163.79,0,,,,,,,
2014,10,16,289,341,0.3,0.85,0,2.65,0.85,2.25,0.27,0.27,0,0,32.22,50.79,214.58,107.29,182.36,163.79,0,,,,,,,
2014,10,17,290,341,0.29,0.85,0,2.47,0.85,2.1,0,0,0,0,34.32,50.79,214.58,107.29,180.26,163.79,0,,,,,,,
2014,10,18,291,341,0.29,0.85,0,2.85,0.85,2.42,0,0,0,0,36.74,50.79,214.58,107.29,177.84,163.79,0,,,,,,,
2014,10,19,292,341,0.28,0.85,0,2.92,0.85,2.48,0,0,0,0,39.22,50.79,214.58,107.29,175.36,163.79,0,,,,,,,
2014,10,20,293,341,0.28,0.85,0,2.24,0.85,1.9,0,0,0,0,41.12,50.79,214.58,107.29,173.46,163.79,0,,,,,,,
2014,10,21,294,341,0.28,0.85,0,2.61,0.85,2.22,0,0,0,0,43.34,50.79,214.58,107.29,171.24,163.79,0,,,,,,,
2014,10,22,295,341,0.27,0.85,0,2.54,0.85,2.16,0,0,0,0,45.5,50.79,214.58,107.29,169.08,163.79,0,,,,,,,
2014,10,23,296,341,0.27,0.85,0,2.44,0.85,2.07,0,0,0,0,47.58,50.79,214.58,107.29,167,163.79,0,,,,,,,
2014,10,24,297,341,0.27,0.85,0,2.57,0.85,2.18,0,0,0,0,49.76,50.79,214.58,107.29,164.82,163.79,0,,,,,,,
2014,10,25,298,341,0.26,0.85,0,2.26,0.85,1.92,0,0,0,0,0,50.79,214.58,107.29,214.58,163.79,51.68,,,,,,,
2014,10,26,299,341,0.26,0.85,0,2.62,0.85,2.23,1.47,1.47,0,0,0.76,50.79,214.58,107.29,213.82,163.79,0,,,,,,,
2014,10,27,300,341,0.26,0.85,0,2.46,0.85,2.09,0,0,0,0,2.85,50.79,214.58,107.29,211.73,163.79,0,,,,,,,
2014,10,28,301,341,0.26,0.85,0,2.33,0.85,1.98,0,0,0,0,4.83,50.79,214.58,107.29,209.75,163.79,0,,,,,,,
2014,10,29,302,341,0.25,0.85,0,2.38,0.85,2.02,0,0,0,0,6.85,50.79,214.58,107.29,207.73,163.79,0,,,,,,,
2014,10,30,303,341,0.25,0.85,0,2.46,0.85,2.09,0,0,0,0,8.94,50.79,214.58,107.29,205.64,163.79,0,,,,,,,
2014,10,31,304,341,0.25,0.85,0,1.19,0.85,1.01,0,0,0,0,9.95,50.79,214.58,107.29,204.63,163.79,0,,,,,,,
