 Daily soil water balance output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,225,0.57,0.8,0,6.01,0.8,4.81,0,0,0,0,0,30.61,128,64,128,97.39,31.95,,2014,10,225,101.46,81.19,59.93
2014,10,2,275,225,0.52,0.8,0,4.13,0.8,3.3,0,0,0,0,3.3,30.61,128,64,124.7,97.39,0,,2014,11,225,43.45,44.51,32.86
2014,10,3,276,225,0.49,0.8,0,4.1,0.8,3.28,0,0,0,0,6.58,30.61,128,64,121.42,97.39,0,,2014,12,225,31.93,34.89,25.76
2014,10,4,277,225,0.46,0.8,0,4.11,0.8,3.29,0,0,0,0,9.87,30.61,128,64,118.13,97.39,0,,2015,1,225,32.71,26.16,19.31
2014,10,5,278,225,0.43,0.8,0,3.99,0.8,3.19,0,0,0,0,13.06,30.61,128,64,114.94,97.39,0,,2015,2,225,56.48,48.72,35.96
2014,10,6,279,225,0.41,0.8,0,4.02,0.8,3.22,0,0,0,0,16.28,30.61,128,64,111.72,97.39,0,,2015,3,225,103.75,87.20,64.37
2014,10,7,280,225,0.39,0.8,0,4.14,0.8,3.31,0,0,0,0,19.59,30.61,128,64,108.41,97.39,0,,2015,4,225,139.25,115.64,85.36
2014,10,8,281,225,0.37,0.8,0,4.75,0.8,3.8,0,0,0,0,23.39,30.61,128,64,104.61,97.39,0,,2015,5,225,156.10,124.89,92.19
2014,10,9,282,225,0.36,0.8,0,4.2,0.8,3.36,0,0,0,0,26.75,30.61,128,64,101.25,97.39,0,,2015,6,225,203.55,162.83,120.20
2014,10,10,283,225,0.35,0.8,0,3.66,0.8,2.93,0,0,0,0,29.68,30.61,128,64,98.32,97.39,0,,2015,7,225,210.84,168.68,124.52
2014,10,11,284,225,0.34,0.8,0,3.47,0.8,2.78,0,0,0,0,0,30.61,128,64,128,97.39,32.46,,2015,8,225,191.50,153.19,113.08
2014,10,12,285,225,0.32,0.8,0,6.52,0.8,5.22,0,0,0,0,5.22,30.61,128,64,122.78,97.39,0,,2015,9,225,147.50,117.99,87.10
2014,10,13,286,225,0.31,0.8,0,4.07,0.8,3.26,0,0,0,0,8.47,30.61,128,64,119.53,97.39,0,,,,,,,
2014,10,14,287,225,0.31,0.8,0,3,0.8,2.4,0,0,0,0,10.87,30.61,128,64,117.13,97.39,0,,,,,,,
2014,10,15,288,225,0.3,0.8,0,2.3,0.8,1.84,0.46,0.46,0,0,12.25,30.61,128,64,115.75,97.39,0,,,,,,,
2014,10,16,289,225,0.3,0.8,0,2.65,0.8,2.12,0.27,0.27,0,0,14.1,30.61,128,64,113.9,97.39,0,,,,,,,
2014,10,17,290,225,0.29,0.8,0,2.47,0.8,1.98,0,0,0,0,16.08,30.61,128,64,111.92,97.39,0,,,,,,,
2014,10,18,291,225,0.29,0.8,0,2.85,0.8,2.28,0,0,0,0,18.36,30.61,128,64,109.64,97.39,0,,,,,,,
2014,10,19,292,225,0.28,0.8,0,2.92,0.8,2.34,0,0,0,0,20.69,30.61,128,64,107.31,97.39,0,,,,,,,
2014,10,20,293,225,0.28,0.8,0,2.24,0.8,1.79,0,0,0,0,22.49,30.61,128,64,105.51,97.39,0,,,,,,,
2014,10,21,294,225,0.28,0.8,0,2.61,0.8,2.09,0,0,0,0,24.57,30.61,128,64,103.43,97.39,0,,,,,,,
2014,10,22,295,225,0.27,0.8,0,2.54,0.8,2.03,0,0,0,0,26.61,30.61,128,64,101.39,97.39,0,,,,,,,
2014,10,23,296,225,0.27,0.8,0,2.44,0.8,1.95,0,0,0,0,28.56,30.61,128,64,99.44,97.39,0,,,,,,,
2014,10,24,297,225,0.27,0.8,0,2.57,0.8,2.06,0,0,0,0,0,30.61,128,64,128,97.39,30.61,,,,,,,
2014,10,25,298,225,0.26,0.8,0,2.26,0.8,1.81,0,0,0,0,1.81,30.61,128,64,126.19,97.39,0,,,,,,,
2014,10,26,299,225,0.26,0.8,0,2.62,0.8,2.1,1.47,1.47,0,0,2.43,30.61,128,64,125.57,97.39,0,,,,,,,
2014,10,27,300,225,0.26,0.8,0,2.46,0.8,1.97,0,0,0,0,4.4,30.61,128,64,123.6,97.39,0,,,,,,,
2014,10,28,301,225,0.26,0.8,0,2.33,0.8,1.86,0,0,0,0,6.27,30.61,128,64,121.73,97.39,0,,,,,,,
2014,10,29,302,225,0.25,0.8,0,2.38,0.8,1.9,0,0,0,0,8.17,30.61,128,64,119.83,97.39,0,,,,,,,
2014,10,30,303,225,0.25,0.8,0,2.46,0.8,1.97,0,0,0,0,10.14,30.61,128,64,117.86,97.39,0,,,,,,,
2014,10,31,304,225,0.25,0.8,0,1.19,0.8,0.95,0,0,0,0,11.09,30.61,128,64,116.91,97.39,0,,,,,,,
2014,11,1,305,225,1.15,0.8,0,1.87,1.15,2.14,5.89,5.89,0,0,7.34,30.61,128,64,120.66,97.39,0,,,,,,,
2014,11,2,306,225,1.14,0.8,0,2.21,1.14,2.52,0,0,0,0,9.86,30.61,128,64,118.14,97.39,0,,,,,,,
2014,11,3,307,225,1.14,0.8,0,1.8,1.14,2.05,0,0,0,0,11.91,30.61,128,64,116.09,97.39,0,,,,,,,
2014,11,4,308,225,1.01,0.8,0,1.74,1.01,1.75,0,0,0,0,13.67,30.61,128,64,114.33,97.39,0,,,,,,,
2014,11,5,309,225,0.91,0.8,0,1.79,0.91,1.62,0,0,0,0,15.29,30.61,128,64,112.71,97.39,0,,,,,,,
2014,11,6,310,225,0.83,0.8,0,1.92,0.83,1.59,0,0,0,0,16.87,30.61,128,64,111.13,97.39,0,,,,,,,
2014,11,7,311,225,0.76,0.8,0,1.96,0.8,1.57,0,0,0,0,18.44,30.61,128,64,109.56,97.39,0,,,,,,,
2014,11,8,312,225,0.71,0.8,0,1.88,0.8,1.5,0,0,0,0,19.95,30.61,128,64,108.05,97.39,0,,,,,,,
2014,11,9,313,225,0.67,0.8,0,1.84,0.8,1.47,0,0,0,0,21.42,30.61,128,64,106.58,97.39,0,,,,,,,
2014,11,10,314,225,0.64,0.8,0,1.97,0.8,1.58,0,0,0,0,22.99,30.61,128,64,105.01,97.39,0,,,,,,,
2014,11,11,315,225,0.61,0.8,0,1.56,0.8,1.25,0,0,0,0,24.24,30.61,128,64,103.76,97.39,0,,,,,,,
2014,11,12,316,225,0.59,0.8,0,1.44,0.8,1.15,0,0,0,0,25.39,30.61,128,64,102.61,97.39,0,,,,,,,
2014,11,13,317,225,1.18,0.8,0,0.99,1.18,1.17,2.97,2.97,0,0,23.59,30.61,128,64,104.41,97.39,0,,,,,,,
2014,11,14,318,225,1.17,0.8,0,1.32,1.17,1.54,1.54,1.54,0,0,23.59,30.61,128,64,104.41,97.39,0,,,,,,,
2014,11,15,319,225,1.17,0.8,0,1.29,1.17,1.51,0,0,0,0,25.1,30.61,128,64,102.9,97.39,0,,,,,,,
2014,11,16,320,225,1.16,0.8,0,2.03,1.16,2.35,0,0,0,0,27.45,30.61,128,64,100.55,97.39,0,,,,,,,
2014,11,17,321,225,1.1,0.8,0,1.86,1.1,2.04,0,0,0,0,29.49,30.61,128,64,98.51,97.39,0,,,,,,,
