 Daily soil water balance output for Walnuts in 186_Solano DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Other Deciduous in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,2,0.57,0.97,0,6.01,0.97,5.84,0,0,0,0,101.12,109.73,438.91,219.46,337.79,329.18,0,,2014,10,2,101.46,91.30,0.60,91.33,0.60
2014,10,2,275,2,0.52,0.97,0,4.13,0.97,3.99,0,0,0,0,105.12,109.73,438.91,219.46,333.8,329.18,0,,2014,11,2,43.45,43.15,0.28,0,0.00
2014,10,3,276,2,0.49,0.96,0,4.1,0.96,3.94,0,0,0,0,109.05,109.73,438.91,219.46,329.86,329.18,0,,2014,12,2,31.93,34.69,0.23,0,0.00
2014,10,4,277,2,0.46,0.95,0,4.11,0.95,3.92,0,0,0,0,0,109.73,438.91,219.46,438.91,329.18,112.98,,2015,1,2,32.71,16.86,0.11,0,0.00
2014,10,5,278,2,0.43,0.95,0,3.99,0.95,3.79,0,0,0,0,3.79,109.73,438.91,219.46,435.12,329.18,0,,2015,2,2,56.48,36.24,0.24,0,0.00
2014,10,6,279,2,0.41,0.94,0,4.02,0.94,3.79,0,0,0,0,7.58,109.73,438.91,219.46,431.33,329.18,0,,2015,3,2,103.75,75.59,0.50,75.58,0.50
2014,10,7,280,2,0.39,0.94,0,4.14,0.94,3.88,0,0,0,0,11.46,109.73,438.91,219.46,427.45,329.18,0,,2015,4,2,139.25,113.20,0.74,113.21,0.74
2014,10,8,281,2,0.37,0.93,0,4.75,0.93,4.43,0,0,0,0,15.89,109.73,438.91,219.46,423.02,329.18,0,,2015,5,2,156.10,144.36,0.95,144.37,0.95
2014,10,9,282,2,0.36,0.93,0,4.2,0.93,3.89,0,0,0,0,19.78,109.73,438.91,219.46,419.13,329.18,0,,2015,6,2,203.55,219.29,1.44,219.29,1.44
2014,10,10,283,2,0.35,0.92,0,3.66,0.92,3.37,0,0,0,0,23.15,109.73,438.91,219.46,415.76,329.18,0,,2015,7,2,210.84,242.43,1.59,242.47,1.59
2014,10,11,284,2,0.34,0.91,0,3.47,0.91,3.17,0,0,0,0,26.32,109.73,438.91,219.46,412.59,329.18,0,,2015,8,2,191.50,220.22,1.45,220.23,1.45
2014,10,12,285,2,0.32,0.91,0,6.52,0.91,5.93,0,0,0,0,32.25,109.73,438.91,219.46,406.66,329.18,0,,2015,9,2,147.50,157.25,1.03,157.26,1.03
2014,10,13,286,2,0.31,0.9,0,4.07,0.9,3.68,0,0,0,0,35.93,109.73,438.91,219.46,402.99,329.18,0,,,,,,,,,
2014,10,14,287,2,0.31,0.9,0,3,0.9,2.69,0,0,0,0,38.62,109.73,438.91,219.46,400.29,329.18,0,,,,,,,,,
2014,10,15,288,2,0.3,0.89,0,2.3,0.89,2.05,0.46,0.46,0,0,40.21,109.73,438.91,219.46,398.7,329.18,0,,,,,,,,,
2014,10,16,289,2,0.3,0.89,0,2.65,0.89,2.35,0.27,0.27,0,0,42.29,109.73,438.91,219.46,396.62,329.18,0,,,,,,,,,
2014,10,17,290,2,0.29,0.88,0,2.47,0.88,2.17,0,0,0,0,44.46,109.73,438.91,219.46,394.45,329.18,0,,,,,,,,,
2014,10,18,291,2,0.29,0.87,0,2.85,0.87,2.49,0,0,0,0,46.95,109.73,438.91,219.46,391.96,329.18,0,,,,,,,,,
2014,10,19,292,2,0.28,0.87,0,2.92,0.87,2.54,0,0,0,0,49.49,109.73,438.91,219.46,389.42,329.18,0,,,,,,,,,
2014,10,20,293,2,0.28,0.86,0,2.24,0.86,1.93,0,0,0,0,51.42,109.73,438.91,219.46,387.49,329.18,0,,,,,,,,,
2014,10,21,294,2,0.28,0.86,0,2.61,0.86,2.24,0,0,0,0,53.66,109.73,438.91,219.46,385.25,329.18,0,,,,,,,,,
2014,10,22,295,2,0.27,0.85,0,2.54,0.85,2.16,0,0,0,0,55.83,109.73,438.91,219.46,383.09,329.18,0,,,,,,,,,
2014,10,23,296,2,0.27,0.85,0,2.44,0.85,2.06,0,0,0,0,57.89,109.73,438.91,219.46,381.02,329.18,0,,,,,,,,,
2014,10,24,297,2,0.27,0.84,0,2.57,0.84,2.16,0,0,0,0,60.05,109.73,438.91,219.46,378.86,329.18,0,,,,,,,,,
2014,10,25,298,2,0.26,0.83,0,2.26,0.83,1.89,0,0,0,0,61.93,109.73,438.91,219.46,376.98,329.18,0,,,,,,,,,
2014,10,26,299,2,0.26,0.83,0,2.62,0.83,2.17,1.47,1.47,0,0,62.64,109.73,438.91,219.46,376.28,329.18,0,,,,,,,,,
2014,10,27,300,2,0.26,0.82,0,2.46,0.82,2.02,0,0,0,0,64.66,109.73,438.91,219.46,374.25,329.18,0,,,,,,,,,
2014,10,28,301,2,0.26,0.82,0,2.33,0.82,1.9,0,0,0,0,66.56,109.73,438.91,219.46,372.35,329.18,0,,,,,,,,,
2014,10,29,302,2,0.25,0.81,0,2.38,0.81,1.93,0,0,0,0,68.5,109.73,438.91,219.46,370.42,329.18,0,,,,,,,,,
2014,10,30,303,2,0.25,0.81,0,2.46,0.81,1.98,0,0,0,0,70.48,109.73,438.91,219.46,368.43,329.18,0,,,,,,,,,
2014,10,31,304,2,0.25,0.8,0,1.19,0.8,0.95,0,0,0,0,71.43,109.73,438.91,219.46,367.48,329.18,0,,,,,,,,,
2014,11,1,305,2,1.15,0,0,1.87,1.15,2.14,5.89,5.89,0,0,21.6,21.6,438.91,219.46,417.31,417.31,0,,,,,,,,,
2014,11,2,306,2,1.14,0,0,2.21,1.14,2.52,0,0,0,0,24.12,21.6,438.91,219.46,414.8,417.31,0,,,,,,,,,
2014,11,3,307,2,1.14,0,0,1.8,1.14,2.05,0,0,0,0,21.6,21.6,438.91,219.46,417.31,417.31,0,,,,,,,,,
2014,11,4,308,2,1.01,0,0,1.74,1.01,1.75,0,0,0,0,23.35,21.6,438.91,219.46,415.56,417.31,0,,,,,,,,,
