 Daily soil water balance output for Alfalfa in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Alfalfa in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,6779,0.56,1,0,6.18,1,6.18,0,0,0,0,10.04,116.64,502.92,251.46,492.88,386.28,0,,2014,10,6779,103.42,103.42,2300.14
2014,10,2,275,6779,0.52,1,0,4.2,1,4.2,0,0,0,0,14.24,116.64,502.92,251.46,488.68,386.28,0,,2014,11,6779,43.39,47.11,1047.76
2014,10,3,276,6779,0.48,1,0,4.14,1,4.14,0,0,0,0,18.38,116.64,502.92,251.46,484.54,386.28,0,,2014,12,6779,32.08,36.27,806.67
2014,10,4,277,6779,0.45,1,0,4.18,1,4.18,0,0,0,0,22.56,116.64,502.92,251.46,480.36,386.28,0,,2015,1,6779,33.25,33.25,739.51
2014,10,5,278,6779,0.43,1,0,4.06,1,4.06,0,0,0,0,26.62,116.64,502.92,251.46,476.3,386.28,0,,2015,2,6779,56.91,58.19,1294.19
2014,10,6,279,6779,0.41,1,0,4.12,1,4.12,0,0,0,0,30.74,116.64,502.92,251.46,472.18,386.28,0,,2015,3,6779,104.95,105.41,2344.40
2014,10,7,280,6779,0.39,1,0,4.25,1,4.25,0,0,0,0,34.99,116.64,502.92,251.46,467.93,386.28,0,,2015,4,6779,140.99,142.08,3159.97
2014,10,8,281,6779,0.37,1,0,4.81,1,4.81,0,0,0,0,39.8,116.64,502.92,251.46,463.12,386.28,0,,2015,5,6779,160.57,160.57,3571.21
2014,10,9,282,6779,0.35,1,0,4.33,1,4.33,0,0,0,0,44.13,116.64,502.92,251.46,458.79,386.28,0,,2015,6,6779,209.56,209.56,4660.78
2014,10,10,283,6779,0.34,1,0,3.77,1,3.77,0,0,0,0,47.9,116.64,502.92,251.46,455.02,386.28,0,,2015,7,6779,216.77,216.77,4821.14
2014,10,11,284,6779,0.33,1,0,3.53,1,3.53,0,0,0,0,51.43,116.64,502.92,251.46,451.49,386.28,0,,2015,8,6779,196.26,196.26,4364.98
2014,10,12,285,6779,0.32,1,0,6.72,1,6.72,0,0,0,0,58.15,116.64,502.92,251.46,444.77,386.28,0,,2015,9,6779,150.85,150.85,3355.03
2014,10,13,286,6779,0.31,1,0,4.16,1,4.16,0,0,0,0,62.31,116.64,502.92,251.46,440.61,386.28,0,,,,,,,
2014,10,14,287,6779,0.3,1,0,3.14,1,3.14,0,0,0,0,65.45,116.64,502.92,251.46,437.47,386.28,0,,,,,,,
2014,10,15,288,6779,0.3,1,0,2.28,1,2.28,1.75,1.75,0,0,65.98,116.64,502.92,251.46,436.94,386.28,0,,,,,,,
