 Daily soil water balance output for Cherries in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Cherries in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,38,0.56,1.05,0,6.18,1.05,6.49,0,0,0,0,75.15,102.87,411.48,205.74,336.33,308.61,0,,2014,10,38,103.42,98.27,12.25,98.26,12.25
2014,10,2,275,38,0.52,1.05,0,4.2,1.05,4.41,0,0,0,0,79.56,102.87,411.48,205.74,331.92,308.61,0,,2014,11,38,43.39,42.98,5.36,0,0.00
2014,10,3,276,38,0.48,1.04,0,4.14,1.04,4.31,0,0,0,0,83.87,102.87,411.48,205.74,327.61,308.61,0,,2014,12,38,32.08,34.90,4.35,0,0.00
2014,10,4,277,38,0.45,1.03,0,4.18,1.03,4.32,0,0,0,0,88.19,102.87,411.48,205.74,323.29,308.61,0,,2015,1,38,33.25,17.16,2.14,0,0.00
2014,10,5,278,38,0.43,1.02,0,4.06,1.02,4.16,0,0,0,0,92.35,102.87,411.48,205.74,319.13,308.61,0,,2015,2,38,56.91,36.39,4.54,0,0.00
2014,10,6,279,38,0.41,1.02,0,4.12,1.02,4.18,0,0,0,0,96.53,102.87,411.48,205.74,314.95,308.61,0,,2015,3,38,104.95,71.45,8.91,71.47,8.91
2014,10,7,280,38,0.39,1.01,0,4.25,1.01,4.28,0,0,0,0,100.81,102.87,411.48,205.74,310.67,308.61,0,,2015,4,38,140.99,117.08,14.60,117.06,14.59
2014,10,8,281,38,0.37,1,0,4.81,1,4.8,0,0,0,0,0,102.87,411.48,205.74,411.48,308.61,105.61,,2015,5,38,160.57,154.10,19.21,154.1,19.21
2014,10,9,282,38,0.35,0.99,0,4.33,0.99,4.29,0,0,0,0,4.29,102.87,411.48,205.74,407.19,308.61,0,,2015,6,38,209.56,220.02,27.43,220.01,27.43
