 Daily soil water balance output for Corn in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Corn in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,746,0.56,0,0,6.18,0.56,3.48,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,2014,10,746,103.42,36.03,88.18,0,0.00
2014,10,2,275,746,0.52,0,0,4.2,0.52,2.17,0,0,0,0,29.17,27,384.05,192.02,354.88,357.05,0,,2014,11,746,43.39,42.98,105.19,0,0.00
2014,10,3,276,746,0.48,0,0,4.14,0.48,1.99,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,2014,12,746,32.08,34.90,85.42,0,0.00
2014,10,4,277,746,0.45,0,0,4.18,0.45,1.89,0,0,0,0,28.89,27,384.05,192.02,355.16,357.05,0,,2015,1,746,33.25,17.16,42.00,0,0.00
2014,10,5,278,746,0.43,0,0,4.06,0.43,1.73,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,2015,2,746,56.91,36.39,89.06,0,0.00
2014,10,6,279,746,0.41,0,0,4.12,0.41,1.67,0,0,0,0,28.67,27,384.05,192.02,355.37,357.05,0,,2015,3,746,104.95,49.39,120.88,0,0.00
2014,10,7,280,746,0.39,0,0,4.25,0.39,1.65,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,2015,4,746,140.99,71.20,174.26,0,0.00
2014,10,8,281,746,0.37,0,0,4.81,0.37,1.77,0,0,0,0,28.77,27,384.05,192.02,355.27,357.05,0,,2015,5,746,160.57,42.09,103.02,42.11,103.06
2014,10,9,282,746,0.35,0,0,4.33,0.35,1.54,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,2015,6,746,209.56,117.94,288.66,117.95,288.68
2014,10,10,283,746,0.34,0,0,3.77,0.34,1.29,0,0,0,0,28.29,27,384.05,192.02,355.75,357.05,0,,2015,7,746,216.77,222.88,545.50,222.88,545.50
2014,10,11,284,746,0.33,0,0,3.53,0.33,1.18,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,2015,8,746,196.26,203.48,498.02,203.47,497.99
2014,10,12,285,746,0.32,0,0,6.72,0.32,2.13,0,0,0,0,29.13,27,384.05,192.02,354.92,357.05,0,,2015,9,746,150.85,117.98,288.76,117.97,288.73
2014,10,13,286,746,0.31,0,0,4.16,0.31,1.28,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,10,14,287,746,0.3,0,0,3.14,0.3,0.95,0,0,0,0,27.95,27,384.05,192.02,356.1,357.05,0,,,,,,,,,
2014,10,15,288,746,0.3,0,0,2.28,0.3,0.68,1.75,1.75,0,0,26.2,27,384.05,192.02,357.85,357.05,0,,,,,,,,,
2014,10,16,289,746,0.29,0,0,2.67,0.29,0.78,0.08,0.08,0,0,26.9,27,384.05,192.02,357.15,357.05,0,,,,,,,,,
2014,10,17,290,746,0.29,0,0,2.51,0.29,0.73,0,0,0,0,27.63,27,384.05,192.02,356.42,357.05,0,,,,,,,,,
2014,10,18,291,746,0.29,0,0,2.9,0.29,0.83,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,10,19,292,746,0.28,0,0,3.02,0.28,0.85,0,0,0,0,27.85,27,384.05,192.02,356.2,357.05,0,,,,,,,,,
2014,10,20,293,746,0.28,0,0,2.28,0.28,0.63,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,10,21,294,746,0.27,0,0,2.62,0.27,0.72,0,0,0,0,27.72,27,384.05,192.02,356.33,357.05,0,,,,,,,,,
2014,10,22,295,746,0.27,0,0,2.57,0.27,0.7,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,10,23,296,746,0.27,0,0,2.45,0.27,0.66,0,0,0,0,27.66,27,384.05,192.02,356.39,357.05,0,,,,,,,,,
2014,10,24,297,746,0.26,0,0,2.62,0.26,0.69,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,10,25,298,746,0.26,0,0,2.31,0.26,0.6,0,0,0,0,27.6,27,384.05,192.02,356.44,357.05,0,,,,,,,,,
2014,10,26,299,746,0.26,0,0,2.62,0.26,0.68,2.42,2.42,0,0,25.18,27,384.05,192.02,358.86,357.05,0,,,,,,,,,
2014,10,27,300,746,0.26,0,0,2.46,0.26,0.63,0,0,0,0,25.81,27,384.05,192.02,358.23,357.05,0,,,,,,,,,
2014,10,28,301,746,0.25,0,0,2.35,0.25,0.6,0,0,0,0,26.41,27,384.05,192.02,357.64,357.05,0,,,,,,,,,
2014,10,29,302,746,0.25,0,0,2.4,0.25,0.6,0,0,0,0,27.01,27,384.05,192.02,357.04,357.05,0,,,,,,,,,
2014,10,30,303,746,0.25,0,0,2.55,0.25,0.63,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,10,31,304,746,0.25,0,0,1.22,0.25,0.3,0,0,0,0,27.3,27,384.05,192.02,356.75,357.05,0,,,,,,,,,
2014,11,1,305,746,1.15,0,0,1.85,1.15,2.12,9.51,9.51,0,0,17.79,27,384.05,192.02,366.26,357.05,0,,,,,,,,,
2014,11,2,306,746,1.14,0,0,2.22,1.14,2.53,0,0,0,0,20.32,27,384.05,192.02,363.73,357.05,0,,,,,,,,,
2014,11,3,307,746,1.14,0,0,1.82,1.14,2.08,0,0,0,0,22.4,27,384.05,192.02,361.65,357.05,0,,,,,,,,,
2014,11,4,308,746,1.01,0,0,1.76,1.01,1.77,0,0,0,0,24.17,27,384.05,192.02,359.88,357.05,0,,,,,,,,,
2014,11,5,309,746,0.91,0,0,1.77,0.91,1.6,0,0,0,0,25.77,27,384.05,192.02,358.28,357.05,0,,,,,,,,,
2014,11,6,310,746,0.82,0,0,1.95,0.82,1.61,0,0,0,0,27.38,27,384.05,192.02,356.67,357.05,0,,,,,,,,,
2014,11,7,311,746,0.76,0,0,2.02,0.76,1.53,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,11,8,312,746,0.71,0,0,1.91,0.71,1.36,0,0,0,0,28.36,27,384.05,192.02,355.69,357.05,0,,,,,,,,,
2014,11,9,313,746,0.67,0,0,1.87,0.67,1.25,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,11,10,314,746,0.63,0,0,2.04,0.63,1.29,0,0,0,0,28.29,27,384.05,192.02,355.75,357.05,0,,,,,,,,,
2014,11,11,315,746,0.61,0,0,1.51,0.61,0.92,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,11,12,316,746,0.59,0,0,1.4,0.59,0.83,0,0,0,0,27.83,27,384.05,192.02,356.22,357.05,0,,,,,,,,,
2014,11,13,317,746,1.18,0,0,0.94,1.18,1.11,3.18,3.18,0,0,24.65,27,384.05,192.02,359.4,357.05,0,,,,,,,,,
2014,11,14,318,746,1.17,0,0,1.24,1.17,1.45,2.3,2.3,0,0,23.8,27,384.05,192.02,360.25,357.05,0,,,,,,,,,
2014,11,15,319,746,1.17,0,0,1.23,1.17,1.44,0,0,0,0,25.24,27,384.05,192.02,358.81,357.05,0,,,,,,,,,
2014,11,16,320,746,1.16,0,0,2.03,1.16,2.35,0,0,0,0,27.59,27,384.05,192.02,356.45,357.05,0,,,,,,,,,
2014,11,17,321,746,1.11,0,0,1.87,1.11,2.07,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,11,18,322,746,1,0,0,1.42,1,1.42,0,0,0,0,28.42,27,384.05,192.02,355.62,357.05,0,,,,,,,,,
2014,11,19,323,746,0.95,0,0,1,0.95,0.95,0,0,0,0,27,27,384.05,192.02,357.05,357.05,0,,,,,,,,,
2014,11,20,324,746,1.19,0,0,0.63,1.19,0.75,3.48,3.48,0,0,24.27,27,384.05,192.02,359.78,357.05,0,,,,,,,,,
2014,11,21,325,746,1.19,0,0,0.77,1.19,0.92,4.74,4.74,0,0,20.45,27,384.05,192.02,363.6,357.05,0,,,,,,,,,
2014,11,22,326,746,1.18,0,0,1.08,1.18,1.28,0.6,0.6,0,0,21.13,27,384.05,192.02,362.92,357.05,0,,,,,,,,,
2014,11,23,327,746,1.16,0,0,1.44,1.16,1.67,1.87,1.87,0,0,20.93,27,384.05,192.02,363.12,357.05,0,,,,,,,,,
2014,11,24,328,746,1.16,0,0,1.37,1.16,1.59,0,0,0,0,22.52,27,384.05,192.02,361.52,357.05,0,,,,,,,,,
2014,11,25,329,746,1.17,0,0,1.22,1.17,1.42,0,0,0,0,23.95,27,384.05,192.02,360.1,357.05,0,,,,,,,,,
2014,11,26,330,746,1.17,0,0,1.16,1.17,1.35,0,0,0,0,25.3,27,384.05,192.02,358.75,357.05,0,,,,,,,,,
2014,11,27,331,746,1.11,0,0,1.2,1.11,1.33,0,0,0,0,26.64,27,384.05,192.02,357.41,357.05,0,,,,,,,,,
2014,11,28,332,746,1.02,0,0,1.15,1.02,1.18,0,0,0,0,27.81,27,384.05,192.02,356.23,357.05,0,,,,,,,,,
2014,11,29,333,746,1.19,0,0,0.86,1.19,1.02,4.67,4.67,0,0,23.14,27,384.05,192.02,360.9,357.05,0,,,,,,,,,
2014,11,30,334,746,1.19,0,0,0.66,1.19,0.79,6.84,6.84,0,0,17.09,27,384.05,192.02,366.96,357.05,0,,,,,,,,,
2014,12,1,335,746,1.18,0,0,1.03,1.18,1.21,3.4,3.4,0,0,14.91,27,384.05,192.02,369.14,357.05,0,,,,,,,,,
2014,12,2,336,746,1.19,0,0,0.67,1.19,0.8,1.57,1.57,0,0,14.14,27,384.05,192.02,369.91,357.05,0,,,,,,,,,
2014,12,3,337,746,1.18,0,0,1.07,1.18,1.26,42.83,15.4,0,0,0,27,384.05,192.02,384.05,357.05,0,,,,,,,,,
2014,12,4,338,746,1.18,0,0,1.07,1.18,1.26,23.53,1.26,0,0,0,27,384.05,192.02,384.05,357.05,0,,,,,,,,,
2014,12,5,339,746,1.18,0,0,0.94,1.18,1.11,0.2,0.2,0,0,0.91,27,384.05,192.02,383.14,357.05,0,,,,,,,,,
2014,12,6,340,746,1.18,0,0,1.08,1.18,1.27,3.02,2.18,0,0,0,27,384.05,192.02,384.05,357.05,0,,,,,,,,,
2014,12,7,341,746,1.18,0,0,0.8,1.18,0.95,0.51,0.51,0,0,0.44,27,384.05,192.02,383.61,357.05,0,,,,,,,,,
2014,12,8,342,746,1.18,0,0,0.83,1.18,0.98,0,0,0,0,1.42,27,384.05,192.02,382.63,357.05,0,,,,,,,,,
2014,12,9,343,746,1.19,0,0,0.69,1.19,0.82,0,0,0,0,2.24,27,384.05,192.02,381.81,357.05,0,,,,,,,,,
2014,12,10,344,746,1.19,0,0,0.97,1.19,1.15,0,0,0,0,3.39,27,384.05,192.02,380.66,357.05,0,,,,,,,,,
2014,12,11,345,746,1.18,0,0,1.19,1.18,1.41,0.75,0.75,0,0,4.04,27,384.05,192.02,380,357.05,0,,,,,,,,,
2014,12,12,346,746,1.2,0,0,0.6,1.2,0.72,73.65,4.76,0,0,0,27,384.05,192.02,384.05,357.05,0,,,,,,,,,
2014,12,13,347,746,1.19,0,0,0.67,1.19,0.8,1.55,0.8,0,0,0,27,384.05,192.02,384.05,357.05,0,,,,,,,,,
2014,12,14,348,746,1.19,0,0,0.69,1.19,0.82,0,0,0,0,0.82,27,384.05,192.02,383.22,357.05,0,,,,,,,,,
2014,12,15,349,746,1.19,0,0,0.87,1.19,1.03,5.34,1.85,0,0,0,27,384.05,192.02,384.05,357.05,0,,,,,,,,,
2014,12,16,350,746,1.17,0,0,1.18,1.17,1.38,10.1,1.38,0,0,0,27,384.05,192.02,384.05,357.05,0,,,,,,,,,
2014,12,17,351,746,1.18,0,0,0.96,1.18,1.13,14.67,1.13,0,0,0,27,384.05,192.02,384.05,357.05,0,,,,,,,,,
2014,12,18,352,746,1.18,0,0,0.91,1.18,1.08,2.9,1.08,0,0,0,27,384.05,192.02,384.05,357.05,0,,,,,,,,,
2014,12,19,353,746,1.19,0,0,0.81,1.19,0.96,0.09,0.09,0,0,0.87,27,384.05,192.02,383.18,357.05,0,,,,,,,,,
2014,12,20,354,746,1.19,0,0,0.63,1.19,0.75,18.41,1.62,0,0,0,27,384.05,192.02,384.05,357.05,0,,,,,,,,,
2014,12,21,355,746,1.19,0,0,0.96,1.19,1.14,0.07,0.07,0,0,1.07,27,384.05,192.02,382.98,357.05,0,,,,,,,,,
2014,12,22,356,746,1.19,0,0,0.78,1.19,0.93,0,0,0,0,2,27,384.05,192.02,382.05,357.05,0,,,,,,,,,
2014,12,23,357,746,1.19,0,0,0.72,1.19,0.86,0,0,0,0,2.85,27,384.05,192.02,381.19,357.05,0,,,,,,,,,
2014,12,24,358,746,1.19,0,0,0.97,1.19,1.15,0,0,0,0,4.01,27,384.05,192.02,380.04,357.05,0,,,,,,,,,
2014,12,25,359,746,1.16,0,0,1.86,1.16,2.16,0.69,0.69,0,0,5.48,27,384.05,192.02,378.57,357.05,0,,,,,,,,,
2014,12,26,360,746,1.01,0,0,1.91,1.01,1.92,0,0,0,0,7.4,27,384.05,192.02,376.65,357.05,0,,,,,,,,,
2014,12,27,361,746,0.96,0,0,0.77,0.96,0.74,0,0,0,0,8.14,27,384.05,192.02,375.91,357.05,0,,,,,,,,,
2014,12,28,362,746,0.92,0,0,0.76,0.92,0.7,0,0,0,0,8.84,27,384.05,192.02,375.21,357.05,0,,,,,,,,,
2014,12,29,363,746,0.9,0,0,0.55,0.9,0.49,0,0,0,0,9.33,27,384.05,192.02,374.71,357.05,0,,,,,,,,,
2014,12,30,364,746,0.8,0,0,2.47,0.8,1.98,0,0,0,0,11.31,27,384.05,192.02,372.74,357.05,0,,,,,,,,,
2014,12,31,365,746,0.72,0,0,2.67,0.72,1.94,0,0,0,0,13.25,27,384.05,192.02,370.8,357.05,0,,,,,,,,,
2015,1,1,1,746,0.71,0,0,0.85,0.71,0.6,0,0,0,0,13.85,27,384.05,192.02,370.2,357.05,0,,,,,,,,,
2015,1,2,2,746,0.69,0,0,0.87,0.69,0.6,0,0,0,0,14.45,27,384.05,192.02,369.6,357.05,0,,,,,,,,,
2015,1,3,3,746,0.67,0,0,0.86,0.67,0.58,0,0,0,0,15.02,27,384.05,192.02,369.03,357.05,0,,,,,,,,,
2015,1,4,4,746,0.65,0,0,0.96,0.65,0.63,0,0,0,0,15.65,27,384.05,192.02,368.4,357.05,0,,,,,,,,,
2015,1,5,5,746,0.64,0,0,0.86,0.64,0.55,0,0,0,0,16.2,27,384.05,192.02,367.85,357.05,0,,,,,,,,,
2015,1,6,6,746,0.62,0,0,1.17,0.62,0.73,0,0,0,0,16.93,27,384.05,192.02,367.12,357.05,0,,,,,,,,,
2015,1,7,7,746,0.6,0,0,1.19,0.6,0.72,0,0,0,0,17.64,27,384.05,192.02,366.4,357.05,0,,,,,,,,,
2015,1,8,8,746,0.59,0,0,1.04,0.59,0.61,0,0,0,0,18.26,27,384.05,192.02,365.79,357.05,0,,,,,,,,,
2015,1,9,9,746,0.58,0,0,0.87,0.58,0.5,0,0,0,0,18.76,27,384.05,192.02,365.29,357.05,0,,,,,,,,,
2015,1,10,10,746,0.57,0,0,0.96,0.57,0.54,0,0,0,0,19.3,27,384.05,192.02,364.74,357.05,0,,,,,,,,,
2015,1,11,11,746,0.56,0,0,0.9,0.56,0.5,0,0,0,0,19.81,27,384.05,192.02,364.24,357.05,0,,,,,,,,,
2015,1,12,12,746,0.55,0,0,1.06,0.55,0.58,0,0,0,0,20.38,27,384.05,192.02,363.66,357.05,0,,,,,,,,,
2015,1,13,13,746,0.53,0,0,1.19,0.53,0.64,0,0,0,0,21.02,27,384.05,192.02,363.03,357.05,0,,,,,,,,,
