 Daily soil water balance output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,999,0.56,0,0,6.18,0.56,3.48,0,0,0,0,22.5,22.5,320.04,160.02,297.54,297.54,0,,2014,10,999,103.42,36.03,118.09,0,0.00
2014,10,2,275,999,0.52,0,0,4.2,0.52,2.17,0,0,0,0,24.67,22.5,320.04,160.02,295.37,297.54,0,,2014,11,999,43.39,42.98,140.87,0,0.00
2014,10,3,276,999,0.48,0,0,4.14,0.48,1.99,0,0,0,0,22.5,22.5,320.04,160.02,297.54,297.54,0,,2014,12,999,32.08,34.90,114.39,0,0.00
2014,10,4,277,999,0.45,0,0,4.18,0.45,1.89,0,0,0,0,24.39,22.5,320.04,160.02,295.65,297.54,0,,2015,1,999,33.25,17.16,56.24,0,0.00
2014,10,5,278,999,0.43,0,0,4.06,0.43,1.73,0,0,0,0,22.5,22.5,320.04,160.02,297.54,297.54,0,,2015,2,999,56.91,36.39,119.27,0,0.00
2014,10,6,279,999,0.41,0,0,4.12,0.41,1.67,0,0,0,0,24.17,22.5,320.04,160.02,295.87,297.54,0,,2015,3,999,104.95,49.39,161.88,0,0.00
2014,10,7,280,999,0.39,0,0,4.25,0.39,1.65,0,0,0,0,22.5,22.5,320.04,160.02,297.54,297.54,0,,2015,4,999,140.99,71.20,233.36,0,0.00
2014,10,8,281,999,0.37,0,0,4.81,0.37,1.77,0,0,0,0,24.27,22.5,320.04,160.02,295.77,297.54,0,,2015,5,999,160.57,41.92,137.40,0,0.00
2014,10,9,282,999,0.35,0,0,4.33,0.35,1.54,0,0,0,0,22.5,22.5,320.04,160.02,297.54,297.54,0,,2015,6,999,209.56,105.93,347.19,105.86,346.96
2014,10,10,283,999,0.34,0,0,3.77,0.34,1.29,0,0,0,0,23.79,22.5,320.04,160.02,296.25,297.54,0,,2015,7,999,216.77,170.59,559.12,170.6,559.15
