 Daily soil water balance output for Olives in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Olives in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,63,0.56,0.7,0,6.18,0.7,4.33,0,0,0,0,28.13,118.45,548.64,274.32,520.51,430.19,0,,2014,10,63,103.42,72.41,14.97
2014,10,2,275,63,0.52,0.7,0,4.2,0.7,2.94,0,0,0,0,31.07,118.45,548.64,274.32,517.57,430.19,0,,2014,11,63,43.39,43.47,8.98
2014,10,3,276,63,0.48,0.7,0,4.14,0.7,2.9,0,0,0,0,33.97,118.45,548.64,274.32,514.67,430.19,0,,2014,12,63,32.08,34.90,7.21
2014,10,4,277,63,0.45,0.7,0,4.18,0.7,2.93,0,0,0,0,36.89,118.45,548.64,274.32,511.75,430.19,0,,2015,1,63,33.25,23.28,4.81
2014,10,5,278,63,0.43,0.7,0,4.06,0.7,2.84,0,0,0,0,39.73,118.45,548.64,274.32,508.91,430.19,0,,2015,2,63,56.91,44.95,9.29
2014,10,6,279,63,0.41,0.7,0,4.12,0.7,2.88,0,0,0,0,42.62,118.45,548.64,274.32,506.02,430.19,0,,2015,3,63,104.95,76.55,15.82
2014,10,7,280,63,0.39,0.7,0,4.25,0.7,2.98,0,0,0,0,45.59,118.45,548.64,274.32,503.05,430.19,0,,2015,4,63,140.99,105.08,21.72
2014,10,8,281,63,0.37,0.7,0,4.81,0.7,3.37,0,0,0,0,48.96,118.45,548.64,274.32,499.68,430.19,0,,2015,5,63,160.57,112.44,23.24
2014,10,9,282,63,0.35,0.7,0,4.33,0.7,3.03,0,0,0,0,51.99,137.16,548.64,274.32,496.65,411.48,0,,2015,6,63,209.56,146.70,30.32
2014,10,10,283,63,0.34,0.7,0,3.77,0.7,2.64,0,0,0,0,54.63,137.16,548.64,274.32,494.01,411.48,0,,2015,7,63,216.77,151.74,31.36
2014,10,11,284,63,0.33,0.7,0,3.53,0.7,2.47,0,0,0,0,57.1,137.16,548.64,274.32,491.54,411.48,0,,2015,8,63,196.26,137.40,28.40
2014,10,12,285,63,0.32,0.7,0,6.72,0.7,4.7,0,0,0,0,61.8,137.16,548.64,274.32,486.84,411.48,0,,2015,9,63,150.85,105.59,21.82
2014,10,13,286,63,0.31,0.7,0,4.16,0.7,2.91,0,0,0,0,64.72,137.16,548.64,274.32,483.92,411.48,0,,,,,,,
2014,10,14,287,63,0.3,0.7,0,3.14,0.7,2.2,0,0,0,0,66.91,137.16,548.64,274.32,481.73,411.48,0,,,,,,,
2014,10,15,288,63,0.3,0.7,0,2.28,0.7,1.6,1.75,1.75,0,0,66.76,137.16,548.64,274.32,481.88,411.48,0,,,,,,,
2014,10,16,289,63,0.29,0.7,0,2.67,0.7,1.87,0.08,0.08,0,0,68.55,137.16,548.64,274.32,480.09,411.48,0,,,,,,,
2014,10,17,290,63,0.29,0.7,0,2.51,0.7,1.76,0,0,0,0,70.31,137.16,548.64,274.32,478.33,411.48,0,,,,,,,
2014,10,18,291,63,0.29,0.7,0,2.9,0.7,2.03,0,0,0,0,72.34,137.16,548.64,274.32,476.3,411.48,0,,,,,,,
2014,10,19,292,63,0.28,0.7,0,3.02,0.7,2.11,0,0,0,0,74.45,137.16,548.64,274.32,474.19,411.48,0,,,,,,,
2014,10,20,293,63,0.28,0.7,0,2.28,0.7,1.6,0,0,0,0,76.05,137.16,548.64,274.32,472.59,411.48,0,,,,,,,
2014,10,21,294,63,0.27,0.7,0,2.62,0.7,1.83,0,0,0,0,77.88,137.16,548.64,274.32,470.76,411.48,0,,,,,,,
2014,10,22,295,63,0.27,0.7,0,2.57,0.7,1.8,0,0,0,0,79.68,137.16,548.64,274.32,468.96,411.48,0,,,,,,,
2014,10,23,296,63,0.27,0.7,0,2.45,0.7,1.72,0,0,0,0,81.39,137.16,548.64,274.32,467.25,411.48,0,,,,,,,
2014,10,24,297,63,0.26,0.7,0,2.62,0.7,1.83,0,0,0,0,83.23,137.16,548.64,274.32,465.41,411.48,0,,,,,,,
2014,10,25,298,63,0.26,0.7,0,2.31,0.7,1.62,0,0,0,0,84.85,137.16,548.64,274.32,463.79,411.48,0,,,,,,,
2014,10,26,299,63,0.26,0.7,0,2.62,0.7,1.83,2.42,2.42,0,0,84.26,137.16,548.64,274.32,464.38,411.48,0,,,,,,,
2014,10,27,300,63,0.26,0.7,0,2.46,0.7,1.72,0,0,0,0,85.98,137.16,548.64,274.32,462.66,411.48,0,,,,,,,
2014,10,28,301,63,0.25,0.7,0,2.35,0.7,1.65,0,0,0,0,87.63,137.16,548.64,274.32,461.01,411.48,0,,,,,,,
2014,10,29,302,63,0.25,0.7,0,2.4,0.7,1.68,0,0,0,0,89.31,137.16,548.64,274.32,459.33,411.48,0,,,,,,,
2014,10,30,303,63,0.25,0.7,0,2.55,0.7,1.79,0,0,0,0,91.09,137.16,548.64,274.32,457.55,411.48,0,,,,,,,
