 Daily soil water balance output for Other Deciduous in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Other Deciduous in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,271,0.56,0.96,0,6.18,0.96,5.95,0,0,0,0,78.65,105.25,421.01,210.51,342.37,315.76,0,,2014,10,271,103.42,92.52,82.26,92.51,82.25
2014,10,2,275,271,0.52,0.96,0,4.2,0.96,4.02,0,0,0,0,82.66,105.25,421.01,210.51,338.35,315.76,0,,2014,11,271,43.39,42.98,38.21,0,0.00
2014,10,3,276,271,0.48,0.95,0,4.14,0.95,3.94,0,0,0,0,86.6,105.25,421.01,210.51,334.41,315.76,0,,2014,12,271,32.08,34.90,31.03,0,0.00
2014,10,4,277,271,0.45,0.95,0,4.18,0.95,3.95,0,0,0,0,90.56,105.25,421.01,210.51,330.46,315.76,0,,2015,1,271,33.25,17.16,15.26,0,0.00
2014,10,5,278,271,0.43,0.94,0,4.06,0.94,3.82,0,0,0,0,94.38,105.25,421.01,210.51,326.64,315.76,0,,2015,2,271,56.91,36.39,32.35,0,0.00
2014,10,6,279,271,0.41,0.94,0,4.12,0.94,3.85,0,0,0,0,98.23,105.25,421.01,210.51,322.78,315.76,0,,2015,3,271,104.95,70.47,62.66,70.51,62.69
2014,10,7,280,271,0.39,0.93,0,4.25,0.93,3.95,0,0,0,0,102.18,105.25,421.01,210.51,318.83,315.76,0,,2015,4,271,140.99,113.59,100.99,113.61,101.01
2014,10,8,281,271,0.37,0.92,0,4.81,0.92,4.45,0,0,0,0,0,105.25,421.01,210.51,421.01,315.76,106.63,,2015,5,271,160.57,146.50,130.25,146.49,130.25
2014,10,9,282,271,0.35,0.92,0,4.33,0.92,3.98,0,0,0,0,3.98,105.25,421.01,210.51,417.03,315.76,0,,2015,6,271,209.56,222.06,197.44,222.08,197.45
2014,10,10,283,271,0.34,0.91,0,3.77,0.91,3.44,0,0,0,0,7.42,105.25,421.01,210.51,413.59,315.76,0,,2015,7,271,216.77,244.98,217.81,244.95,217.79
2014,10,11,284,271,0.33,0.91,0,3.53,0.91,3.21,0,0,0,0,10.63,105.25,421.01,210.51,410.38,315.76,0,,2015,8,271,196.26,221.78,197.19,221.77,197.18
2014,10,12,285,271,0.32,0.9,0,6.72,0.9,6.07,0,0,0,0,16.7,105.25,421.01,210.51,404.32,315.76,0,,2015,9,271,150.85,158.50,140.92,158.52,140.94
2014,10,13,286,271,0.31,0.9,0,4.16,0.9,3.73,0,0,0,0,20.43,105.25,421.01,210.51,400.58,315.76,0,,,,,,,,,
2014,10,14,287,271,0.3,0.89,0,3.14,0.89,2.8,0,0,0,0,23.23,105.25,421.01,210.51,397.78,315.76,0,,,,,,,,,
2014,10,15,288,271,0.3,0.89,0,2.28,0.89,2.02,1.75,1.75,0,0,23.5,105.25,421.01,210.51,397.51,315.76,0,,,,,,,,,
2014,10,16,289,271,0.29,0.88,0,2.67,0.88,2.35,0.08,0.08,0,0,25.77,105.25,421.01,210.51,395.24,315.76,0,,,,,,,,,
2014,10,17,290,271,0.29,0.88,0,2.51,0.88,2.2,0,0,0,0,27.97,105.25,421.01,210.51,393.04,315.76,0,,,,,,,,,
2014,10,18,291,271,0.29,0.87,0,2.9,0.87,2.52,0,0,0,0,30.5,105.25,421.01,210.51,390.52,315.76,0,,,,,,,,,
2014,10,19,292,271,0.28,0.86,0,3.02,0.86,2.61,0,0,0,0,33.11,105.25,421.01,210.51,387.91,315.76,0,,,,,,,,,
2014,10,20,293,271,0.28,0.86,0,2.28,0.86,1.96,0,0,0,0,35.07,105.25,421.01,210.51,385.95,315.76,0,,,,,,,,,
2014,10,21,294,271,0.27,0.85,0,2.62,0.85,2.24,0,0,0,0,37.31,105.25,421.01,210.51,383.71,315.76,0,,,,,,,,,
2014,10,22,295,271,0.27,0.85,0,2.57,0.85,2.18,0,0,0,0,39.49,105.25,421.01,210.51,381.53,315.76,0,,,,,,,,,
2014,10,23,296,271,0.27,0.84,0,2.45,0.84,2.07,0,0,0,0,41.55,105.25,421.01,210.51,379.46,315.76,0,,,,,,,,,
2014,10,24,297,271,0.26,0.84,0,2.62,0.84,2.2,0,0,0,0,43.75,105.25,421.01,210.51,377.27,315.76,0,,,,,,,,,
2014,10,25,298,271,0.26,0.83,0,2.31,0.83,1.92,0,0,0,0,45.67,105.25,421.01,210.51,375.34,315.76,0,,,,,,,,,
2014,10,26,299,271,0.26,0.83,0,2.62,0.83,2.17,2.42,2.42,0,0,45.42,105.25,421.01,210.51,375.6,315.76,0,,,,,,,,,
2014,10,27,300,271,0.26,0.82,0,2.46,0.82,2.02,0,0,0,0,47.44,105.25,421.01,210.51,373.57,315.76,0,,,,,,,,,
2014,10,28,301,271,0.25,0.82,0,2.35,0.82,1.92,0,0,0,0,49.36,105.25,421.01,210.51,371.66,315.76,0,,,,,,,,,
2014,10,29,302,271,0.25,0.81,0,2.4,0.81,1.95,0,0,0,0,51.3,105.25,421.01,210.51,369.71,315.76,0,,,,,,,,,
2014,10,30,303,271,0.25,0.81,0,2.55,0.81,2.05,0,0,0,0,53.36,105.25,421.01,210.51,367.66,315.76,0,,,,,,,,,
2014,10,31,304,271,0.25,0.8,0,1.22,0.8,0.98,0,0,0,0,54.33,105.25,421.01,210.51,366.68,315.76,0,,,,,,,,,
2014,11,1,305,271,1.15,0,0,1.85,1.15,2.12,9.51,9.51,0,0,20.25,20.25,421.01,210.51,400.76,400.76,0,,,,,,,,,
2014,11,2,306,271,1.14,0,0,2.22,1.14,2.53,0,0,0,0,22.78,20.25,421.01,210.51,398.24,400.76,0,,,,,,,,,
2014,11,3,307,271,1.14,0,0,1.82,1.14,2.08,0,0,0,0,20.25,20.25,421.01,210.51,400.76,400.76,0,,,,,,,,,
2014,11,4,308,271,1.01,0,0,1.76,1.01,1.77,0,0,0,0,22.02,20.25,421.01,210.51,398.99,400.76,0,,,,,,,,,
2014,11,5,309,271,0.91,0,0,1.77,0.91,1.6,0,0,0,0,20.25,20.25,421.01,210.51,400.76,400.76,0,,,,,,,,,
2014,11,6,310,271,0.82,0,0,1.95,0.82,1.61,0,0,0,0,21.86,20.25,421.01,210.51,399.16,400.76,0,,,,,,,,,
2014,11,7,311,271,0.76,0,0,2.02,0.76,1.53,0,0,0,0,20.25,20.25,421.01,210.51,400.76,400.76,0,,,,,,,,,
2014,11,8,312,271,0.71,0,0,1.91,0.71,1.36,0,0,0,0,21.61,20.25,421.01,210.51,399.41,400.76,0,,,,,,,,,
2014,11,9,313,271,0.67,0,0,1.87,0.67,1.25,0,0,0,0,20.25,20.25,421.01,210.51,400.76,400.76,0,,,,,,,,,
