 Daily soil water balance output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,4088,0.56,0,0,6.18,0.56,3.48,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,2014,10,4088,103.42,36.03,483.24,0,0.00
2014,10,2,275,4088,0.52,0,0,4.2,0.52,2.17,0,0,0,0,24.67,22.5,182.88,91.44,158.21,160.38,0,,2014,11,4088,43.39,42.98,576.45,0,0.00
2014,10,3,276,4088,0.48,0,0,4.14,0.48,1.99,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,2014,12,4088,32.08,34.90,468.08,0,0.00
2014,10,4,277,4088,0.45,0,0,4.18,0.45,1.89,0,0,0,0,24.39,22.5,182.88,91.44,158.49,160.38,0,,2015,1,4088,33.25,17.16,230.15,0,0.00
2014,10,5,278,4088,0.43,0,0,4.06,0.43,1.73,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,2015,2,4088,56.91,36.39,488.07,0,0.00
2014,10,6,279,4088,0.41,0,0,4.12,0.41,1.67,0,0,0,0,24.17,22.5,182.88,91.44,158.71,160.38,0,,2015,3,4088,104.95,49.39,662.42,0,0.00
2014,10,7,280,4088,0.39,0,0,4.25,0.39,1.65,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,2015,4,4088,140.99,71.20,954.94,0,0.00
2014,10,8,281,4088,0.37,0,0,4.81,0.37,1.77,0,0,0,0,24.27,22.5,182.88,91.44,158.61,160.38,0,,2015,5,4088,160.57,175.99,2360.39,175.97,2360.12
2014,10,9,282,4088,0.35,0,0,4.33,0.35,1.54,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,2015,6,4088,209.56,210.20,2819.22,210.19,2819.08
2014,10,10,283,4088,0.34,0,0,3.77,0.34,1.29,0,0,0,0,23.79,22.5,182.88,91.44,159.09,160.38,0,,2015,7,4088,216.77,216.77,2907.34,216.77,2907.34
2014,10,11,284,4088,0.33,0,0,3.53,0.33,1.18,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,2015,8,4088,196.26,192.05,2575.79,192.04,2575.65
2014,10,12,285,4088,0.32,0,0,6.72,0.32,2.13,0,0,0,0,24.63,22.5,182.88,91.44,158.25,160.38,0,,2015,9,4088,150.85,87.95,1179.59,85,1140.03
2014,10,13,286,4088,0.31,0,0,4.16,0.31,1.28,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,10,14,287,4088,0.3,0,0,3.14,0.3,0.95,0,0,0,0,23.45,22.5,182.88,91.44,159.43,160.38,0,,,,,,,,,
2014,10,15,288,4088,0.3,0,0,2.28,0.3,0.68,1.75,1.75,0,0,21.7,22.5,182.88,91.44,161.18,160.38,0,,,,,,,,,
2014,10,16,289,4088,0.29,0,0,2.67,0.29,0.78,0.08,0.08,0,0,22.4,22.5,182.88,91.44,160.48,160.38,0,,,,,,,,,
2014,10,17,290,4088,0.29,0,0,2.51,0.29,0.73,0,0,0,0,23.13,22.5,182.88,91.44,159.75,160.38,0,,,,,,,,,
2014,10,18,291,4088,0.29,0,0,2.9,0.29,0.83,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,10,19,292,4088,0.28,0,0,3.02,0.28,0.85,0,0,0,0,23.35,22.5,182.88,91.44,159.53,160.38,0,,,,,,,,,
2014,10,20,293,4088,0.28,0,0,2.28,0.28,0.63,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,10,21,294,4088,0.27,0,0,2.62,0.27,0.72,0,0,0,0,23.22,22.5,182.88,91.44,159.66,160.38,0,,,,,,,,,
2014,10,22,295,4088,0.27,0,0,2.57,0.27,0.7,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,10,23,296,4088,0.27,0,0,2.45,0.27,0.66,0,0,0,0,23.16,22.5,182.88,91.44,159.72,160.38,0,,,,,,,,,
2014,10,24,297,4088,0.26,0,0,2.62,0.26,0.69,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,10,25,298,4088,0.26,0,0,2.31,0.26,0.6,0,0,0,0,23.1,22.5,182.88,91.44,159.78,160.38,0,,,,,,,,,
2014,10,26,299,4088,0.26,0,0,2.62,0.26,0.68,2.42,2.42,0,0,20.68,22.5,182.88,91.44,162.2,160.38,0,,,,,,,,,
2014,10,27,300,4088,0.26,0,0,2.46,0.26,0.63,0,0,0,0,21.31,22.5,182.88,91.44,161.57,160.38,0,,,,,,,,,
2014,10,28,301,4088,0.25,0,0,2.35,0.25,0.6,0,0,0,0,21.91,22.5,182.88,91.44,160.97,160.38,0,,,,,,,,,
2014,10,29,302,4088,0.25,0,0,2.4,0.25,0.6,0,0,0,0,22.51,22.5,182.88,91.44,160.37,160.38,0,,,,,,,,,
2014,10,30,303,4088,0.25,0,0,2.55,0.25,0.63,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,10,31,304,4088,0.25,0,0,1.22,0.25,0.3,0,0,0,0,22.8,22.5,182.88,91.44,160.08,160.38,0,,,,,,,,,
2014,11,1,305,4088,1.15,0,0,1.85,1.15,2.12,9.51,9.51,0,0,13.29,22.5,182.88,91.44,169.59,160.38,0,,,,,,,,,
2014,11,2,306,4088,1.14,0,0,2.22,1.14,2.53,0,0,0,0,15.82,22.5,182.88,91.44,167.06,160.38,0,,,,,,,,,
2014,11,3,307,4088,1.14,0,0,1.82,1.14,2.08,0,0,0,0,17.9,22.5,182.88,91.44,164.98,160.38,0,,,,,,,,,
2014,11,4,308,4088,1.01,0,0,1.76,1.01,1.77,0,0,0,0,19.67,22.5,182.88,91.44,163.21,160.38,0,,,,,,,,,
2014,11,5,309,4088,0.91,0,0,1.77,0.91,1.6,0,0,0,0,21.27,22.5,182.88,91.44,161.61,160.38,0,,,,,,,,,
2014,11,6,310,4088,0.82,0,0,1.95,0.82,1.61,0,0,0,0,22.88,22.5,182.88,91.44,160,160.38,0,,,,,,,,,
2014,11,7,311,4088,0.76,0,0,2.02,0.76,1.53,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,11,8,312,4088,0.71,0,0,1.91,0.71,1.36,0,0,0,0,23.86,22.5,182.88,91.44,159.02,160.38,0,,,,,,,,,
2014,11,9,313,4088,0.67,0,0,1.87,0.67,1.25,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,11,10,314,4088,0.63,0,0,2.04,0.63,1.29,0,0,0,0,23.79,22.5,182.88,91.44,159.09,160.38,0,,,,,,,,,
2014,11,11,315,4088,0.61,0,0,1.51,0.61,0.92,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,11,12,316,4088,0.59,0,0,1.4,0.59,0.83,0,0,0,0,23.33,22.5,182.88,91.44,159.55,160.38,0,,,,,,,,,
2014,11,13,317,4088,1.18,0,0,0.94,1.18,1.11,3.18,3.18,0,0,20.15,22.5,182.88,91.44,162.73,160.38,0,,,,,,,,,
2014,11,14,318,4088,1.17,0,0,1.24,1.17,1.45,2.3,2.3,0,0,19.3,22.5,182.88,91.44,163.58,160.38,0,,,,,,,,,
2014,11,15,319,4088,1.17,0,0,1.23,1.17,1.44,0,0,0,0,20.74,22.5,182.88,91.44,162.14,160.38,0,,,,,,,,,
2014,11,16,320,4088,1.16,0,0,2.03,1.16,2.35,0,0,0,0,23.09,22.5,182.88,91.44,159.79,160.38,0,,,,,,,,,
2014,11,17,321,4088,1.11,0,0,1.87,1.11,2.07,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,11,18,322,4088,1,0,0,1.42,1,1.42,0,0,0,0,23.92,22.5,182.88,91.44,158.96,160.38,0,,,,,,,,,
2014,11,19,323,4088,0.95,0,0,1,0.95,0.95,0,0,0,0,22.5,22.5,182.88,91.44,160.38,160.38,0,,,,,,,,,
2014,11,20,324,4088,1.19,0,0,0.63,1.19,0.75,3.48,3.48,0,0,19.77,22.5,182.88,91.44,163.11,160.38,0,,,,,,,,,
2014,11,21,325,4088,1.19,0,0,0.77,1.19,0.92,4.74,4.74,0,0,15.95,22.5,182.88,91.44,166.93,160.38,0,,,,,,,,,
2014,11,22,326,4088,1.18,0,0,1.08,1.18,1.28,0.6,0.6,0,0,16.63,22.5,182.88,91.44,166.25,160.38,0,,,,,,,,,
2014,11,23,327,4088,1.16,0,0,1.44,1.16,1.67,1.87,1.87,0,0,16.43,22.5,182.88,91.44,166.45,160.38,0,,,,,,,,,
2014,11,24,328,4088,1.16,0,0,1.37,1.16,1.59,0,0,0,0,18.02,22.5,182.88,91.44,164.86,160.38,0,,,,,,,,,
2014,11,25,329,4088,1.17,0,0,1.22,1.17,1.42,0,0,0,0,19.45,22.5,182.88,91.44,163.43,160.38,0,,,,,,,,,
2014,11,26,330,4088,1.17,0,0,1.16,1.17,1.35,0,0,0,0,20.8,22.5,182.88,91.44,162.08,160.38,0,,,,,,,,,
2014,11,27,331,4088,1.11,0,0,1.2,1.11,1.33,0,0,0,0,22.14,22.5,182.88,91.44,160.74,160.38,0,,,,,,,,,
2014,11,28,332,4088,1.02,0,0,1.15,1.02,1.18,0,0,0,0,23.31,22.5,182.88,91.44,159.57,160.38,0,,,,,,,,,
2014,11,29,333,4088,1.19,0,0,0.86,1.19,1.02,4.67,4.67,0,0,18.64,22.5,182.88,91.44,164.24,160.38,0,,,,,,,,,
2014,11,30,334,4088,1.19,0,0,0.66,1.19,0.79,6.84,6.84,0,0,12.59,22.5,182.88,91.44,170.29,160.38,0,,,,,,,,,
2014,12,1,335,4088,1.18,0,0,1.03,1.18,1.21,3.4,3.4,0,0,10.41,22.5,182.88,91.44,172.47,160.38,0,,,,,,,,,
2014,12,2,336,4088,1.19,0,0,0.67,1.19,0.8,1.57,1.57,0,0,9.64,22.5,182.88,91.44,173.24,160.38,0,,,,,,,,,
2014,12,3,337,4088,1.18,0,0,1.07,1.18,1.26,42.83,10.9,0,0,0,22.5,182.88,91.44,182.88,160.38,0,,,,,,,,,
