 Daily soil water balance output for Sunflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Sunflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,2,0.56,0,0,6.18,0.56,3.48,0,0,0,0,22.5,22.5,274.32,137.16,251.82,251.82,0,,2014,10,2,103.42,36.03,0.24,0,0.00
2014,10,2,275,2,0.52,0,0,4.2,0.52,2.17,0,0,0,0,24.67,22.5,274.32,137.16,249.65,251.82,0,,2014,11,2,43.39,42.98,0.28,0,0.00
2014,10,3,276,2,0.48,0,0,4.14,0.48,1.99,0,0,0,0,22.5,22.5,274.32,137.16,251.82,251.82,0,,2014,12,2,32.08,34.90,0.23,0,0.00
2014,10,4,277,2,0.45,0,0,4.18,0.45,1.89,0,0,0,0,24.39,22.5,274.32,137.16,249.93,251.82,0,,2015,1,2,33.25,17.16,0.11,0,0.00
2014,10,5,278,2,0.43,0,0,4.06,0.43,1.73,0,0,0,0,22.5,22.5,274.32,137.16,251.82,251.82,0,,2015,2,2,56.91,36.39,0.24,0,0.00
2014,10,6,279,2,0.41,0,0,4.12,0.41,1.67,0,0,0,0,24.17,22.5,274.32,137.16,250.15,251.82,0,,2015,3,2,104.95,49.39,0.32,0,0.00
2014,10,7,280,2,0.39,0,0,4.25,0.39,1.65,0,0,0,0,22.5,22.5,274.32,137.16,251.82,251.82,0,,2015,4,2,140.99,71.20,0.47,0,0.00
2014,10,8,281,2,0.37,0,0,4.81,0.37,1.77,0,0,0,0,24.27,22.5,274.32,137.16,250.05,251.82,0,,2015,5,2,160.57,42.09,0.28,19.34,0.13
2014,10,9,282,2,0.35,0,0,4.33,0.35,1.54,0,0,0,0,22.5,22.5,274.32,137.16,251.82,251.82,0,,2015,6,2,209.56,76.01,0.50,76.02,0.50
2014,10,10,283,2,0.34,0,0,3.77,0.34,1.29,0,0,0,0,23.79,22.5,274.32,137.16,250.53,251.82,0,,2015,7,2,216.77,216.09,1.42,216.08,1.42
2014,10,11,284,2,0.33,0,0,3.53,0.33,1.18,0,0,0,0,22.5,22.5,274.32,137.16,251.82,251.82,0,,2015,8,2,196.26,215.90,1.42,215.89,1.42
2014,10,12,285,2,0.32,0,0,6.72,0.32,2.13,0,0,0,0,24.63,22.5,274.32,137.16,249.69,251.82,0,,2015,9,2,150.85,118.19,0.78,118.16,0.78
2014,10,13,286,2,0.31,0,0,4.16,0.31,1.28,0,0,0,0,22.5,22.5,274.32,137.16,251.82,251.82,0,,,,,,,,,
2014,10,14,287,2,0.3,0,0,3.14,0.3,0.95,0,0,0,0,23.45,22.5,274.32,137.16,250.87,251.82,0,,,,,,,,,
2014,10,15,288,2,0.3,0,0,2.28,0.3,0.68,1.75,1.75,0,0,21.7,22.5,274.32,137.16,252.62,251.82,0,,,,,,,,,
2014,10,16,289,2,0.29,0,0,2.67,0.29,0.78,0.08,0.08,0,0,22.4,22.5,274.32,137.16,251.92,251.82,0,,,,,,,,,
2014,10,17,290,2,0.29,0,0,2.51,0.29,0.73,0,0,0,0,23.13,22.5,274.32,137.16,251.19,251.82,0,,,,,,,,,
2014,10,18,291,2,0.29,0,0,2.9,0.29,0.83,0,0,0,0,22.5,22.5,274.32,137.16,251.82,251.82,0,,,,,,,,,
2014,10,19,292,2,0.28,0,0,3.02,0.28,0.85,0,0,0,0,23.35,22.5,274.32,137.16,250.97,251.82,0,,,,,,,,,
