 Daily soil water balance output for Tomato Fresh in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Tomato Fresh in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,3770,0.56,0,0,6.18,0.56,3.48,0,0,0,0,22.5,22.5,274.2,137.1,251.7,251.7,0,,2014,10,3770,103.42,36.03,445.65,0,0.00
2014,10,2,275,3770,0.52,0,0,4.2,0.52,2.17,0,0,0,0,24.67,22.5,274.2,137.1,249.53,251.7,0,,2014,11,3770,43.39,42.98,531.61,0,0.00
2014,10,3,276,3770,0.48,0,0,4.14,0.48,1.99,0,0,0,0,22.5,22.5,274.2,137.1,251.7,251.7,0,,2014,12,3770,32.08,34.90,431.67,0,0.00
2014,10,4,277,3770,0.45,0,0,4.18,0.45,1.89,0,0,0,0,24.39,22.5,274.2,137.1,249.81,251.7,0,,2015,1,3770,33.25,17.16,212.25,0,0.00
2014,10,5,278,3770,0.43,0,0,4.06,0.43,1.73,0,0,0,0,22.5,22.5,274.2,137.1,251.7,251.7,0,,2015,2,3770,56.91,36.39,450.10,0,0.00
2014,10,6,279,3770,0.41,0,0,4.12,0.41,1.67,0,0,0,0,24.17,22.5,274.2,137.1,250.03,251.7,0,,2015,3,3770,104.95,49.39,610.89,0,0.00
2014,10,7,280,3770,0.39,0,0,4.25,0.39,1.65,0,0,0,0,22.5,22.5,274.2,137.1,251.7,251.7,0,,2015,4,3770,140.99,71.20,880.66,71.2,880.66
2014,10,8,281,3770,0.37,0,0,4.81,0.37,1.77,0,0,0,0,24.27,22.5,274.2,137.1,249.93,251.7,0,,2015,5,3770,160.57,71.55,884.99,71.55,884.99
2014,10,9,282,3770,0.35,0,0,4.33,0.35,1.54,0,0,0,0,22.5,22.5,274.2,137.1,251.7,251.7,0,,2015,6,3770,209.56,212.77,2631.70,212.74,2631.33
2014,10,10,283,3770,0.34,0,0,3.77,0.34,1.29,0,0,0,0,23.79,22.5,274.2,137.1,250.41,251.7,0,,2015,7,3770,216.77,238.46,2949.46,238.45,2949.33
2014,10,11,284,3770,0.33,0,0,3.53,0.33,1.18,0,0,0,0,22.5,22.5,274.2,137.1,251.7,251.7,0,,2015,8,3770,196.26,206.16,2549.94,206.13,2549.57
2014,10,12,285,3770,0.32,0,0,6.72,0.32,2.13,0,0,0,0,24.63,22.5,274.2,137.1,249.57,251.7,0,,2015,9,3770,150.85,12.92,159.80,0,0.00
2014,10,13,286,3770,0.31,0,0,4.16,0.31,1.28,0,0,0,0,22.5,22.5,274.2,137.1,251.7,251.7,0,,,,,,,,,
2014,10,14,287,3770,0.3,0,0,3.14,0.3,0.95,0,0,0,0,23.45,22.5,274.2,137.1,250.75,251.7,0,,,,,,,,,
