 Daily soil water balance output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft
2014,10,1,274,7712,0.56,0.8,0,6.18,0.8,4.94,0,0,0,0,20.71,29.45,120,60,99.29,90.55,0,,2014,10,7712,103.42,82.76,2093.98
2014,10,2,275,7712,0.52,0.8,0,4.2,0.8,3.36,0,0,0,0,24.07,29.45,120,60,95.93,90.55,0,,2014,11,7712,43.39,44.41,1123.65
2014,10,3,276,7712,0.48,0.8,0,4.14,0.8,3.31,0,0,0,0,27.39,29.45,120,60,92.61,90.55,0,,2014,12,7712,32.08,35.10,888.09
2014,10,4,277,7712,0.45,0.8,0,4.18,0.8,3.34,0,0,0,0,0,29.45,120,60,120,90.55,30.73,,2015,1,7712,33.25,26.62,673.53
2014,10,5,278,7712,0.43,0.8,0,4.06,0.8,3.25,0,0,0,0,3.25,29.45,120,60,116.75,90.55,0,,2015,2,7712,56.91,49.09,1242.07
2014,10,6,279,7712,0.41,0.8,0,4.12,0.8,3.3,0,0,0,0,6.54,29.45,120,60,113.46,90.55,0,,2015,3,7712,104.95,85.93,2174.19
2014,10,7,280,7712,0.39,0.8,0,4.25,0.8,3.4,0,0,0,0,9.94,29.45,120,60,110.06,90.55,0,,2015,4,7712,140.99,116.96,2959.30
2014,10,8,281,7712,0.37,0.8,0,4.81,0.8,3.85,0,0,0,0,13.79,29.45,120,60,106.21,90.55,0,,2015,5,7712,160.57,128.44,3249.77
2014,10,9,282,7712,0.35,0.8,0,4.33,0.8,3.46,0,0,0,0,17.26,29.45,120,60,102.74,90.55,0,,2015,6,7712,209.56,167.65,4241.85
2014,10,10,283,7712,0.34,0.8,0,3.77,0.8,3.02,0,0,0,0,20.27,29.45,120,60,99.73,90.55,0,,2015,7,7712,216.77,173.43,4388.10
2014,10,11,284,7712,0.33,0.8,0,3.53,0.8,2.82,0,0,0,0,23.1,29.45,120,60,96.9,90.55,0,,2015,8,7712,196.26,157.00,3972.39
2014,10,12,285,7712,0.32,0.8,0,6.72,0.8,5.38,0,0,0,0,28.47,29.45,120,60,91.53,90.55,0,,2015,9,7712,150.85,120.66,3052.92
2014,10,13,286,7712,0.31,0.8,0,4.16,0.8,3.33,0,0,0,0,0,29.45,120,60,120,90.55,31.8,,,,,,,
2014,10,14,287,7712,0.3,0.8,0,3.14,0.8,2.51,0,0,0,0,2.51,29.45,120,60,117.49,90.55,0,,,,,,,
2014,10,15,288,7712,0.3,0.8,0,2.28,0.8,1.82,1.75,1.75,0,0,2.59,29.45,120,60,117.41,90.55,0,,,,,,,
2014,10,16,289,7712,0.29,0.8,0,2.67,0.8,2.14,0.08,0.08,0,0,4.64,29.45,120,60,115.36,90.55,0,,,,,,,
2014,10,17,290,7712,0.29,0.8,0,2.51,0.8,2.01,0,0,0,0,6.65,29.45,120,60,113.35,90.55,0,,,,,,,
2014,10,18,291,7712,0.29,0.8,0,2.9,0.8,2.32,0,0,0,0,8.97,29.45,120,60,111.03,90.55,0,,,,,,,
2014,10,19,292,7712,0.28,0.8,0,3.02,0.8,2.42,0,0,0,0,11.39,29.45,120,60,108.61,90.55,0,,,,,,,
2014,10,20,293,7712,0.28,0.8,0,2.28,0.8,1.82,0,0,0,0,13.21,29.45,120,60,106.79,90.55,0,,,,,,,
2014,10,21,294,7712,0.27,0.8,0,2.62,0.8,2.1,0,0,0,0,15.31,29.45,120,60,104.69,90.55,0,,,,,,,
2014,10,22,295,7712,0.27,0.8,0,2.57,0.8,2.06,0,0,0,0,17.36,29.45,120,60,102.64,90.55,0,,,,,,,
2014,10,23,296,7712,0.27,0.8,0,2.45,0.8,1.96,0,0,0,0,19.32,29.45,120,60,100.68,90.55,0,,,,,,,
2014,10,24,297,7712,0.26,0.8,0,2.62,0.8,2.1,0,0,0,0,21.42,29.45,120,60,98.58,90.55,0,,,,,,,
2014,10,25,298,7712,0.26,0.8,0,2.31,0.8,1.85,0,0,0,0,23.27,29.45,120,60,96.73,90.55,0,,,,,,,
2014,10,26,299,7712,0.26,0.8,0,2.62,0.8,2.1,2.42,2.42,0,0,22.94,29.45,120,60,97.06,90.55,0,,,,,,,
2014,10,27,300,7712,0.26,0.8,0,2.46,0.8,1.97,0,0,0,0,24.91,29.45,120,60,95.09,90.55,0,,,,,,,
2014,10,28,301,7712,0.25,0.8,0,2.35,0.8,1.88,0,0,0,0,26.79,29.45,120,60,93.21,90.55,0,,,,,,,
2014,10,29,302,7712,0.25,0.8,0,2.4,0.8,1.92,0,0,0,0,28.71,29.45,120,60,91.29,90.55,0,,,,,,,
2014,10,30,303,7712,0.25,0.8,0,2.55,0.8,2.04,0,0,0,0,0,29.45,120,60,120,90.55,30.75,,,,,,,
2014,10,31,304,7712,0.25,0.8,0,1.22,0.8,0.98,0,0,0,0,0.98,29.45,120,60,119.02,90.55,0,,,,,,,
2014,11,1,305,7712,1.15,0.8,0,1.85,1.15,2.12,9.51,3.1,0,0,0,29.45,120,60,120,90.55,0,,,,,,,
2014,11,2,306,7712,1.14,0.8,0,2.22,1.14,2.53,0,0,0,0,2.53,29.45,120,60,117.47,90.55,0,,,,,,,
2014,11,3,307,7712,1.14,0.8,0,1.82,1.14,2.08,0,0,0,0,4.61,29.45,120,60,115.39,90.55,0,,,,,,,
2014,11,4,308,7712,1.01,0.8,0,1.76,1.01,1.77,0,0,0,0,6.37,29.45,120,60,113.63,90.55,0,,,,,,,
2014,11,5,309,7712,0.91,0.8,0,1.77,0.91,1.6,0,0,0,0,7.98,29.45,120,60,112.02,90.55,0,,,,,,,
2014,11,6,310,7712,0.82,0.8,0,1.95,0.82,1.61,0,0,0,0,9.59,29.45,120,60,110.41,90.55,0,,,,,,,
2014,11,7,311,7712,0.76,0.8,0,2.02,0.8,1.62,0,0,0,0,11.2,29.45,120,60,108.8,90.55,0,,,,,,,
2014,11,8,312,7712,0.71,0.8,0,1.91,0.8,1.53,0,0,0,0,12.73,29.45,120,60,107.27,90.55,0,,,,,,,
2014,11,9,313,7712,0.67,0.8,0,1.87,0.8,1.5,0,0,0,0,14.23,29.45,120,60,105.77,90.55,0,,,,,,,
2014,11,10,314,7712,0.63,0.8,0,2.04,0.8,1.63,0,0,0,0,15.86,29.45,120,60,104.14,90.55,0,,,,,,,
2014,11,11,315,7712,0.61,0.8,0,1.51,0.8,1.21,0,0,0,0,17.07,29.45,120,60,102.93,90.55,0,,,,,,,
2014,11,12,316,7712,0.59,0.8,0,1.4,0.8,1.12,0,0,0,0,18.19,29.45,120,60,101.81,90.55,0,,,,,,,
2014,11,13,317,7712,1.18,0.8,0,0.94,1.18,1.11,3.18,3.18,0,0,16.12,29.45,120,60,103.88,90.55,0,,,,,,,
2014,11,14,318,7712,1.17,0.8,0,1.24,1.17,1.45,2.3,2.3,0,0,15.27,29.45,120,60,104.73,90.55,0,,,,,,,
2014,11,15,319,7712,1.17,0.8,0,1.23,1.17,1.44,0,0,0,0,16.71,29.45,120,60,103.29,90.55,0,,,,,,,
2014,11,16,320,7712,1.16,0.8,0,2.03,1.16,2.35,0,0,0,0,19.06,29.45,120,60,100.94,90.55,0,,,,,,,
2014,11,17,321,7712,1.11,0.8,0,1.87,1.11,2.07,0,0,0,0,21.14,29.45,120,60,98.86,90.55,0,,,,,,,
2014,11,18,322,7712,1,0.8,0,1.42,1,1.42,0,0,0,0,22.56,29.45,120,60,97.44,90.55,0,,,,,,,
2014,11,19,323,7712,0.95,0.8,0,1,0.95,0.95,0,0,0,0,23.5,29.45,120,60,96.5,90.55,0,,,,,,,
2014,11,20,324,7712,1.19,0.8,0,0.63,1.19,0.75,3.48,3.48,0,0,20.78,29.45,120,60,99.22,90.55,0,,,,,,,
2014,11,21,325,7712,1.19,0.8,0,0.77,1.19,0.92,4.74,4.74,0,0,16.95,29.45,120,60,103.05,90.55,0,,,,,,,
2014,11,22,326,7712,1.18,0.8,0,1.08,1.18,1.28,0.6,0.6,0,0,17.63,29.45,120,60,102.37,90.55,0,,,,,,,
2014,11,23,327,7712,1.16,0.8,0,1.44,1.16,1.67,1.87,1.87,0,0,17.43,29.45,120,60,102.57,90.55,0,,,,,,,
2014,11,24,328,7712,1.16,0.8,0,1.37,1.16,1.59,0,0,0,0,19.03,29.45,120,60,100.97,90.55,0,,,,,,,
2014,11,25,329,7712,1.17,0.8,0,1.22,1.17,1.42,0,0,0,0,20.45,29.45,120,60,99.55,90.55,0,,,,,,,
2014,11,26,330,7712,1.17,0.8,0,1.16,1.17,1.35,0,0,0,0,21.81,29.45,120,60,98.19,90.55,0,,,,,,,
2014,11,27,331,7712,1.11,0.8,0,1.2,1.11,1.33,0,0,0,0,23.14,29.45,120,60,96.86,90.55,0,,,,,,,
2014,11,28,332,7712,1.02,0.8,0,1.15,1.02,1.18,0,0,0,0,24.32,29.45,120,60,95.68,90.55,0,,,,,,,
2014,11,29,333,7712,1.19,0.8,0,0.86,1.19,1.02,4.67,4.67,0,0,20.67,29.45,120,60,99.33,90.55,0,,,,,,,
2014,11,30,334,7712,1.19,0.8,0,0.66,1.19,0.79,6.84,6.84,0,0,14.62,29.45,120,60,105.38,90.55,0,,,,,,,
2014,12,1,335,7712,1.18,0.8,0,1.03,1.18,1.21,3.4,3.4,0,0,12.43,29.45,120,60,107.57,90.55,0,,,,,,,
2014,12,2,336,7712,1.19,0.8,0,0.67,1.19,0.8,1.57,1.57,0,0,11.66,29.45,120,60,108.34,90.55,0,,,,,,,
2014,12,3,337,7712,1.18,0.8,0,1.07,1.18,1.26,42.83,12.92,0,0,0,29.45,120,60,120,90.55,0,,,,,,,
2014,12,4,338,7712,1.18,0.8,0,1.07,1.18,1.26,23.53,1.26,0,0,0,29.45,120,60,120,90.55,0,,,,,,,
2014,12,5,339,7712,1.18,0.8,0,0.94,1.18,1.11,0.2,0.2,0,0,0.91,29.45,120,60,119.09,90.55,0,,,,,,,
