 Daily soil water balance output for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,,,,,,,,,,,,,,,,,Annual and in-season monthly output  for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015,,,,,,,
Year,Mon,Day,DOY, Area,OKc,IKc,CCKc,ETo,Kc,ETc,Pcp,Er,Spg,Espg,SWD,SWDx,FC,PWP,SWC, YT ,NA,,Year,Mon, Area,ETo,ETc,ETc,ETc,ETc
 #  , # , # ,  #,Acres,   ,   ,    , mm,mm, mm, mm,mm, mm, mm , mm, mm ,mm, mm, mm, mm, mm,,#  , # , Acres, mm, mm,acre-ft, mm,acre-ft
2014,10,1,274,11322,0.56,0.71,0,6.18,0.71,4.36,0,0,0,0,114.08,125.73,502.92,251.46,388.84,377.19,0,,2014,10,11322,103.42,62.72,2329.78,62.71,2329.40
2014,10,2,275,11322,0.52,0.7,0,4.2,0.7,2.93,0,0,0,0,117.01,125.73,502.92,251.46,385.91,377.19,0,,2014,11,11322,43.39,42.98,1596.52,22.9,850.64
2014,10,3,276,11322,0.48,0.69,0,4.14,0.69,2.85,0,0,0,0,119.87,125.73,502.92,251.46,383.05,377.19,0,,2014,12,11322,32.08,34.90,1296.38,0,0.00
2014,10,4,277,11322,0.45,0.68,0,4.18,0.68,2.85,0,0,0,0,122.71,125.73,502.92,251.46,380.21,377.19,0,,2015,1,11322,33.25,17.16,637.42,0,0.00
2014,10,5,278,11322,0.43,0.67,0,4.06,0.67,2.74,0,0,0,0,125.45,125.73,502.92,251.46,377.47,377.19,0,,2015,2,11322,56.91,36.39,1351.73,0,0.00
2014,10,6,279,11322,0.41,0.67,0,4.12,0.67,2.74,0,0,0,0,0,125.73,502.92,251.46,502.92,377.19,128.19,,2015,3,11322,104.95,49.39,1834.62,0,0.00
2014,10,7,280,11322,0.39,0.66,0,4.25,0.66,2.8,0,0,0,0,2.8,125.73,502.92,251.46,500.12,377.19,0,,2015,4,11322,140.99,88.44,3285.16,88.44,3285.16
2014,10,8,281,11322,0.37,0.65,0,4.81,0.65,3.13,0,0,0,0,5.92,125.73,502.92,251.46,497,377.19,0,,2015,5,11322,160.57,116.59,4330.81,116.61,4331.56
2014,10,9,282,11322,0.35,0.64,0,4.33,0.64,2.78,0,0,0,0,8.7,125.73,502.92,251.46,494.22,377.19,0,,2015,6,11322,209.56,167.65,6227.47,167.65,6227.47
2014,10,10,283,11322,0.34,0.63,0,3.77,0.63,2.39,0,0,0,0,11.09,125.73,502.92,251.46,491.83,377.19,0,,2015,7,11322,216.77,173.43,6442.17,173.42,6441.80
2014,10,11,284,11322,0.33,0.63,0,3.53,0.63,2.21,0,0,0,0,13.3,125.73,502.92,251.46,489.62,377.19,0,,2015,8,11322,196.26,157.00,5831.87,157.01,5832.24
2014,10,12,285,11322,0.32,0.62,0,6.72,0.62,4.16,0,0,0,0,17.46,125.73,502.92,251.46,485.46,377.19,0,,2015,9,11322,150.85,118.40,4398.05,118.41,4398.42
2014,10,13,286,11322,0.31,0.61,0,4.16,0.61,2.54,0,0,0,0,20,125.73,502.92,251.46,482.92,377.19,0,,,,,,,,,
2014,10,14,287,11322,0.3,0.6,0,3.14,0.6,1.89,0,0,0,0,21.89,125.73,502.92,251.46,481.03,377.19,0,,,,,,,,,
2014,10,15,288,11322,0.3,0.59,0,2.28,0.59,1.36,1.75,1.75,0,0,21.5,125.73,502.92,251.46,481.42,377.19,0,,,,,,,,,
2014,10,16,289,11322,0.29,0.59,0,2.67,0.59,1.57,0.08,0.08,0,0,22.99,125.73,502.92,251.46,479.93,377.19,0,,,,,,,,,
