" Daily soil water balance output for Alfalfa in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for  Alfalfa at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","781.0","0.08","0.9","0.0","5.32","0.9","4.79","0.0","0.0","0.0","0.0","76.03","110.55","498.58","249.29","422.55","388.03","0.0","","2014.0","10.0","781.0","100.62","90.58","232.096391076"
"2014.0","10.0","2.0","275.0","781.0","0.08","0.9","0.0","4.09","0.9","3.68","0.0","0.0","0.0","0.0","79.71","110.55","498.58","249.29","418.87","388.03","0.0","","2014.0","11.0","781.0","44.55","46.36","118.789895013"
"2014.0","10.0","3.0","276.0","781.0","0.08","0.9","0.0","4.19","0.9","3.77","0.0","0.0","0.0","0.0","83.48","110.55","498.58","249.29","415.1","388.03","0.0","","2014.0","12.0","781.0","32.61","36.24","92.8590551181"
"2014.0","10.0","4.0","277.0","781.0","0.08","0.9","0.0","4.16","0.9","3.74","0.0","0.0","0.0","0.0","87.22","110.55","498.58","249.29","411.36","388.03","0.0","","2015.0","1.0","781.0","32.17","28.98","74.256496063"
"2014.0","10.0","5.0","278.0","781.0","0.08","0.9","0.0","4.02","0.9","3.62","0.0","0.0","0.0","0.0","90.84","110.55","498.58","249.29","407.74","388.03","0.0","","2015.0","2.0","781.0","56.25","53.01","135.829429134"
"2014.0","10.0","6.0","279.0","781.0","0.08","0.9","0.0","3.98","0.9","3.58","0.0","0.0","0.0","0.0","94.42","110.55","498.58","249.29","404.16","388.03","0.0","","2015.0","3.0","781.0","102.43","93.87","240.526476378"
"2014.0","10.0","7.0","280.0","781.0","0.08","0.9","0.0","4.04","0.9","3.64","0.0","0.0","0.0","0.0","98.06","110.55","498.58","249.29","400.52","388.03","0.0","","2015.0","4.0","781.0","135.2","123.43","316.269127297"
"2014.0","10.0","8.0","281.0","781.0","0.08","0.9","0.0","4.82","0.9","4.34","0.0","0.0","0.0","0.0","102.4","110.55","498.58","249.29","396.18","388.03","0.0","","2015.0","5.0","781.0","148.97","134.72","345.197900262"
"2014.0","10.0","9.0","282.0","781.0","0.08","0.9","0.0","4.07","0.9","3.66","0.0","0.0","0.0","0.0","106.06","110.55","498.58","249.29","392.52","388.03","0.0","","2015.0","6.0","781.0","193.42","174.11","446.128313648"
"2014.0","10.0","10.0","283.0","781.0","0.08","0.9","0.0","3.48","0.9","3.13","0.0","0.0","0.0","0.0","109.19","110.55","498.58","249.29","389.39","388.03","0.0","","2015.0","7.0","781.0","200.86","180.78","463.219094488"
"2014.0","10.0","11.0","284.0","781.0","0.08","0.9","0.0","3.42","0.9","3.08","0.0","0.0","0.0","0.0","0.0","110.55","498.58","249.29","498.58","388.03","112.27","","2015.0","8.0","781.0","184.58","166.14","425.706496063"
"2014.0","10.0","12.0","285.0","781.0","0.08","0.9","0.0","5.74","0.9","5.17","0.0","0.0","0.0","0.0","5.17","110.55","498.58","249.29","493.41","388.03","0.0","","2015.0","9.0","781.0","143.41","129.08","330.746325459"
"2014.0","10.0","13.0","286.0","781.0","0.08","0.9","0.0","3.97","0.9","3.57","0.0","0.0","0.0","0.0","8.74","110.55","498.58","249.29","489.84","388.03","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","781.0","0.08","0.9","0.0","3.13","0.9","2.82","0.0","0.0","0.0","0.0","11.56","110.55","498.58","249.29","487.02","388.03","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","781.0","0.08","0.9","0.0","2.43","0.9","2.19","0.0","0.0","0.0","0.0","13.74","110.55","498.58","249.29","484.84","388.03","0.0","","","","","","",""
