" Daily soil water balance output for Alfalfa in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Alfalfa in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","44546.0","0.08","0.9","0.0","5.64","0.9","5.08","0.0","0.0","0.0","0.0","97.63","126.97","600.92","300.46","503.28","473.95","0.0","","2014.0","10.0","44546.0","104.06","93.65","13686.7877297"
"2014.0","10.0","2.0","275.0","44546.0","0.08","0.9","0.0","4.13","0.9","3.72","0.0","0.0","0.0","0.0","101.35","126.97","600.92","300.46","499.57","473.95","0.0","","2014.0","11.0","44546.0","44.11","46.18","6749.12821522"
"2014.0","10.0","3.0","276.0","44546.0","0.08","0.9","0.0","4.17","0.9","3.75","0.0","0.0","0.0","0.0","105.1","126.97","600.92","300.46","495.81","473.95","0.0","","2014.0","12.0","44546.0","32.86","36.49","5332.95124672"
"2014.0","10.0","4.0","277.0","44546.0","0.08","0.9","0.0","4.22","0.9","3.8","0.0","0.0","0.0","0.0","108.9","126.97","600.92","300.46","492.02","473.95","0.0","","2015.0","1.0","44546.0","31.82","28.66","4188.61010499"
"2014.0","10.0","5.0","278.0","44546.0","0.08","0.9","0.0","4.07","0.9","3.66","0.0","0.0","0.0","0.0","112.57","126.97","600.92","300.46","488.35","473.95","0.0","","2015.0","2.0","44546.0","55.9","52.69","7700.55360892"
"2014.0","10.0","6.0","279.0","44546.0","0.08","0.9","0.0","4.12","0.9","3.71","0.0","0.0","0.0","0.0","116.27","126.97","600.92","300.46","484.65","473.95","0.0","","2015.0","3.0","44546.0","105.04","95.71","13987.8532152"
"2014.0","10.0","7.0","280.0","44546.0","0.08","0.9","0.0","4.3","0.9","3.87","0.0","0.0","0.0","0.0","120.14","126.97","600.92","300.46","480.78","473.95","0.0","","2015.0","4.0","44546.0","139.8","128.2","18736.2112861"
"2014.0","10.0","8.0","281.0","44546.0","0.08","0.9","0.0","5.11","0.9","4.6","0.0","0.0","0.0","0.0","124.74","126.97","600.92","300.46","476.18","473.95","0.0","","2015.0","5.0","44546.0","156.12","140.56","20542.6041995"
"2014.0","10.0","9.0","282.0","44546.0","0.08","0.9","0.0","4.37","0.9","3.93","0.0","0.0","0.0","0.0","0.0","126.97","600.92","300.46","600.92","473.95","128.68","","2015.0","6.0","44546.0","205.59","185.05","27044.7417979"
"2014.0","10.0","10.0","283.0","44546.0","0.08","0.9","0.0","3.76","0.9","3.38","0.0","0.0","0.0","0.0","3.38","126.97","600.92","300.46","597.53","473.95","0.0","","2015.0","7.0","44546.0","212.75","191.5","27987.398294"
"2014.0","10.0","11.0","284.0","44546.0","0.08","0.9","0.0","3.57","0.9","3.21","0.0","0.0","0.0","0.0","6.6","126.97","600.92","300.46","594.32","473.95","0.0","","2015.0","8.0","44546.0","195.07","175.59","25662.178937"
"2014.0","10.0","12.0","285.0","44546.0","0.08","0.9","0.0","6.1","0.9","5.49","0.0","0.0","0.0","0.0","12.09","126.97","600.92","300.46","588.83","473.95","0.0","","2015.0","9.0","44546.0","149.12","134.22","19616.0240157"
"2014.0","10.0","13.0","286.0","44546.0","0.08","0.9","0.0","4.07","0.9","3.66","0.0","0.0","0.0","0.0","15.75","126.97","600.92","300.46","585.17","473.95","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","44546.0","0.08","0.9","0.0","3.32","0.9","2.99","0.0","0.0","0.0","0.0","18.74","126.97","600.92","300.46","582.18","473.95","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","44546.0","0.08","0.9","0.0","2.48","0.9","2.23","0.0","0.0","0.0","0.0","20.97","126.97","600.92","300.46","579.95","473.95","0.0","","","","","","",""
