" Daily soil water balance output for Alfalfa in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Alfalfa in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","6779.0","0.56","0.9","0.0","6.18","0.9","5.56","0.0","0.0","0.0","0.0","23.31","116.39","502.92","251.46","479.61","386.53","0.0","","2014.0","10.0","6779.0","103.42","93.1","2070.61975066"
"2014.0","10.0","2.0","275.0","6779.0","0.52","0.9","0.0","4.2","0.9","3.78","0.0","0.0","0.0","0.0","27.09","116.39","502.92","251.46","475.83","386.53","0.0","","2014.0","11.0","6779.0","43.39","45.63","1014.84832677"
"2014.0","10.0","3.0","276.0","6779.0","0.48","0.9","0.0","4.14","0.9","3.73","0.0","0.0","0.0","0.0","30.82","116.39","502.92","251.46","472.1","386.53","0.0","","2014.0","12.0","6779.0","32.08","35.61","791.995374016"
"2014.0","10.0","4.0","277.0","6779.0","0.45","0.9","0.0","4.18","0.9","3.76","0.0","0.0","0.0","0.0","34.58","116.39","502.92","251.46","468.34","386.53","0.0","","2015.0","1.0","6779.0","33.25","29.91","665.22273622"
"2014.0","10.0","5.0","278.0","6779.0","0.43","0.9","0.0","4.06","0.9","3.65","0.0","0.0","0.0","0.0","38.23","116.39","502.92","251.46","464.69","386.53","0.0","","2015.0","2.0","6779.0","56.91","53.53","1190.55075459"
"2014.0","10.0","6.0","279.0","6779.0","0.41","0.9","0.0","4.12","0.9","3.71","0.0","0.0","0.0","0.0","41.94","116.39","502.92","251.46","460.98","386.53","0.0","","2015.0","3.0","6779.0","104.95","95.57","2125.55456037"
"2014.0","10.0","7.0","280.0","6779.0","0.39","0.9","0.0","4.25","0.9","3.83","0.0","0.0","0.0","0.0","45.77","116.39","502.92","251.46","457.15","386.53","0.0","","2015.0","4.0","6779.0","140.99","129.31","2875.95961286"
"2014.0","10.0","8.0","281.0","6779.0","0.37","0.9","0.0","4.81","0.9","4.33","0.0","0.0","0.0","0.0","50.09","116.39","502.92","251.46","452.83","386.53","0.0","","2015.0","5.0","6779.0","160.57","144.53","3214.46479659"
"2014.0","10.0","9.0","282.0","6779.0","0.35","0.9","0.0","4.33","0.9","3.9","0.0","0.0","0.0","0.0","53.99","116.39","502.92","251.46","448.93","386.53","0.0","","2015.0","6.0","6779.0","209.56","188.61","4194.8398622"
"2014.0","10.0","10.0","283.0","6779.0","0.34","0.9","0.0","3.77","0.9","3.39","0.0","0.0","0.0","0.0","57.38","116.39","502.92","251.46","445.54","386.53","0.0","","2015.0","7.0","6779.0","216.77","195.13","4339.84996719"
"2014.0","10.0","11.0","284.0","6779.0","0.33","0.9","0.0","3.53","0.9","3.18","0.0","0.0","0.0","0.0","60.56","116.39","502.92","251.46","442.36","386.53","0.0","","2015.0","8.0","6779.0","196.26","176.65","3928.83973097"
"2014.0","10.0","12.0","285.0","6779.0","0.32","0.9","0.0","6.72","0.9","6.05","0.0","0.0","0.0","0.0","66.61","116.39","502.92","251.46","436.31","386.53","0.0","","2015.0","9.0","6779.0","150.85","135.79","3020.0800853"
"2014.0","10.0","13.0","286.0","6779.0","0.31","0.9","0.0","4.16","0.9","3.74","0.0","0.0","0.0","0.0","70.35","116.39","502.92","251.46","432.57","386.53","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","6779.0","0.3","0.9","0.0","3.14","0.9","2.83","0.0","0.0","0.0","0.0","73.18","116.39","502.92","251.46","429.74","386.53","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","6779.0","0.3","0.9","0.0","2.28","0.9","2.05","1.75","1.75","0.0","0.0","73.48","116.39","502.92","251.46","429.44","386.53","0.0","","","","","","",""
