" Daily soil water balance output for Almonds in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Almonds at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","60.0","0.08","1.15","0.0","5.32","1.15","6.12","0.0","0.0","0.0","0.0","0.0","124.64","498.58","249.29","498.58","373.93","127.65","","2014.0","10.0","60.0","100.62","102.8","20.2362204724","80.37","15.8208661417"
"2014.0","10.0","2.0","275.0","60.0","0.08","1.15","0.0","4.09","1.15","4.7","0.0","0.0","0.0","0.0","4.7","124.64","498.58","249.29","493.88","373.93","0.0","","2014.0","11.0","60.0","44.55","43.74","8.61023622047","0.0","0.0"
"2014.0","10.0","3.0","276.0","60.0","0.08","1.15","0.0","4.19","1.15","4.82","0.0","0.0","0.0","0.0","9.52","124.64","498.58","249.29","489.06","373.93","0.0","","2014.0","12.0","60.0","32.61","35.56","7.0","0.0","0.0"
"2014.0","10.0","4.0","277.0","60.0","0.08","1.15","0.0","4.16","1.15","4.78","0.0","0.0","0.0","0.0","14.31","124.64","498.58","249.29","484.27","373.93","0.0","","2015.0","1.0","60.0","32.17","16.75","3.29724409449","0.0","0.0"
"2014.0","10.0","5.0","278.0","60.0","0.08","1.15","0.0","4.02","1.15","4.62","0.0","0.0","0.0","0.0","18.93","124.64","498.58","249.29","479.65","373.93","0.0","","2015.0","2.0","60.0","56.25","36.44","7.17322834646","28.21","5.5531496063"
"2014.0","10.0","6.0","279.0","60.0","0.08","1.15","0.0","3.98","1.15","4.58","0.0","0.0","0.0","0.0","23.51","124.64","498.58","249.29","475.07","373.93","0.0","","2015.0","3.0","60.0","102.43","50.54","9.94881889764","84.32","16.5984251969"
"2014.0","10.0","7.0","280.0","60.0","0.08","1.15","0.0","4.04","1.15","4.65","0.0","0.0","0.0","0.0","28.15","124.64","498.58","249.29","470.43","373.93","0.0","","2015.0","4.0","60.0","135.2","78.48","15.4488188976","136.46","26.8622047244"
"2014.0","10.0","8.0","281.0","60.0","0.08","1.15","0.0","4.82","1.15","5.54","0.0","0.0","0.0","0.0","33.7","124.64","498.58","249.29","464.88","373.93","0.0","","2015.0","5.0","60.0","148.97","111.97","22.0413385827","170.3","33.5236220472"
"2014.0","10.0","9.0","282.0","60.0","0.08","1.15","0.0","4.07","1.15","4.68","0.0","0.0","0.0","0.0","38.38","124.64","498.58","249.29","460.2","373.93","0.0","","2015.0","6.0","60.0","193.42","178.54","35.1456692913","222.43","43.7854330709"
"2014.0","10.0","10.0","283.0","60.0","0.08","1.15","0.0","3.48","1.15","4.0","0.0","0.0","0.0","0.0","42.38","124.64","498.58","249.29","456.2","373.93","0.0","","2015.0","7.0","60.0","200.86","220.3","43.3661417323","230.99","45.4704724409"
"2014.0","10.0","11.0","284.0","60.0","0.08","1.15","0.0","3.42","1.15","3.93","0.0","0.0","0.0","0.0","46.31","124.64","498.58","249.29","452.27","373.93","0.0","","2015.0","8.0","60.0","184.58","212.3","41.7913385827","212.27","41.7854330709"
"2014.0","10.0","12.0","285.0","60.0","0.08","1.13","0.0","5.74","1.13","6.46","0.0","0.0","0.0","0.0","52.77","124.64","498.58","249.29","445.81","373.93","0.0","","2015.0","9.0","60.0","143.41","164.93","32.4665354331","150.41","29.6082677165"
"2014.0","10.0","13.0","286.0","60.0","0.08","1.1","0.0","3.97","1.1","4.37","0.0","0.0","0.0","0.0","57.14","124.64","498.58","249.29","441.44","373.93","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","60.0","0.08","1.08","0.0","3.13","1.08","3.36","0.0","0.0","0.0","0.0","60.5","124.64","498.58","249.29","438.08","373.93","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","60.0","0.08","1.05","0.0","2.43","1.05","2.55","0.0","0.0","0.0","0.0","63.05","124.64","498.58","249.29","435.53","373.93","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","60.0","0.08","1.03","0.0","2.72","1.03","2.79","0.0","0.0","0.0","0.0","65.84","124.64","498.58","249.29","432.74","373.93","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","60.0","0.08","1.0","0.0","2.53","1.0","2.53","0.0","0.0","0.0","0.0","68.37","124.64","498.58","249.29","430.21","373.93","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","60.0","0.08","0.98","0.0","2.88","0.98","2.81","0.0","0.0","0.0","0.0","71.18","124.64","498.58","249.29","427.4","373.93","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","60.0","0.08","0.95","0.0","2.84","0.95","2.7","0.0","0.0","0.0","0.0","73.88","124.64","498.58","249.29","424.7","373.93","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","60.0","0.08","0.93","0.0","2.22","0.93","2.05","0.0","0.0","0.0","0.0","75.93","124.64","498.58","249.29","422.65","373.93","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","60.0","0.08","0.9","0.0","2.7","0.9","2.43","0.0","0.0","0.0","0.0","78.36","124.64","498.58","249.29","420.22","373.93","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","60.0","0.08","0.88","0.0","2.55","0.88","2.23","0.0","0.0","0.0","0.0","80.59","124.64","498.58","249.29","417.99","373.93","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","60.0","0.08","0.85","0.0","2.57","0.85","2.18","0.0","0.0","0.0","0.0","82.77","124.64","498.58","249.29","415.81","373.93","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","60.0","0.08","0.83","0.0","2.55","0.83","2.1","0.0","0.0","0.0","0.0","84.88","124.64","498.58","249.29","413.7","373.93","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","60.0","0.08","0.8","0.0","2.29","0.8","1.83","0.0","0.0","0.0","0.0","86.71","124.64","498.58","249.29","411.87","373.93","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","60.0","0.08","0.78","0.0","2.69","0.78","2.08","1.42","1.42","0.0","0.0","87.38","124.64","498.58","249.29","411.2","373.93","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","60.0","0.08","0.75","0.0","2.51","0.75","1.88","0.0","0.0","0.0","0.0","89.26","124.64","498.58","249.29","409.32","373.93","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","60.0","0.08","0.73","0.0","2.39","0.73","1.73","0.0","0.0","0.0","0.0","90.99","124.64","498.58","249.29","407.59","373.93","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","60.0","0.08","0.7","0.0","2.5","0.7","1.75","0.0","0.0","0.0","0.0","92.74","124.64","498.58","249.29","405.84","373.93","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","60.0","0.08","0.68","0.0","2.44","0.68","1.65","0.0","0.0","0.0","0.0","94.39","124.64","498.58","249.29","404.19","373.93","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","60.0","0.08","0.65","0.0","1.38","0.65","0.9","0.0","0.0","0.0","0.0","95.28","124.64","498.58","249.29","403.3","373.93","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","60.0","1.15","0.0","0.0","1.85","1.15","2.12","8.58","8.58","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","60.0","1.14","0.0","0.0","2.15","1.14","2.45","0.0","0.0","0.0","0.0","28.85","26.4","498.58","249.29","469.73","472.18","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","60.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","60.0","1.01","0.0","0.0","1.77","1.01","1.79","0.0","0.0","0.0","0.0","28.19","26.4","498.58","249.29","470.39","472.18","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","60.0","0.9","0.0","0.0","1.98","0.9","1.78","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
