" Daily soil water balance output for Almonds in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Almonds in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","5009.0","0.08","0.98","0.0","5.64","0.98","5.55","0.0","0.0","0.0","0.0","18.31","150.23","600.92","300.46","582.61","450.69","0.0","","2014.0","10.0","5009.0","104.06","55.54","912.729199475","101.36","1665.72257218"
"2014.0","10.0","2.0","275.0","5009.0","0.08","0.96","0.0","4.13","0.96","3.96","0.0","0.0","0.0","0.0","22.28","150.23","600.92","300.46","578.64","450.69","0.0","","2014.0","11.0","5009.0","44.11","43.59","716.346161417","0.0","0.0"
"2014.0","10.0","3.0","276.0","5009.0","0.08","0.94","0.0","4.17","0.94","3.9","0.0","0.0","0.0","0.0","26.18","150.23","600.92","300.46","574.74","450.69","0.0","","2014.0","12.0","5009.0","32.86","35.82","588.656102362","0.0","0.0"
"2014.0","10.0","4.0","277.0","5009.0","0.08","0.91","0.0","4.22","0.91","3.85","0.0","0.0","0.0","0.0","30.03","150.23","600.92","300.46","570.89","450.69","0.0","","2015.0","1.0","5009.0","31.82","16.64","273.457217848","0.0","0.0"
"2014.0","10.0","5.0","278.0","5009.0","0.08","0.89","0.0","4.07","0.89","3.61","0.0","0.0","0.0","0.0","33.64","150.23","600.92","300.46","567.28","450.69","0.0","","2015.0","2.0","5009.0","55.9","36.29","596.379954068","27.2","446.997375328"
"2014.0","10.0","6.0","279.0","5009.0","0.08","0.86","0.0","4.12","0.86","3.56","0.0","0.0","0.0","0.0","37.2","150.23","600.92","300.46","563.72","450.69","0.0","","2015.0","3.0","5009.0","105.04","61.14","1004.75807087","77.71","1277.06492782"
"2014.0","10.0","7.0","280.0","5009.0","0.08","0.84","0.0","4.3","0.84","3.61","0.0","0.0","0.0","0.0","40.81","150.23","600.92","300.46","560.1","450.69","0.0","","2015.0","4.0","5009.0","139.8","108.18","1777.80059055","121.5","1996.69783465"
"2014.0","10.0","8.0","281.0","5009.0","0.08","0.82","0.0","5.11","0.82","4.17","0.0","0.0","0.0","0.0","44.99","150.23","600.92","300.46","555.93","450.69","0.0","","2015.0","5.0","5009.0","156.12","140.41","2307.45961286","153.29","2519.12601706"
"2014.0","10.0","9.0","282.0","5009.0","0.08","0.79","0.0","4.37","0.79","3.46","0.0","0.0","0.0","0.0","48.45","150.23","600.92","300.46","552.47","450.69","0.0","","2015.0","6.0","5009.0","205.59","220.53","3624.12982283","229.76","3775.81312336"
"2014.0","10.0","10.0","283.0","5009.0","0.08","0.77","0.0","3.76","0.77","2.89","0.0","0.0","0.0","0.0","51.34","150.23","600.92","300.46","549.57","450.69","0.0","","2015.0","7.0","5009.0","212.75","244.68","4021.00433071","244.66","4020.67565617"
"2014.0","10.0","11.0","284.0","5009.0","0.08","0.75","0.0","3.57","0.75","2.66","0.0","0.0","0.0","0.0","54.0","150.23","600.92","300.46","546.91","450.69","0.0","","2015.0","8.0","5009.0","195.07","224.33","3686.57798556","224.33","3686.57798556"
"2014.0","10.0","12.0","285.0","5009.0","0.08","0.72","0.0","6.1","0.72","4.4","0.0","0.0","0.0","0.0","58.41","150.23","600.92","300.46","542.51","450.69","0.0","","2015.0","9.0","5009.0","149.12","169.64","2787.81745407","171.49","2818.21984908"
"2014.0","10.0","13.0","286.0","5009.0","0.08","0.7","0.0","4.07","0.7","2.84","0.0","0.0","0.0","0.0","61.24","150.23","600.92","300.46","539.67","450.69","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","5009.0","0.08","0.67","0.0","3.32","0.67","2.24","0.0","0.0","0.0","0.0","63.48","150.23","600.92","300.46","537.44","450.69","0.0","","","","","","1356.79","22297.1165026","",""
"2014.0","10.0","15.0","288.0","5009.0","0.08","0.65","0.0","2.48","0.65","1.61","0.0","0.0","0.0","0.0","65.09","150.23","600.92","300.46","535.82","450.69","0.0","","","","","","1459.18","23979.7658136","",""
"2014.0","10.0","16.0","289.0","5009.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","5009.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","29.91","29.7","600.92","300.46","571.01","571.22","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","5009.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","5009.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","29.94","29.7","600.92","300.46","570.98","571.22","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","5009.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","5009.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","29.92","29.7","600.92","300.46","571.0","571.22","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","5009.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","5009.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","29.91","29.7","600.92","300.46","571.01","571.22","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","5009.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","5009.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","29.85","29.7","600.92","300.46","571.07","571.22","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","5009.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","29.08","29.7","600.92","300.46","571.84","571.22","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","5009.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","29.28","29.7","600.92","300.46","571.64","571.22","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","5009.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","29.47","29.7","600.92","300.46","571.45","571.22","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","5009.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","29.67","29.7","600.92","300.46","571.25","571.22","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","5009.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","29.87","29.7","600.92","300.46","571.05","571.22","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","5009.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","29.49","29.7","600.92","300.46","571.43","571.22","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","5009.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","22.83","29.7","600.92","300.46","578.09","571.22","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","5009.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","25.33","29.7","600.92","300.46","575.59","571.22","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","5009.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","27.38","29.7","600.92","300.46","573.54","571.22","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","5009.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","29.15","29.7","600.92","300.46","571.77","571.22","0.0","","","","","","","","",""
