" Daily soil water balance output for Cherries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","1194.0","0.57","1.05","0.0","5.96","1.05","6.26","0.0","0.0","0.0","0.0","115.17","123.07","492.27","246.14","377.11","369.21","0.0","","2014.0","10.0","1194.0","103.02","100.1","392.124015748","97.84","383.270866142"
"2014.0","10.0","2.0","275.0","1194.0","0.52","1.05","0.0","4.15","1.05","4.36","0.0","0.0","0.0","0.0","119.53","123.07","492.27","246.14","372.75","369.21","0.0","","2014.0","11.0","1194.0","43.68","43.33","169.737598425","0.0","0.0"
"2014.0","10.0","3.0","276.0","1194.0","0.48","1.05","0.0","4.14","1.05","4.35","0.0","0.0","0.0","0.0","0.0","123.07","492.27","246.14","492.27","369.21","123.87","","2014.0","12.0","1194.0","32.29","36.63","143.491535433","0.0","0.0"
"2014.0","10.0","4.0","277.0","1194.0","0.45","1.05","0.0","4.17","1.05","4.38","0.0","0.0","0.0","0.0","4.38","123.07","492.27","246.14","487.9","369.21","0.0","","2015.0","1.0","1194.0","32.29","18.19","71.2561023622","0.0","0.0"
"2014.0","10.0","5.0","278.0","1194.0","0.43","1.05","0.0","4.03","1.05","4.23","0.0","0.0","0.0","0.0","8.61","123.07","492.27","246.14","483.66","369.21","0.0","","2015.0","2.0","1194.0","56.46","36.47","142.86476378","0.0","0.0"
"2014.0","10.0","6.0","279.0","1194.0","0.41","1.05","0.0","4.09","1.05","4.29","0.0","0.0","0.0","0.0","12.9","123.07","492.27","246.14","479.37","369.21","0.0","","2015.0","3.0","1194.0","104.49","49.32","193.202362205","71.2","278.913385827"
"2014.0","10.0","7.0","280.0","1194.0","0.39","1.05","0.0","4.24","1.05","4.45","0.0","0.0","0.0","0.0","17.36","123.07","492.27","246.14","474.92","369.21","0.0","","2015.0","4.0","1194.0","140.05","81.29","318.439173228","115.37","451.941535433"
"2014.0","10.0","8.0","281.0","1194.0","0.37","1.04","0.0","4.92","1.04","5.11","0.0","0.0","0.0","0.0","22.47","123.07","492.27","246.14","469.8","369.21","0.0","","2015.0","5.0","1194.0","157.44","118.34","463.575984252","151.12","591.985826772"
"2014.0","10.0","9.0","282.0","1194.0","0.36","1.03","0.0","4.33","1.03","4.46","0.0","0.0","0.0","0.0","26.93","123.07","492.27","246.14","465.35","369.21","0.0","","2015.0","6.0","1194.0","206.92","198.29","776.765944882","217.24","850.999212598"
"2014.0","10.0","10.0","283.0","1194.0","0.34","1.02","0.0","3.75","1.02","3.82","0.0","0.0","0.0","0.0","30.75","123.07","492.27","246.14","461.53","369.21","0.0","","2015.0","7.0","1194.0","214.06","224.78","880.535826772","224.76","880.457480315"
"2014.0","10.0","11.0","284.0","1194.0","0.33","1.01","0.0","3.53","1.01","3.56","0.0","0.0","0.0","0.0","34.31","123.07","492.27","246.14","457.97","369.21","0.0","","2015.0","8.0","1194.0","194.99","204.75","802.071850394","204.74","802.032677165"
"2014.0","10.0","12.0","285.0","1194.0","0.32","1.0","0.0","6.45","1.0","6.44","0.0","0.0","0.0","0.0","40.74","123.07","492.27","246.14","451.53","369.21","0.0","","2015.0","9.0","1194.0","149.52","157.0","615.019685039","157.0","615.019685039"
"2014.0","10.0","13.0","286.0","1194.0","0.31","0.99","0.0","4.08","0.99","4.03","0.0","0.0","0.0","0.0","44.77","123.07","492.27","246.14","447.5","369.21","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","1194.0","0.3","0.98","0.0","3.18","0.98","3.11","0.0","0.0","0.0","0.0","47.88","123.07","492.27","246.14","444.39","369.21","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","1194.0","0.3","0.97","0.0","2.39","0.97","2.31","0.15","0.15","0.0","0.0","50.04","123.07","492.27","246.14","442.23","369.21","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","1194.0","0.29","0.96","0.0","2.7","0.96","2.58","0.0","0.0","0.0","0.0","52.62","123.07","492.27","246.14","439.65","369.21","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","1194.0","0.29","0.95","0.0","2.51","0.95","2.37","0.0","0.0","0.0","0.0","55.0","123.07","492.27","246.14","437.28","369.21","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","1194.0","0.29","0.94","0.0","2.88","0.94","2.69","0.0","0.0","0.0","0.0","57.69","123.07","492.27","246.14","434.58","369.21","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","1194.0","0.28","0.93","0.0","2.97","0.93","2.75","0.0","0.0","0.0","0.0","60.44","123.07","492.27","246.14","431.84","369.21","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","1194.0","0.28","0.91","0.0","2.25","0.91","2.06","0.0","0.0","0.0","0.0","62.5","123.07","492.27","246.14","429.78","369.21","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","1194.0","0.27","0.9","0.0","2.67","0.9","2.41","0.0","0.0","0.0","0.0","64.91","123.07","492.27","246.14","427.37","369.21","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","1194.0","0.27","0.89","0.0","2.57","0.89","2.3","0.0","0.0","0.0","0.0","67.21","123.07","492.27","246.14","425.07","369.21","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","1194.0","0.27","0.88","0.0","2.51","0.88","2.22","0.0","0.0","0.0","0.0","69.42","123.07","492.27","246.14","422.85","369.21","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","1194.0","0.27","0.87","0.0","2.57","0.87","2.24","0.0","0.0","0.0","0.0","71.67","123.07","492.27","246.14","420.61","369.21","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","1194.0","0.26","0.86","0.0","2.27","0.86","1.96","0.0","0.0","0.0","0.0","73.62","123.07","492.27","246.14","418.65","369.21","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","1194.0","0.26","0.85","0.0","2.66","0.85","2.27","1.25","1.25","0.0","0.0","74.64","123.07","492.27","246.14","417.63","369.21","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","1194.0","0.26","0.84","0.0","2.48","0.84","2.09","0.0","0.0","0.0","0.0","76.73","123.07","492.27","246.14","415.55","369.21","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","1194.0","0.25","0.83","0.0","2.37","0.83","1.97","0.0","0.0","0.0","0.0","78.7","123.07","492.27","246.14","413.58","369.21","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","1194.0","0.25","0.82","0.0","2.4","0.82","1.97","0.0","0.0","0.0","0.0","80.67","123.07","492.27","246.14","411.61","369.21","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","1194.0","0.25","0.81","0.0","2.51","0.81","2.03","0.0","0.0","0.0","0.0","82.7","123.07","492.27","246.14","409.57","369.21","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","1194.0","0.25","0.8","0.0","1.29","0.8","1.03","0.01","0.01","0.0","0.0","83.72","123.07","492.27","246.14","408.55","369.21","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","1194.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","1194.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","28.17","25.65","492.27","246.14","464.11","466.62","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","1194.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","1194.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","27.42","25.65","492.27","246.14","464.86","466.62","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","1194.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
