" Daily soil water balance output for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","17.0","0.57","1.05","0.0","6.01","1.05","6.31","0.0","0.0","0.0","0.0","96.91","109.73","438.91","219.46","342.0","329.18","0.0","","2014.0","10.0","17.0","101.46","98.6","5.49934383202","96.38","5.37552493438"
"2014.0","10.0","2.0","275.0","17.0","0.52","1.05","0.0","4.13","1.05","4.34","0.0","0.0","0.0","0.0","101.25","109.73","438.91","219.46","337.67","329.18","0.0","","2014.0","11.0","17.0","43.45","43.15","2.40666010499","0.0","0.0"
"2014.0","10.0","3.0","276.0","17.0","0.49","1.05","0.0","4.1","1.05","4.3","0.0","0.0","0.0","0.0","105.55","109.73","438.91","219.46","333.36","329.18","0.0","","2014.0","12.0","17.0","31.93","34.69","1.93480971129","0.0","0.0"
"2014.0","10.0","4.0","277.0","17.0","0.46","1.05","0.0","4.11","1.05","4.32","0.0","0.0","0.0","0.0","0.0","109.73","438.91","219.46","438.91","329.18","109.87","","2015.0","1.0","17.0","32.71","16.86","0.940354330709","0.0","0.0"
"2014.0","10.0","5.0","278.0","17.0","0.43","1.05","0.0","3.99","1.05","4.19","0.0","0.0","0.0","0.0","4.19","109.73","438.91","219.46","434.72","329.18","0.0","","2015.0","2.0","17.0","56.48","36.24","2.02125984252","0.0","0.0"
"2014.0","10.0","6.0","279.0","17.0","0.41","1.05","0.0","4.02","1.05","4.22","0.0","0.0","0.0","0.0","8.41","109.73","438.91","219.46","430.5","329.18","0.0","","2015.0","3.0","17.0","103.75","60.08","3.35091863517","76.24","4.25223097113"
"2014.0","10.0","7.0","280.0","17.0","0.39","1.05","0.0","4.14","1.05","4.35","0.0","0.0","0.0","0.0","12.76","109.73","438.91","219.46","426.15","329.18","0.0","","2015.0","4.0","17.0","139.25","84.19","4.69563648294","115.71","6.45364173228"
"2014.0","10.0","8.0","281.0","17.0","0.37","1.04","0.0","4.75","1.04","4.94","0.0","0.0","0.0","0.0","17.7","109.73","438.91","219.46","421.22","329.18","0.0","","2015.0","5.0","17.0","156.1","117.89","6.57522965879","149.82","8.3561023622"
"2014.0","10.0","9.0","282.0","17.0","0.36","1.03","0.0","4.2","1.03","4.32","0.0","0.0","0.0","0.0","22.02","109.73","438.91","219.46","416.89","329.18","0.0","","2015.0","6.0","17.0","203.55","195.25","10.8899278215","213.7","11.9189632546"
"2014.0","10.0","10.0","283.0","17.0","0.35","1.02","0.0","3.66","1.02","3.73","0.0","0.0","0.0","0.0","25.75","109.73","438.91","219.46","413.17","329.18","0.0","","2015.0","7.0","17.0","210.84","221.37","12.3467519685","221.38","12.3473097113"
"2014.0","10.0","11.0","284.0","17.0","0.34","1.01","0.0","3.47","1.01","3.5","0.0","0.0","0.0","0.0","29.25","109.73","438.91","219.46","409.67","329.18","0.0","","2015.0","8.0","17.0","191.5","201.08","11.2150918635","201.08","11.2150918635"
"2014.0","10.0","12.0","285.0","17.0","0.32","1.0","0.0","6.52","1.0","6.51","0.0","0.0","0.0","0.0","35.75","109.73","438.91","219.46","403.16","329.18","0.0","","2015.0","9.0","17.0","147.5","154.89","8.63887795276","154.88","8.63832020997"
"2014.0","10.0","13.0","286.0","17.0","0.31","0.99","0.0","4.07","0.99","4.02","0.0","0.0","0.0","0.0","39.77","109.73","438.91","219.46","399.14","329.18","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","17.0","0.31","0.98","0.0","3.0","0.98","2.93","0.0","0.0","0.0","0.0","42.7","109.73","438.91","219.46","396.21","329.18","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","17.0","0.3","0.97","0.0","2.3","0.97","2.22","0.46","0.46","0.0","0.0","44.47","109.73","438.91","219.46","394.45","329.18","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","17.0","0.3","0.96","0.0","2.65","0.96","2.53","0.27","0.27","0.0","0.0","46.73","109.73","438.91","219.46","392.18","329.18","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","17.0","0.29","0.95","0.0","2.47","0.95","2.34","0.0","0.0","0.0","0.0","49.07","109.73","438.91","219.46","389.85","329.18","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","17.0","0.29","0.94","0.0","2.85","0.94","2.67","0.0","0.0","0.0","0.0","51.73","109.73","438.91","219.46","387.18","329.18","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","17.0","0.28","0.92","0.0","2.92","0.92","2.7","0.0","0.0","0.0","0.0","54.43","109.73","438.91","219.46","384.48","329.18","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","17.0","0.28","0.91","0.0","2.24","0.91","2.05","0.0","0.0","0.0","0.0","56.48","109.73","438.91","219.46","382.43","329.18","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","17.0","0.28","0.9","0.0","2.61","0.9","2.36","0.0","0.0","0.0","0.0","58.84","109.73","438.91","219.46","380.07","329.18","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","17.0","0.27","0.89","0.0","2.54","0.89","2.27","0.0","0.0","0.0","0.0","61.11","109.73","438.91","219.46","377.8","329.18","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","17.0","0.27","0.88","0.0","2.44","0.88","2.16","0.0","0.0","0.0","0.0","63.27","109.73","438.91","219.46","375.65","329.18","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","17.0","0.27","0.87","0.0","2.57","0.87","2.24","0.0","0.0","0.0","0.0","65.51","109.73","438.91","219.46","373.4","329.18","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","17.0","0.26","0.86","0.0","2.26","0.86","1.95","0.0","0.0","0.0","0.0","67.46","109.73","438.91","219.46","371.45","329.18","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","17.0","0.26","0.85","0.0","2.62","0.85","2.23","1.47","1.47","0.0","0.0","68.22","109.73","438.91","219.46","370.69","329.18","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","17.0","0.26","0.84","0.0","2.46","0.84","2.07","0.0","0.0","0.0","0.0","70.29","109.73","438.91","219.46","368.62","329.18","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","17.0","0.26","0.83","0.0","2.33","0.83","1.94","0.0","0.0","0.0","0.0","72.23","109.73","438.91","219.46","366.68","329.18","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","17.0","0.25","0.82","0.0","2.38","0.82","1.95","0.0","0.0","0.0","0.0","74.18","109.73","438.91","219.46","364.73","329.18","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","17.0","0.25","0.81","0.0","2.46","0.81","1.99","0.0","0.0","0.0","0.0","76.18","109.73","438.91","219.46","362.74","329.18","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","17.0","0.25","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","77.13","109.73","438.91","219.46","361.78","329.18","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","17.0","1.15","0.0","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","17.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","24.12","21.6","438.91","219.46","414.8","417.31","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","17.0","1.14","0.0","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","17.0","1.01","0.0","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","23.35","21.6","438.91","219.46","415.56","417.31","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","17.0","0.91","0.0","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
