" Daily soil water balance output for Cherries in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","38.0","0.56","1.05","0.0","6.18","1.05","6.49","0.0","0.0","0.0","0.0","81.31","96.98","411.48","205.74","330.17","314.5","0.0","","2014.0","10.0","38.0","103.42","100.53","12.5332677165","98.26","12.2502624672"
"2014.0","10.0","2.0","275.0","38.0","0.52","1.05","0.0","4.2","1.05","4.41","0.0","0.0","0.0","0.0","85.72","102.87","411.48","205.74","325.76","308.61","0.0","","2014.0","11.0","38.0","43.39","42.98","5.35839895013","0.0","0.0"
"2014.0","10.0","3.0","276.0","38.0","0.48","1.05","0.0","4.14","1.05","4.35","0.0","0.0","0.0","0.0","90.06","102.87","411.48","205.74","321.42","308.61","0.0","","2014.0","12.0","38.0","32.08","34.9","4.35104986877","0.0","0.0"
"2014.0","10.0","4.0","277.0","38.0","0.45","1.05","0.0","4.18","1.05","4.39","0.0","0.0","0.0","0.0","94.45","102.87","411.48","205.74","317.03","308.61","0.0","","2015.0","1.0","38.0","33.25","17.16","2.13937007874","0.0","0.0"
"2014.0","10.0","5.0","278.0","38.0","0.43","1.05","0.0","4.06","1.05","4.26","0.0","0.0","0.0","0.0","98.72","102.87","411.48","205.74","312.76","308.61","0.0","","2015.0","2.0","38.0","56.91","36.39","4.53681102362","0.0","0.0"
"2014.0","10.0","6.0","279.0","38.0","0.41","1.05","0.0","4.12","1.05","4.33","0.0","0.0","0.0","0.0","0.0","102.87","411.48","205.74","411.48","308.61","103.04","","2015.0","3.0","38.0","104.95","49.39","6.15754593176","71.47","8.91030183727"
"2014.0","10.0","7.0","280.0","38.0","0.39","1.05","0.0","4.25","1.05","4.46","0.0","0.0","0.0","0.0","4.46","102.87","411.48","205.74","407.02","308.61","0.0","","2015.0","4.0","38.0","140.99","85.02","10.5996062992","117.06","14.5940944882"
"2014.0","10.0","8.0","281.0","38.0","0.37","1.04","0.0","4.81","1.04","5.0","0.0","0.0","0.0","0.0","9.46","102.87","411.48","205.74","402.02","308.61","0.0","","2015.0","5.0","38.0","160.57","121.3","15.1227034121","154.1","19.2119422572"
"2014.0","10.0","9.0","282.0","38.0","0.35","1.03","0.0","4.33","1.03","4.46","0.0","0.0","0.0","0.0","13.92","102.87","411.48","205.74","397.56","308.61","0.0","","2015.0","6.0","38.0","209.56","201.05","25.0652887139","220.01","27.4290682415"
"2014.0","10.0","10.0","283.0","38.0","0.34","1.02","0.0","3.77","1.02","3.84","0.0","0.0","0.0","0.0","17.76","102.87","411.48","205.74","393.72","308.61","0.0","","2015.0","7.0","38.0","216.77","227.59","28.3740813648","227.61","28.3765748031"
"2014.0","10.0","11.0","284.0","38.0","0.33","1.01","0.0","3.53","1.01","3.56","0.0","0.0","0.0","0.0","21.32","102.87","411.48","205.74","390.16","308.61","0.0","","2015.0","8.0","38.0","196.26","206.06","25.6898950131","206.07","25.6911417323"
"2014.0","10.0","12.0","285.0","38.0","0.32","1.0","0.0","6.72","1.0","6.71","0.0","0.0","0.0","0.0","28.03","102.87","411.48","205.74","383.45","308.61","0.0","","2015.0","9.0","38.0","150.85","158.39","19.7467847769","158.39","19.7467847769"
"2014.0","10.0","13.0","286.0","38.0","0.31","0.99","0.0","4.16","0.99","4.11","0.0","0.0","0.0","0.0","32.13","102.87","411.48","205.74","379.35","308.61","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","38.0","0.3","0.98","0.0","3.14","0.98","3.07","0.0","0.0","0.0","0.0","35.2","102.87","411.48","205.74","376.28","308.61","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","38.0","0.3","0.97","0.0","2.28","0.97","2.2","1.75","1.75","0.0","0.0","35.66","102.87","411.48","205.74","375.82","308.61","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","38.0","0.29","0.96","0.0","2.67","0.96","2.55","0.08","0.08","0.0","0.0","38.13","102.87","411.48","205.74","373.35","308.61","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","38.0","0.29","0.95","0.0","2.51","0.95","2.37","0.0","0.0","0.0","0.0","40.5","102.87","411.48","205.74","370.98","308.61","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","38.0","0.29","0.94","0.0","2.9","0.94","2.71","0.0","0.0","0.0","0.0","43.22","102.87","411.48","205.74","368.26","308.61","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","38.0","0.28","0.92","0.0","3.02","0.92","2.79","0.0","0.0","0.0","0.0","46.01","102.87","411.48","205.74","365.47","308.61","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","38.0","0.28","0.91","0.0","2.28","0.91","2.09","0.0","0.0","0.0","0.0","48.09","102.87","411.48","205.74","363.39","308.61","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","38.0","0.27","0.9","0.0","2.62","0.9","2.37","0.0","0.0","0.0","0.0","50.46","102.87","411.48","205.74","361.02","308.61","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","38.0","0.27","0.89","0.0","2.57","0.89","2.3","0.0","0.0","0.0","0.0","52.76","102.87","411.48","205.74","358.72","308.61","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","38.0","0.27","0.88","0.0","2.45","0.88","2.16","0.0","0.0","0.0","0.0","54.92","102.87","411.48","205.74","356.56","308.61","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","38.0","0.26","0.87","0.0","2.62","0.87","2.29","0.0","0.0","0.0","0.0","57.21","102.87","411.48","205.74","354.27","308.61","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","38.0","0.26","0.86","0.0","2.31","0.86","1.99","0.0","0.0","0.0","0.0","59.2","102.87","411.48","205.74","352.28","308.61","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","38.0","0.26","0.85","0.0","2.62","0.85","2.23","2.42","2.42","0.0","0.0","59.02","102.87","411.48","205.74","352.46","308.61","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","38.0","0.26","0.84","0.0","2.46","0.84","2.07","0.0","0.0","0.0","0.0","61.09","102.87","411.48","205.74","350.39","308.61","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","38.0","0.25","0.83","0.0","2.35","0.83","1.95","0.0","0.0","0.0","0.0","63.04","102.87","411.48","205.74","348.44","308.61","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","38.0","0.25","0.82","0.0","2.4","0.82","1.97","0.0","0.0","0.0","0.0","65.01","102.87","411.48","205.74","346.47","308.61","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","38.0","0.25","0.81","0.0","2.55","0.81","2.07","0.0","0.0","0.0","0.0","67.08","102.87","411.48","205.74","344.4","308.61","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","38.0","0.25","0.8","0.0","1.22","0.8","0.98","0.0","0.0","0.0","0.0","68.05","102.87","411.48","205.74","343.43","308.61","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","38.0","1.15","0.0","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","38.0","1.14","0.0","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","22.78","20.25","411.48","205.74","388.7","391.23","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","38.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","38.0","1.01","0.0","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","22.02","20.25","411.48","205.74","389.46","391.23","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","38.0","0.91","0.0","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
