" Daily soil water balance output for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","4.0","0.08","0.7","0.0","5.56","0.7","3.89","0.0","0.0","0.0","0.0","41.14","86.02","373.08","186.54","331.94","287.06","0.0","","2014.0","10.0","4.0","100.46","70.34","0.923097112861"
"2014.0","10.0","2.0","275.0","4.0","0.08","0.7","0.0","4.08","0.7","2.86","0.0","0.0","0.0","0.0","44.0","86.02","373.08","186.54","329.08","287.06","0.0","","2014.0","11.0","4.0","43.94","39.82","0.522572178478"
"2014.0","10.0","3.0","276.0","4.0","0.08","0.7","0.0","4.13","0.7","2.89","0.0","0.0","0.0","0.0","46.89","86.02","373.08","186.54","326.19","287.06","0.0","","2014.0","12.0","4.0","32.25","35.14","0.461154855643"
"2014.0","10.0","4.0","277.0","4.0","0.08","0.7","0.0","4.12","0.7","2.88","0.0","0.0","0.0","0.0","49.77","86.02","373.08","186.54","323.31","287.06","0.0","","2015.0","1.0","4.0","31.89","22.35","0.293307086614"
"2014.0","10.0","5.0","278.0","4.0","0.08","0.7","0.0","3.97","0.7","2.78","0.0","0.0","0.0","0.0","52.55","86.02","373.08","186.54","320.53","287.06","0.0","","2015.0","2.0","4.0","56.06","45.33","0.594881889764"
"2014.0","10.0","6.0","279.0","4.0","0.08","0.7","0.0","3.97","0.7","2.78","0.0","0.0","0.0","0.0","55.33","86.02","373.08","186.54","317.75","287.06","0.0","","2015.0","3.0","4.0","102.94","75.39","0.98937007874"
"2014.0","10.0","7.0","280.0","4.0","0.08","0.7","0.0","4.08","0.7","2.86","0.0","0.0","0.0","0.0","58.18","86.02","373.08","186.54","314.89","287.06","0.0","","2015.0","4.0","4.0","136.61","103.32","1.35590551181"
"2014.0","10.0","8.0","281.0","4.0","0.08","0.7","0.0","4.81","0.7","3.37","0.0","0.0","0.0","0.0","61.55","86.02","373.08","186.54","311.52","287.06","0.0","","2015.0","5.0","4.0","150.49","105.35","1.38254593176"
"2014.0","10.0","9.0","282.0","4.0","0.08","0.7","0.0","4.12","0.7","2.88","0.0","0.0","0.0","0.0","64.44","86.02","373.08","186.54","308.64","287.06","0.0","","2015.0","6.0","4.0","196.51","137.55","1.80511811024"
"2014.0","10.0","10.0","283.0","4.0","0.08","0.7","0.0","3.54","0.7","2.48","0.0","0.0","0.0","0.0","66.91","86.02","373.08","186.54","306.16","287.06","0.0","","2015.0","7.0","4.0","204.06","142.86","1.87480314961"
"2014.0","10.0","11.0","284.0","4.0","0.08","0.7","0.0","3.45","0.7","2.42","0.0","0.0","0.0","0.0","69.33","86.02","373.08","186.54","303.75","287.06","0.0","","2015.0","8.0","4.0","187.5","131.26","1.72257217848"
"2014.0","10.0","12.0","285.0","4.0","0.08","0.7","0.0","6.01","0.7","4.21","0.0","0.0","0.0","0.0","73.54","86.02","373.08","186.54","299.54","287.06","0.0","","2015.0","9.0","4.0","144.17","100.94","1.32467191601"
"2014.0","10.0","13.0","286.0","4.0","0.08","0.7","0.0","3.98","0.7","2.79","0.0","0.0","0.0","0.0","76.32","86.02","373.08","186.54","296.75","287.06","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","4.0","0.08","0.7","0.0","3.08","0.7","2.16","0.0","0.0","0.0","0.0","78.48","86.02","373.08","186.54","294.6","287.06","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","4.0","0.08","0.7","0.0","2.4","0.7","1.68","0.0","0.0","0.0","0.0","80.16","86.02","373.08","186.54","292.92","287.06","0.0","","","","","","",""
